evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
64,0.023695935,0.08,8.092333242692765,0.6918204089078145,0.75
128,0.036756312,0.1,11.175790250536116,0.6103931566137943,0.421875
192,0.05307429,0.12,12.986236919291384,0.6038824309409381,0.3385416666666667
256,0.06623781,0.14,15.488602698247615,0.5657959024282273,0.27734375
320,0.08403406,0.17,18.38102396589557,0.5371446207389752,0.275
384,0.100256285,0.18,20.507767149043897,0.48907448007433835,0.2552083333333333
448,0.116427099,0.19,22.256888578584025,0.48907448007433835,0.24553571428571427
512,0.13318221,0.19,23.090355963541572,0.48907448007433835,0.248046875
576,0.151483744,0.22,27.32200963631127,0.46329405989163486,0.2482638888888889
640,0.168708617,0.22,27.550253431372028,0.46329405989163486,0.25
704,0.183146963,0.22,28.217320926070364,0.46329405989163486,0.23579545454545456
768,0.199494412,0.23,30.26938174495848,0.4090047201737449,0.23046875
832,0.21759959,0.24,32.37497941754972,0.4090047201737449,0.23317307692307693
896,0.232248152,0.24,33.20900985487133,0.4023499035974516,0.22321428571428573
960,0.248970881,0.25,34.213217646502294,0.4023499035974516,0.221875
1024,0.266131253,0.25,34.641261337154006,0.4023499035974516,0.22265625
1088,0.281770902,0.25,35.09264499676993,0.4023499035974516,0.22058823529411764
1152,0.299975943,0.26,36.96504220108331,0.3965351668074897,0.2230902777777778
1216,0.316614761,0.26,37.08916583367063,0.38922965259921405,0.21957236842105263
1280,0.33261164,0.26,37.54535660435454,0.38922965259921405,0.2171875
1344,0.349333789,0.27,39.382516508043075,0.3684376049765762,0.21279761904761904
1408,0.365692929,0.27,40.03287872434402,0.35112270073976504,0.2109375
1472,0.381366209,0.28,41.44632108383013,0.34910485164504845,0.20923913043478262
1536,0.397596465,0.28,41.87065973297206,0.34910485164504845,0.20572916666666666
1600,0.414484959,0.28,42.433301850696445,0.343423942263959,0.208125
1664,0.431807485,0.28,42.79761044275058,0.32982965138946235,0.20793269230769232
1728,0.449857872,0.28,42.96100477013833,0.32982965138946235,0.20949074074074073
1792,0.46721178,0.28,43.68494365312944,0.32060328792573745,0.20926339285714285
1856,0.484882306,0.28,44.32773308839898,0.32060328792573745,0.20851293103448276
1920,0.501157813,0.28,45.628245905512735,0.32060328792573745,0.20729166666666668
1984,0.519838567,0.28,46.00660664705195,0.3122458642015348,0.2091733870967742
2048,0.537322828,0.28,46.274675004435444,0.3122458642015348,0.20849609375
2112,0.552076222,0.28,46.369028923916105,0.3122458642015348,0.20643939393939395
2176,0.568947056,0.28,47.232687983935946,0.3068235761855485,0.20588235294117646
2240,0.586216211,0.28,47.3094566606371,0.3068235761855485,0.2080357142857143
2304,0.602091537,0.28,47.51647545801114,0.3068235761855485,0.20616319444444445
2368,0.618391195,0.28,47.905806506766986,0.30494422901423823,0.20650337837837837
2432,0.63637883,0.28,48.058579623002615,0.29606531372760075,0.2060032894736842
2496,0.653814039,0.28,48.73492059359136,0.29606531372760075,0.20552884615384615
2560,0.669603132,0.28,48.96077333595689,0.28873425074428377,0.205859375
2624,0.686924297,0.28,49.59882236799285,0.2782648546873714,0.2073170731707317
2688,0.703618586,0.28,49.60847248882457,0.2782648546873714,0.20796130952380953
2752,0.720823248,0.28,50.10790535567508,0.24944788558360453,0.20966569767441862
2816,0.736703593,0.28,51.22011784316297,0.21973695510658647,0.20845170454545456
2880,0.752019393,0.28,51.41072218111504,0.21973695510658647,0.20694444444444443
2944,0.769594946,0.29,53.205352919257564,0.21973695510658647,0.20720108695652173
3008,0.787144308,0.29,53.56865480466498,0.21973695510658647,0.2074468085106383
3072,0.803062075,0.3,55.72859859259588,0.2006505460827046,0.20638020833333334
3136,0.819617389,0.3,55.82228764919551,0.2006505460827046,0.2072704081632653
3200,0.838473518,0.3,55.87909215933488,0.2006505460827046,0.208125
3264,0.853895751,0.3,57.32997900143723,0.2006505460827046,0.20710784313725492
3328,0.871009061,0.3,57.43953516686218,0.2006505460827046,0.20823317307692307
3392,0.887485953,0.3,57.56947715536116,0.2006505460827046,0.20813679245283018
3456,0.903858142,0.3,57.70947317233889,0.2006505460827046,0.20833333333333334
3520,0.920640733,0.3,57.90436058109002,0.2006505460827046,0.20823863636363638
3584,0.937853485,0.3,58.39483621566399,0.2006505460827046,0.208984375
3648,0.954134472,0.3,59.29654468073404,0.2006505460827046,0.2080592105263158
3712,0.973286529,0.3,59.32621059621061,0.2006505460827046,0.2087823275862069
3776,0.988578248,0.3,59.62993095164258,0.2006505460827046,0.2089512711864407
3840,1.006525302,0.3,60.73258065763993,0.2006505460827046,0.21041666666666667
3904,1.022108049,0.3,61.34954506298395,0.2006505460827046,0.20901639344262296
3968,1.039004563,0.3,63.33595890626354,0.2006505460827046,0.2091733870967742
4032,1.055186906,0.3,63.38000979858625,0.2006505460827046,0.2088293650793651
4096,1.070619699,0.3,63.648435017246534,0.2006505460827046,0.208740234375
