niche_id,grid_x,grid_y,quality_train,descriptor_apex_height_train,descriptor_release_time_train,visit_count,decision_arm_length,decision_counterweight_mass,decision_projectile_mass,decision_sling_length,decision_initial_arm_angle,decision_release_angle,decision_joint_damping,decision_pivot_friction
12,2,1,0.2006505460827046,12.426288965425044,1.4611111111111112,392,5.440741320440704,51.993360436714546,0.7827688378585711,4.4502913762733005,-1.113479650588828,0.07183070905739972,3.03617199889543,0
22,2,2,0.21420156213254074,14.971519173337901,1.7333333333333334,15,5.661044301842688,50.977201278262406,0.5,4.414867790206494,-1.230140555339685,0.10211774533299806,3.027891146746592,0.00006711966813258575
11,1,1,0.2203367813504594,9.413949671539408,1.0333333333333334,463,4.912696827982836,65.77550000376782,0.5,4.3287007803902045,-1.0221974997111107,-0.010574324749232845,3.485706128492776,0
21,1,2,0.2651862706768068,9.559553425175773,1.638888888888889,117,4.843741511135888,67.60179483203818,2.441827496032775,5.074516364613408,-1.23046152468362,0.11880028242255025,2.0991404107752283,0.07848856128199282
13,3,1,0.2775103460023053,18.59615154340334,1.011111111111111,261,4.285710160991122,88.40730726852763,0.6632465978797273,3.749415731646662,-0.9518274054793591,0.34898830042849216,4.484919023564407,0.03711727993528484
2,2,0,0.3168570334918937,17.752200881975398,0.7944444444444445,192,3.094487387503117,138.94704896087956,0.5,3.438367925592901,-0.9195071681701813,0.5434732599329696,3.9166784057659356,0.02382854093764885
3,3,0,0.3257417513639103,18.548438739473973,0.7944444444444445,96,3.221369012505458,135.59405869153724,0.5,3.4163778263069293,-0.8948702354436441,0.5451909436306912,3.9696523370028065,0.01297060283817268
14,4,1,0.33140109977831467,24.85627195226029,0.9722222222222222,155,3.8528171152739636,117.58738901197613,0.5,3.836265203194521,-0.9657575397208493,0.55,4.666524240457377,0.13597260967030023
15,5,1,0.3741587701508068,30.15459179265093,0.9944444444444445,159,4.1286927061296375,129.86945534794617,0.5,3.8028252978202612,-0.9831961392712817,0.55,5.028935890480197,0.11775605573133174
10,0,1,0.3770162699727705,5.862222064252662,0.9388888888888889,334,4.636166333665858,91.05496000340659,0.5,5.059670903902541,-1.07025349407903,-0.06374143642320501,3.3337565374874965,0.23153984121963983
1,1,0,0.3977170446586601,11.251322982834168,0.7944444444444445,152,3.1618208128061727,125.0169958472378,0.6713149941225561,3.7935795884786185,-0.9278313465606796,0.4004529818266214,4.309764955684584,0.058390231447545266
16,6,1,0.46584730135856256,38.881265595288454,1.1611111111111112,143,4.396177272537541,137.86906176764774,0.7527227371862214,4.098447428012328,-1.1597019256408618,0.488325476593964,3.876052501005737,0.0852051940062465
4,4,0,0.4953035255538206,24.32955978558652,0.788888888888889,66,4.260677463543148,174.99549576923306,0.5208085173513796,3.3781288000549936,-0.7694934977411895,0.5094776902854686,6.241784240073981,0.06602392459967497
17,7,1,0.5034137804407492,42.241975914011796,1.0833333333333335,73,4.524154709111253,155.8493606406193,0.5442359869707278,4.0060665319215145,-1.0872467603818476,0.5377869365142034,4.756131720222448,0.07872385555722607
20,0,2,0.5658109510788317,5.8844134701709345,1.8,103,4.912274219832533,60.31890915202106,3.350414188431384,4.455091660186423,-1.2212477484386512,-0.10970283468794446,2.4618847640554415,0.001893921127610632
0,0,0,0.5727028508271222,5.547195994270286,0.7611111111111112,133,4.255126636223033,79.35385867642233,0.6471454841375159,4.735541413066142,-0.8432827355830524,0.038511385932993615,3.0169296568143804,0.23474841523763545
5,5,0,0.5833056915982204,30.947792866389253,0.7666666666666667,75,4.275885657983214,195.92844283492576,0.5,3.0588710119283573,-0.7854776250850073,0.5111060193423729,3.8357400736608867,0.09966830606812106
18,8,1,0.6080745089467493,49.72166275850156,1.1777777777777778,16,4.426681856671282,179.3268195331416,0.5,4.2214032683747895,-1.2118161243111683,0.5428511811674708,4.015066885626675,0.11670056200427605
6,6,0,0.6772566827477849,36.74040771122685,0.7944444444444445,18,4.140050612306652,220,0.5247876706074165,2.909936159391611,-0.8811913547851763,0.497712090187875,3.0494351544288505,0.13602747701360426
30,0,3,0.8303971917990116,5.568383781396134,2.6,56,5.076633553475205,50.396588902845636,4.05084416946622,4.537428886017568,-1.25,-0.13918641606197366,2.400394764196036,0
70,0,7,0.8756828795044995,4.817269594977234,6.044444444444444,16,4.5819696310789615,41.88535824453304,4.370029864871241,3.5766614900817904,-0.6196699028678456,0.055905082487983065,3.8490935422163584,0.020559263879397837
31,1,3,0.8903328647350769,7.1291088429378915,2.5166666666666666,29,5.020970704415142,51.50353507174855,3.2876881227099175,4.395193736456764,-1.1245157835886632,0.06505048264222317,3.1111842737323676,0.005718131424163683
41,1,4,0.9342381615880277,7.2677208589826705,3.3111111111111113,33,5.063748781148022,54.88025701520409,3.9014426330235397,4.998421805931497,-1.1402387180793778,0.21910665343612237,3.0421261766951364,0.03242444323061407
50,0,5,0.9394397995653326,4.465257369251229,4.383333333333334,21,3.885590901316121,62.034824326151956,5.811855796667568,3.614366539705172,-0.5126858302839931,0.13658324366985586,3.3071980190173904,1.6032804890069765
40,0,4,0.963718086606991,5.199938175846499,3.261111111111111,11,5.154834198421404,48.22405830473196,3.6518195230165653,4.46029950138962,-1.1050544331980292,0.049746434878672224,3.2220965194603934,0.006954273380569562
80,0,8,0.9675169073509178,2.573525487432877,6.661111111111111,14,4.159280116296507,45.07647787871956,10,4.30388785192221,-0.36860540421343757,-0.05760656788137508,3.0338537920370796,0.09711484865168779
51,1,5,1.3478470174862136,9.58053082186293,4.277777777777778,14,2.7023976392845546,190.57694960640893,4.955267471561567,2.660924226514176,-0.8933856312843036,0.41473350697689987,2.593216052152017,7.486748291771611
71,1,7,1.3610700142435406,9.485739577802962,6.277777777777778,57,2.714345754939669,193.63054986808808,4.638383667882549,2.634369177833937,-0.8812672367521427,0.46669787202931917,2.657985729574219,8.072376336453075
61,1,6,1.4173963234606035,10.695328280322927,5.466666666666667,20,2.9882435234816747,147.54670130062624,2.5850047727811347,2.6961499582132373,-0.848740650758491,0.5289356164937477,2.9289902696739105,6.0092299727492495
81,1,8,1.5580301343550134,9.39913447167295,6.444444444444445,7,2.690040796612448,192.72511802774383,4.730513008643881,2.56463815336222,-0.8700147621465132,0.4983189688519057,2.6974723435629704,8.034226774827104
