evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
128,1.423188797,0.17,11.365304857635184,2.6172338356803015,0.0078125
256,2.272737349,0.2625,16.54207985898005,2.6172338356803015,0.00390625
384,3.181746931,0.34,21.17505943210844,2.5715641879411137,0.0026041666666666665
512,4.404118337,0.4,24.383029272892518,2.5715641879411137,0.001953125
640,5.529799247,0.445,27.179985778760607,2.5715641879411137,0.0015625
768,6.827469559,0.4975,30.23696563599842,2.392725788617528,0.0013020833333333333
896,7.940084627,0.54,32.95263240510634,2.392725788617528,0.0011160714285714285
1024,9.064232961,0.5725,34.886047747309824,2.392725788617528,0.0009765625
1152,10.743345256,0.605,36.71169299261754,2.392725788617528,0.0008680555555555555
1280,12.339824342,0.6425,38.616203371850034,2.392725788617528,0.00078125
1408,13.60102415,0.6675,40.327067911376474,2.392725788617528,0.0007102272727272727
1536,14.98443866,0.685,41.270469905771535,2.392725788617528,0.0006510416666666666
1664,16.035616432,0.7225,43.25036700975876,2.392725788617528,0.0006009615384615385
1792,17.053446053,0.7475,44.34116986371263,2.392725788617528,0.0005580357142857143
1920,18.007499465,0.7675,45.28793573388255,2.392725788617528,0.0005208333333333333
2048,19.117609659,0.78,46.051719350189344,2.392725788617528,0.00048828125
2176,20.15079157,0.785,46.51471259907587,2.392725788617528,0.00045955882352941176
2304,21.562748002,0.795,47.11358931049176,2.392725788617528,0.00043402777777777775
2432,22.505147001,0.8025,47.736892315112506,2.392725788617528,0.00041118421052631577
2560,23.698608859,0.81,48.29306157944055,2.392725788617528,0.000390625
2688,24.8296685,0.8225,48.95930246143469,2.392725788617528,0.0003720238095238095
2816,25.638822539,0.8375,49.64705091496247,2.392725788617528,0.0003551136363636364
2944,27.08894824,0.84,50.16104496293357,2.392725788617528,0.00033967391304347825
3072,28.170404758,0.8525,50.844017301133114,2.392725788617528,0.0003255208333333333
3200,28.986065493,0.8575,51.251799465071734,2.392725788617528,0.0003125
3328,30.017919865,0.8675,51.77420645097331,2.392725788617528,0.00030048076923076925
3456,30.973990936,0.875,52.32938329536825,2.392725788617528,0.00028935185185185184
3584,32.028642489,0.8775,52.65445334180668,2.392725788617528,0.00027901785714285713
3712,32.800499213,0.885,53.16841691361606,2.392725788617528,0.00026939655172413793
3840,33.651008863,0.89,53.52885664723545,2.392725788617528,0.00026041666666666666
3968,34.880612025,0.9025,54.02039975469203,2.392725788617528,0.00025201612903225806
4096,35.975369301,0.9075,54.42967242363619,2.392725788617528,0.000244140625
4224,36.979940112,0.91,54.772468565571145,2.392725788617528,0.00023674242424242425
4352,37.769744712,0.9125,55.18200655635454,2.392725788617528,0.00022977941176470588
4480,38.690876632,0.915,55.3911084786793,2.392725788617528,0.0002232142857142857
