sample,feasible,forward_distance_m,lateral_drift_m,mechanical_work_j,descriptor_duty_factor,descriptor_body_height_std_mm,minimum_torso_height_m,terrain_contact_steps,constraint_fall_m,constraint_drift_m,score,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10,decision_11,decision_12,decision_13,decision_14,decision_15,decision_16,decision_17,decision_18,decision_19,decision_20,decision_21,decision_22,decision_23,decision_24
1591,1,0.3376163714535011,0.17070255052383299,0.15902555602620186,0.9940972222222222,71.54247753176553,0.3122195580649598,720,-0.16221955806495983,-0.329297449476167,-0.3372983203414487,0.7571234311771133,0.5692474537031728,1.5710663218197336,0.432937996319272,0.5213250062922525,-2.7568299005108776,0.7090200761793742,0.14184541046879479,2.8782787354634705,0.1357713620908384,0.61762462883931,-2.321041691618361,0.33666452614169573,0.5516297203625745,1.8090516411804884,0.6460753462141552,0.644923379482039,-0.697847805381052,-0.03278206810342765,0.12145257438826303,-0.10782947614270988,-0.409140646694995,0.39303103625133873,1.7697185432985858,-0.41769114377031025
1592,0,0.9412154757717043,0.29725908266093815,0.7381210645061661,0.28402777777777777,179.87766025956594,0.10397167868177333,411,0.046028321318226664,-0.20274091733906185,1046.0283213182267,0.9524825538497557,0.7782340980412458,0.6593197428635214,0.19194385008910053,0.6933142151128516,-2.3383949311816563,0.3702292296369617,0.7272069136331383,-2.498952030877309,0.2060992597553878,0.5158623038694724,-0.9506581232434428,-0.11474506669588597,0.6490625052346441,0.6824980494034123,-0.2625202746841365,0.19049831193535277,1.2510538579122814,0.6407802227451672,0.1108400660346276,-2.8214455785783352,0.018751948445401845,0.7609465675869727,1.6862127014757986,0.05270364401114758
1593,1,0.3699145092700581,0.09369534612120509,0.23288918885760643,0.9416666666666667,77.13367093644713,0.31373840505384065,720,-0.16373840505384066,-0.4063046538787949,-0.36944873089234287,2.829670183267087,0.7766183708433856,-1.5138882052229268,0.18900389103073711,0.008441897334139626,1.9919090948177516,0.3741384487432583,0.5493021548849317,-1.2779140282310908,0.4984181024573303,0.3719848440769147,2.9552219548445304,0.5775421248701141,0.2147839958290689,-2.8964368939362077,-0.2548767163554926,0.3137604934191508,2.3535564557423063,-0.2383077214960288,0.7052088966713077,-0.7575648463248075,-0.24207841626624182,0.2637521747824126,0.13203287176015044,0.34270888695842927
1594,0,0.8645336541590298,0.011506308626047498,0.7071798553520685,0.16354166666666667,152.47600108802283,0.10312007793390088,236,0.04687992206609912,-0.4884936913739525,1046.8799220660992,0.9135817974169962,0.2822174461844746,-0.006762534537495313,0.7823367963409534,0.7939833790273056,-3.0433609803843744,0.5652633909634793,0.42860696217738187,-2.399986747064689,0.26173735535467146,0.04777355699940902,-3.0137227242766254,0.6258011837655307,0.6287357989769037,-0.4107811186153021,0.7339002557047681,0.5213904784320141,-2.4045343850796406,-0.5153403831405835,0.7224132834451377,2.5315299208083903,-0.13148496718779507,0.37831751590248014,-2.7934065808937167,0.75137858245693
1595,0,0.8950763231330011,0.002287707207034771,0.8613678737918401,0.16666666666666666,159.61870560437305,0.10324904944224537,240,0.04675095055775462,-0.49771229279296525,1046.7509505577545,1.5723346477690696,0.20745344505867377,0.33785556776762515,0.033494084389827594,0.5711982098182263,0.504677029877084,-0.04953275472884944,0.25632610935820005,-1.2924684602695342,-0.2670028729159276,0.646271058042535,-0.37673963066097294,0.21618135560262497,0.2537401212096368,0.5341911112007183,-0.13862579817992465,0.5264334047623813,2.6303363084080154,0.7916036892842228,0.6375211764089321,-0.419991128046985,-0.10968704352007641,0.7161061990210528,1.2582528363136607,-0.4319758015496109
1596,0,0.903075802071505,0.07620263522096205,0.764794934596983,0.18125,163.1524074093886,0.10336260202278737,266,0.04663739797721263,-0.42379736477903795,1046.6373979772127,2.699050081576807,0.7701529324502238,1.0958503844009266,0.19656133778677098,0.4947688319295116,1.4836123015694964,0.17670452025941374,0.1735865230801694,0.45141176169965913,-0.18834933897163486,0.12178391033075463,1.2979302192556395,-0.23843628003950312,0.02597702429349962,-0.3221856152988183,0.38371143970279786,0.7238212503378347,-0.4387884190210296,0.1057617372144306,0.15226586853739113,-0.6115411427078312,-0.31279286880224655,0.664248467601693,0.3764245749502648,0.5098352583512101
1597,1,0.33641832034564345,0.08789512822285657,0.2522828311028562,0.8847222222222222,78.62274888234373,0.31002431751564624,720,-0.16002431751564625,-0.41210487177714344,-0.33591375468343776,1.5778475416572615,0.18785813924132208,-0.22035087608379555,-0.44464893508667747,0.08827419710439006,-1.4896046584072624,0.4585795523430979,0.3480213982594976,-0.025405584503941814,-0.5680708396608879,0.043160157569534265,-1.2577869084845603,0.47362686389449926,0.33324654283593863,-0.04705063246496399,-0.040439079855984605,0.27545559283943427,-2.329189427587521,0.6125271441737327,0.12850793893113785,2.1308142150302167,0.26973951896160453,0.5885960899572543,-2.4994780868621853,0.5029057902550728
1598,0,0.6669018998561591,0.012139204699099354,0.8485287379175692,0.13229166666666667,112.96732304661204,0.10264115484264712,191,0.04735884515735288,-0.48786079530090065,1047.3588451573528,2.926108904180386,0.6032055872422335,-0.13537263399081167,-0.4787779496735968,0.09810138759945462,-2.5421121531921798,-0.43813318694886705,0.20479300510359366,0.48948878224949777,0.0765295256517875,0.5260971931322842,-0.7881980238781945,0.6665253423290841,0.6676381433225768,-1.3938153213982887,0.10088303568191614,0.7375990239706883,-1.24209759786464,0.33669242909901564,0.5751436887432056,2.0841018284501738,0.018999887576837904,0.4783442580091543,-1.9157626580462135,-0.08187269762533966
1599,0,0.84444888516443,0.0077802018933061075,0.7250730161166582,0.15763888888888888,150.82770438273974,0.10288362968485172,227,0.04711637031514827,-0.4922197981066939,1047.1163703151483,2.7990419366464847,0.3905335553187193,2.8534268234376094,0.6869034110947042,0.1276517178138418,-1.2879063852349526,-0.11821372177594597,0.3886264636995527,-1.471184053339274,-0.14335036392196182,0.11574660504676722,-0.8256167868652158,0.6908755805305061,0.08155804977938504,-2.0860737212583276,0.4746333933940935,0.3972254941795257,-1.325812428000503,0.10056279554755476,0.6135885905258739,-1.516315403778702,0.262745615467337,0.10867589153400409,0.8918150511459917,0.5843820537436563
1600,0,0.9184309441463108,0.0031331547632256858,0.7824364756008789,0.16875,166.62528860162882,0.1031651299450306,243,0.04683487005496939,-0.4968668452367743,1046.8348700549693,1.1913222888111814,0.372495105000461,-2.7108551924374487,0.4807978177375555,0.3383427025432825,-2.549161105654026,0.1275771444707603,0.31144884178589766,-0.8823752684622748,0.4014616325615291,0.2145360602675062,2.215926412290975,0.7117934767189132,0.6113562552573284,0.9812268745093622,0.5205201129860658,0.6201164747477439,0.05000862382048332,-0.03463305520086213,0.7894247775555168,3.0171672008954067,0.2419626226543945,0.0913460462883462,-2.1199959079824624,-0.124966002628289
