evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
256,63.844329583,0.11,79.19127340475642,0.45632059499915684,0.78125
512,141.779618984,0.215,153.76602474287762,0.44766253062216144,0.455078125
768,208.518640826,0.28,195.1956428553767,0.44766253062216144,0.3307291666666667
1024,292.88126923,0.3125,214.83462683784845,0.4458981403710724,0.2626953125
1280,373.758454226,0.3425,232.92964659806907,0.4458981403710724,0.22578125
1536,454.234586078,0.3675,249.48430293616445,0.44340033091827474,0.19791666666666666
1792,527.114146391,0.38,258.82404947942416,0.44340033091827474,0.18415178571428573
2048,597.094684666,0.39,266.56099964513953,0.44340033091827474,0.17333984375
2304,667.970965157,0.395,271.4689727937462,0.44340033091827474,0.1640625
2560,737.211120798,0.4075,280.37189049395346,0.44340033091827474,0.16171875
2816,815.655226842,0.4125,284.2695123074263,0.44340033091827474,0.1590909090909091
3072,891.088937367,0.4175,288.1231453074527,0.44340033091827474,0.15266927083333334
3328,969.839637279,0.4225,292.1929948231466,0.44013338195148216,0.14813701923076922
3584,1044.199735218,0.4325,299.505185856606,0.44013338195148216,0.14564732142857142
3840,1122.807389204,0.435,301.4555995242423,0.44013338195148216,0.14348958333333334
4096,1199.558272253,0.4375,303.6181359002342,0.44013338195148216,0.14111328125
4352,1275.861650633,0.44,306.54427385562724,0.44013338195148216,0.1371783088235294
4608,1351.104916145,0.44,306.8263211634033,0.44013338195148216,0.13758680555555555
4864,1431.980285346,0.4425,309.41102651100755,0.44013338195148216,0.13877467105263158
5120,1507.339474857,0.445,310.5721615871649,0.44013338195148216,0.1376953125
5376,1586.12664053,0.445,310.9876269080639,0.44013338195148216,0.1370907738095238
5632,1659.861902826,0.445,311.2873314327006,0.44013338195148216,0.13849431818181818
5888,1732.363299002,0.4475,313.90040606475327,0.44013338195148216,0.13943614130434784
6144,1803.733248684,0.4475,314.44086814934076,0.44013338195148216,0.13785807291666666
6400,1880.147802589,0.4475,314.9228337630959,0.44013338195148216,0.13796875
6656,1963.961950122,0.4475,315.06498743884686,0.44013338195148216,0.1385216346153846
6912,2039.983442654,0.4475,315.3413442764769,0.44013338195148216,0.13642939814814814
7168,2122.96008561,0.4475,315.47386808372806,0.44013338195148216,0.13616071428571427
7424,2200.475410487,0.45,317.6062242191714,0.44013338195148216,0.13631465517241378
7680,2276.343439714,0.45,317.83351141800233,0.44013338195148216,0.13723958333333333
7936,2349.218753028,0.45,317.8951260003453,0.44013338195148216,0.13684475806451613
8192,2438.558170231,0.4525,320.20785522695206,0.44013338195148216,0.135986328125
8448,2519.247652998,0.455,322.2696016241624,0.44013338195148216,0.13624526515151514
8704,2599.28621993,0.455,322.6580600670744,0.44013338195148216,0.13671875
8960,2691.865283793,0.455,322.88376786718214,0.44013338195148216,0.13716517857142857
9216,2773.273093263,0.455,322.9757724743927,0.44013338195148216,0.13758680555555555
9472,2859.895416807,0.46,326.53533379975994,0.44013338195148216,0.13798564189189189
9728,2940.664913554,0.4625,327.6058260597945,0.44013338195148216,0.13795230263157895
9984,3027.170586434,0.4625,327.76175650055364,0.44013338195148216,0.1390224358974359
10240,3108.933366299,0.4625,327.8422536203587,0.43841639475950783,0.140234375
10496,3191.004187427,0.4625,327.90533180210457,0.43841639475950783,0.1403391768292683
10752,3269.97606313,0.4625,327.9897209480324,0.43841639475950783,0.1402529761904762
11008,3349.872810253,0.4625,328.02578667176715,0.43841639475950783,0.1392623546511628
11264,3438.471081574,0.4625,328.3174929424173,0.43841639475950783,0.13911576704545456
11520,3517.790200644,0.4625,328.5290509290976,0.43841639475950783,0.13967013888888888
11776,3594.648392605,0.4625,328.67168540693103,0.43841639475950783,0.13918138586956522
12032,3673.970112177,0.4625,328.67751890306505,0.43841639475950783,0.13863031914893617
12288,3757.156365714,0.4625,328.7635930181397,0.43841639475950783,0.13972981770833334
12544,3841.41499783,0.465,330.6975547302166,0.43841639475950783,0.1407844387755102
12800,3926.226539918,0.465,330.7784223384722,0.43841639475950783,0.1403125
13056,4003.250885352,0.4675,332.73266115531897,0.43841639475950783,0.14085477941176472
13312,4084.770780068,0.4675,332.73774643803216,0.43841639475950783,0.14130108173076922
13568,4170.467824102,0.47,335.0551240085535,0.43841639475950783,0.14187794811320756
13824,4253.202618067,0.47,335.1260867200849,0.43841639475950783,0.1421440972222222
14080,4352.563070935,0.47,335.2769429880558,0.43841639475950783,0.1421875
14336,4432.280930638,0.47,335.3357742675437,0.43841639475950783,0.14229910714285715
14592,4515.009434998,0.47,335.417206083363,0.43841639475950783,0.14226973684210525
14848,4599.131383661,0.4725,337.3051943811816,0.43841639475950783,0.1427801724137931
15104,4682.550082079,0.4725,337.368239205702,0.43841639475950783,0.14280985169491525
15360,4762.448424904,0.475,339.38483237847146,0.43841639475950783,0.14342447916666667
15616,4842.361812676,0.4775,341.3766652110532,0.43841639475950783,0.14312243852459017
15872,4938.276156279,0.4775,341.4554848507202,0.43841639475950783,0.14327116935483872
16128,5013.596804367,0.4775,341.5119106258819,0.43841639475950783,0.14360119047619047
16384,5100.860872676,0.48,343.51280521614495,0.43841639475950783,0.143310546875
