arm,feasible,worst_cost,objective,constraint_capacity,constraint_lateness,constraint_shift,used_vehicles,distance_km,actual_evaluations,elapsed_seconds,delta_vs_seed,search_best_feasible,search_best_cost,search_found_feasible_improvement
seed,true,1108.75147323793476062,1108.75147323793476062,0.00000000000000000,0.00000000000000000,0.00000000000000000,7,560.02074442333059778,1,0.00000000000000000,0.00000000000000000,true,1108.75147323793476062,false
cma,true,1108.75147323793476062,1108.75147323793476062,0.00000000000000000,0.00000000000000000,0.00000000000000000,7,560.02074442333059778,10230,0.12503889500000001,0.00000000000000000,true,1406.03900057683313207,false
de,true,1108.75147323793476062,1108.75147323793476062,0.00000000000000000,0.00000000000000000,0.00000000000000000,7,560.02074442333059778,10081,0.04729776500000000,0.00000000000000000,true,1492.65361056561073383,false
bite,true,1100.65311968654236807,1100.65311968654236807,0.00000000000000000,0.00000000000000000,0.00000000000000000,7,552.11847759293618765,10000,0.07157422400000001,-8.09835355139239255,true,1100.65311968654236807,true
