arm,evaluations,elapsed_seconds,best_quality
seed,0,0.00000000000000000,1108.75147323793476062
cma,1023,0.04159817800000000,1426.04422331055161521
cma,10230,0.12486104500000000,1406.03900057683313207
de,1000,0.01602162600000000,1492.65361056561073383
bite,1000,0.02399149800000000,1240.05754451989764675
bite,3000,0.03490476900000000,1100.65311968654236807
