niche_id,grid_x,grid_y,quality_train,descriptor_battery_capacity_mw_train,descriptor_capacitor_mvar_train,category_battery_bus,category_capacitor_bus_1,category_capacitor_bus_2,visit_count,objective_loss_mw,objective_voltage_deviation_mpu,objective_lifecycle_cost_musd,objective_security_index,constraint_voltage,constraint_thermal,constraint_power_flow,decision_generator_vm_1_pu,decision_generator_vm_2_pu,decision_generator_vm_3_pu,decision_generator_vm_4_pu,decision_generator_vm_5_pu,decision_generator_vm_6_pu,decision_generator_vm_7_pu,decision_generator_vm_8_pu,decision_generator_vm_9_pu,decision_tap_offset_1,decision_tap_offset_2,decision_tap_offset_3,decision_capacitor_bus_index_1,decision_capacitor_steps_1,decision_capacitor_bus_index_2,decision_capacitor_steps_2,decision_battery_bus_index,decision_battery_capacity_mw,decision_renewable_curtailment_1,decision_renewable_curtailment_2
318,18,15,14.793146407247,270.494761455902,225.000000000000,14,7,7,283,36.105986268005,14.782552779440,104.688442910034,0.999796991435,-0.017764185345,-0.000203008565,-1.000000000000,0.991990599968,1.009564323555,0.987567176364,1.002398688767,1.008688988207,1.003254784780,0.997196808519,0.988612108298,0.992657292043,0.000000000000,1.000000000000,0.000000000000,1.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,270.494761455902,0.396173849482,0.466198322603
278,18,13,14.797917469839,270.752335014823,200.000000000000,14,7,7,343,36.249121349770,14.703737039301,104.770814567618,0.999923753538,-0.016313077354,-0.000076246462,-1.000000000000,0.995708258532,1.009529442335,0.994211083061,1.007655509077,1.008669337425,0.999160726195,0.997195498312,0.985326567737,0.992574019771,0.000000000000,0.000000000000,-1.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,270.752335014823,0.396163055570,0.478632544816
277,17,13,14.816783701504,269.538361690624,200.000000000000,14,3,7,274,36.290115309379,14.510597705377,105.611286397108,0.999448509655,-0.012582589712,-0.000551490345,-1.000000000000,0.993965204783,1.009529622466,0.987591701571,1.007623440822,1.003123726992,0.999544524062,0.996909305924,0.988487275205,0.992652233911,0.000000000000,1.000000000000,0.000000000000,0.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,269.538361690624,0.426500390262,0.466178760758
237,17,11,14.823387064678,269.544081549120,175.000000000000,14,7,7,297,36.289198553327,14.668973284158,105.108758214775,0.999724167054,-0.013123045614,-0.000275832946,-1.000000000000,0.994159648116,1.009563399149,0.994280142183,1.007623696505,1.008681940345,1.000958461412,1.000201006095,0.986470928587,0.992884968258,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,6.000000000000,2.000000000000,269.544081549120,0.425795229030,0.467824713114
337,17,16,14.843333948897,269.538863017897,250.000000000000,14,3,7,114,35.996639379525,14.910805955170,104.936869948145,0.999918562167,-0.016984810245,-0.000081437833,-1.000000000000,0.992033753506,1.009563554295,0.987382932639,1.007624608363,1.008684230278,0.999140551055,0.996823749155,0.988533982732,0.992597386773,0.000000000000,0.000000000000,0.000000000000,0.000000000000,4.000000000000,1.000000000000,6.000000000000,2.000000000000,269.538863017897,0.397412997685,0.466824959223
317,17,15,14.848670538070,269.523144746025,225.000000000000,14,7,7,258,36.232337034617,14.920945588722,104.591303160036,0.999747212035,-0.017748641912,-0.000252787965,-1.000000000000,0.990158863564,1.009564307439,0.987567191514,1.007622638270,1.008683883436,0.992399577275,0.997036220152,0.988566345407,0.996753101067,0.000000000000,1.000000000000,0.000000000000,1.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,269.523144746025,0.397952822727,0.466817005820
238,18,11,14.860476727674,270.590697913231,175.000000000000,14,7,7,401,36.267234114585,14.733002323545,105.300471278277,0.999843155993,-0.013574162187,-0.000156844007,-1.000000000000,0.993965210349,1.010691775107,0.994162371979,1.007623645574,1.008659616679,0.999579103460,1.000201781469,0.988489132506,0.992803726623,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,6.000000000000,2.000000000000,270.590697913231,0.426230827587,0.466224463979
338,18,16,14.891183336771,270.454969623909,250.000000000000,14,3,7,133,36.001792890138,14.966695720381,105.271967331874,0.999439856460,-0.016959626913,-0.000560143540,-1.000000000000,0.993965204783,1.009529622466,0.987567191514,1.002403847476,1.008688586771,0.999549673688,0.996914707538,0.988487275205,0.992652298702,0.000000000000,1.000000000000,-1.000000000000,0.000000000000,4.000000000000,1.000000000000,6.000000000000,2.000000000000,270.454969623909,0.397380552414,0.466178760758
378,18,18,14.960182868211,270.683731786291,275.000000000000,14,3,7,62,36.025577223768,15.339178086594,104.692856400159,0.999164740671,-0.020250863865,-0.000835259329,-1.000000000000,0.996005525718,1.009529616072,0.987932664351,1.008953175541,1.006305494001,0.999535243259,0.992870720995,0.987596525626,0.997082948439,0.000000000000,0.000000000000,-1.000000000000,0.000000000000,5.000000000000,1.000000000000,6.000000000000,2.000000000000,270.683731786291,0.377340344444,0.467413426233
377,17,18,14.961523284301,269.538863017897,275.000000000000,14,3,7,63,36.025163531771,15.161651395673,105.409431999117,0.997956735137,-0.018828901732,-0.002043264863,-1.000000000000,0.995943498371,1.009529211950,0.983310298635,1.007624617450,1.008684230278,0.999134979972,0.992942988545,0.988532514271,0.992508126204,0.000000000000,0.000000000000,0.000000000000,0.000000000000,5.000000000000,1.000000000000,6.000000000000,2.000000000000,269.538863017897,0.397412997685,0.467413999039
