design,scenario,converged,iterations,loss_mw,voltage_rms_pu,min_vm_pu,max_vm_pu,max_line_loading_percent,voltage_constraint_pu,thermal_constraint,security_index,mismatch_pu
baseline,base,true,3,35.679472358460,0.034305956029,0.982000000000,1.061167955414,148.686750085334,0.001167955414,-0.070707811967,1.019465923561,0.000000000024
baseline,evening_peak,true,3,35.691625410288,0.031271497799,0.968284107139,1.060000000000,141.668464665832,0.000000000000,-0.114572095839,1.000000000000,0.000000015974
baseline,high_renewable_low_load,true,3,49.725549612684,0.034265728104,0.982000000000,1.064009235891,221.376310160050,0.004009235891,0.383601938500,1.383601938500,0.000000000074
baseline,hot_peak,true,4,46.449074327452,0.036665494390,0.932498968422,1.060000000000,179.022799577729,0.007501031578,0.118892497361,1.125017192972,0.000000000000
baseline,n_minus_1_line_23,true,3,37.784029635142,0.030308588650,0.982000000000,1.060000000000,179.948508012020,0.000000000000,-0.062768187437,1.000000000000,0.000000000799
baseline,renewable_trip,true,3,31.492883649635,0.032069857975,0.982000000000,1.060000000000,118.931160467481,0.000000000000,-0.256680247078,1.000000000000,0.000000000448
selected,base,true,3,34.362683178931,0.015150848327,0.977896147273,1.034113401611,133.814057645521,-0.025886598389,-0.163662139715,0.836337860285,0.000000000008
selected,evening_peak,true,3,32.272979251651,0.010395629626,0.974602044267,1.030940423971,116.792757873794,-0.029059576029,-0.270045263289,0.729954736711,0.000000000869
selected,high_renewable_low_load,true,3,42.059174857760,0.017407662324,0.979520879598,1.034830600003,159.967518629554,-0.025169399997,-0.000203008565,0.999796991435,0.000000000011
selected,hot_peak,true,3,39.925428153674,0.019302584621,0.957764185345,1.026050866568,158.874815185161,-0.017764185345,-0.007032405093,0.992967594907,0.000000406528
selected,n_minus_1_line_23,true,3,36.815985835304,0.011806827888,0.975503730380,1.031620028810,187.558448615423,-0.028379971190,-0.023133080128,0.976866919872,0.000000000148
selected,renewable_trip,true,3,31.199666330709,0.012590004541,0.976728445173,1.033145386579,123.696102269925,-0.026854613421,-0.226899360813,0.773100639187,0.000000000038
