arm,source_run,log_loss,log_loss_sdev,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,mean_model_bytes,mean_structural_cost,model_fits,trees_fitted,elapsed_seconds
fcmaes-scalar,results/quick/scalar,0.49776207066196476,0,0.15742360313128403,0.36736228278092153,0.6714603466789385,0.0708686440677966,0.2073170731707317,0.4857142857142857,0.0875,2274573,2860,1,236,0.152703705
fcmaes-mode-representative,results/quick/mo,0.5038609716702791,0,0.16147815101070676,0.3508976146593052,0.6670501610676484,0.07530171913793107,0.24390243902439024,0.37735849056603776,0.1325,118473,314,1,58,0.01679929
fcmaes-qd-representative,results/quick/qd,0.5697424096742388,0,0.191004638671875,0.35543620364052403,0.6643848749808253,0.1737890625,0.43902439024390244,0.3564356435643564,0.2525,667082,1509,1,256,0.094025032
baseline-default,results/quick/baselines/default,0.5421363373784306,0,0.15584837867188,0.3641683051656776,0.6761773278110139,0.07039062,0.23170731707317074,0.5757575757575758,0.0825,613543,724,1,64,0.03859786
baseline-random,results/quick/baselines/random,0.5118548521384949,0,0.16662529726516048,0.3486744755827003,0.6744707777266452,0.11038793103448284,0.3048780487804878,0.4032258064516129,0.155,139724,343,1,58,0.020663579
baseline-lhs,results/quick/baselines/lhs,0.5173885660705188,0,0.16891435354273207,0.3539042678652871,0.6590351280871299,0.11108108108108104,0.3048780487804878,0.4098360655737705,0.1525,205843,490,1,74,0.023116624
