case,hydraulic_timestep_s,billing_resolution_s,energy_kwh,energy_cost,peak_kw_hourly,peak_kw_native,starts,min_pressure_m,max_velocity_m_s,failed_at_step,override_steps,wall_seconds
baseline,3600,3600,199.23148540653880900,34.58376323845290301,8.40745799471232580,8.40745799471232580,2,21.01186724953646845,0.28208983825283168,,0,0.00079396000000000
baseline,1800,3600,199.19255247413804000,34.57935652422179373,8.40343867790999610,8.40745799471232580,2,21.01186724953646845,0.28208983825283168,,0,0.00153621900000000
baseline,900,3600,199.17311888526435837,34.57715515282117025,8.40143352174009905,8.40745799471232580,2,21.01186724953646845,0.28208983825283168,,0,0.00301269700000000
baseline,300,3600,199.16017537827551109,34.57568831659861530,8.40009843426500780,8.40745799471232580,2,21.01186724953646845,0.28208983825283168,,0,0.00879288000000000
override-witness,3600,3600,159.99259777332824228,30.16063344876762997,8.44237302176952298,8.44237302176952298,8,20.81602653749014564,0.28530640582811861,,5,0.00076892900000000
override-witness,1800,3600,164.03411016287918756,30.50082871585166089,8.42489308753019905,8.42517253043849479,12,20.91504574779914805,0.28369784827739863,,10,0.00148333900000000
override-witness,900,3600,161.84487515241991673,29.83007957552492684,8.41605283028876805,8.41652059423609877,24,20.95286333434603421,0.28290669768206433,,19,0.00290459600000000
override-witness,300,3600,163.20062547626767469,30.04730091226048927,8.41663561492700651,8.41720221678608738,66,20.95218756147288275,0.28296861066048035,,56,0.00858493600000000
