design,split,observations,mean_huber_error,p95_log_error,detection_mismatch_fraction,total_emission_g_s,scalar_score,source_position_error_m,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
baseline,training,256,0.22603386601450282,3.9525334659118845,0.09765625,2,1.7075455790836624,860.4244061075767,-600,-300,0,60,600,300,0,60,0,1,1,1
baseline,validation,100,0.311925804863265,4.707729612840987,0.12,2,2.0756311693576106,860.4244061075767,-600,-300,0,60,600,300,0,60,0,1,1,1
truth,training,256,0.002615963204247691,0.15632105119242778,0,3.6,0.09332833112159741,0,-820,420,0.37106786227173627,52,930,-610,0.09691001300805642,78,3,1.04,1.07,0.94
truth,validation,100,0.002020037085878551,0.1340513479470049,0,3.6,0.08493800886733027,0,-820,420,0.37106786227173627,52,930,-610,0.09691001300805642,78,3,1.04,1.07,0.94
selected,training,256,0.003047204621982524,0.06182775905746585,0,2.0804823813280335,0.0454917441053759,15.22309003402509,-813.4274365116316,430.6115517067933,0.128817779651103,41.22782960033961,912.2643344830076,-607.1446208696645,-0.13360241609183354,59.684682906715445,2.9085830491760554,0.8002054508402685,1.0606146550229136,0.703991653265305
selected,validation,100,0.005223503473772567,0.2164947924377576,0,2.0804823813280335,0.10180150464026805,15.22309003402509,-813.4274365116316,430.6115517067933,0.128817779651103,41.22782960033961,912.2643344830076,-607.1446208696645,-0.13360241609183354,59.684682906715445,2.9085830491760554,0.8002054508402685,1.0606146550229136,0.703991653265305
