evaluations,elapsed_seconds,best_quality
5000,0.222605712,-0.07820198565078905
12174,0.227401462,-0.05664181347602617
48479,0.381558569,-0.050195752579927616
62175,0.417971721,-0.047384111684938
100002,0.533733529,-0.046318872425895094
189132,0.6707233,-0.04552899637804993
212610,0.676893512,-0.0454917441053759
