evaluations,elapsed_seconds,best_quality,feasible_fraction
128,0.227858792,1.3737286710598362,0.4453125
256,0.437267521,1.3737286710598362,0.4453125
384,0.650207542,1.3737286710598362,0.8046875
512,0.857092294,1.3737286710598362,0.890625
640,1.061504473,1.3489931212207575,0.8671875
768,1.274545333,1.3489931212207575,0.8984375
896,1.4891634200000001,1.3489931212207575,0.8828125
1024,1.697066712,1.2946769641363738,0.8515625
1152,1.910610709,1.2946769641363738,0.9140625
1280,2.119693893,1.2946769641363738,0.9140625
1408,2.333390658,1.2946769641363736,0.9296875
1536,2.564854929,1.2946769641363736,0.9296875
1664,2.795759442,1.2946769641363736,0.9453125
1792,3.022405778,1.2946769641363736,0.890625
1920,3.242221447,1.2887037004584778,0.890625
2048,3.456139014,1.284622524994186,0.8984375
2176,3.682977492,1.2584805950850226,0.9375
2304,3.910357353,1.2584805950850226,0.890625
2432,4.141067374,1.2584805950850226,0.8828125
2560,4.366015091,1.2174786642818753,0.90625
2688,4.595529073,1.2174786642818753,0.9375
2816,4.811930673,1.2174786642818753,0.890625
2944,5.034462771,1.2174786642818753,0.90625
3072,5.268480898,1.1871526645035075,0.9375
3200,5.500446607,1.1871526645035075,0.921875
3328,5.727771439,1.1871526645035075,0.9296875
3456,5.950114406,1.1871526645035075,0.9609375
3584,6.170676179,1.1871526645035075,0.890625
3712,6.390810568,1.1871526645035075,0.921875
3840,6.61507022,1.1871526645035075,0.90625
3968,6.848046644,1.1871526645035075,0.9375
4096,7.075841845,1.1871526645035075,0.8828125
4224,7.295321829,1.1871526645035075,0.9375
4352,7.510775025,1.1790843408071885,0.953125
4480,7.733438527,1.1531665272542768,0.921875
4608,7.961652687,1.1531665272542768,0.90625
4736,8.177067677,1.1531665272542768,0.9296875
4864,8.408889463,1.1531665272542768,0.9140625
4992,8.631454270999999,1.1531665272542768,0.8828125
5120,8.848995975,1.1531665272542768,0.90625
5248,9.083405468,1.136878463432778,0.875
5376,9.31591061,1.136878463432778,0.90625
5504,9.540242515,1.136878463432778,0.8828125
5632,9.7634482,1.136878463432778,0.9140625
5760,9.986524746,1.136878463432778,0.8984375
5888,10.207891968,1.136878463432778,0.921875
6016,10.434192887,1.136878463432778,0.9375
6144,10.65994432,1.136878463432778,0.890625
6272,10.899328891,1.136878463432778,0.8828125
6400,11.120968514,1.136878463432778,0.8828125
6528,11.34238812,1.136878463432778,0.875
6656,11.559278946,1.136878463432778,0.8828125
6784,11.789940852,1.136878463432778,0.8828125
6912,12.015506182,1.136878463432778,0.875
7040,12.234863544,1.136878463432778,0.8671875
7168,12.477184948,1.136878463432778,0.8828125
7296,12.702578356,1.136878463432778,0.8984375
7424,12.921584489,1.136878463432778,0.921875
7552,13.159716909,1.136878463432778,0.9453125
7680,13.383888736,1.1367984786397818,0.890625
7808,13.610983593,1.1367984786397818,0.921875
7936,13.833695076,1.1367984786397818,0.9375
8064,14.056164273,1.1367984786397818,0.921875
8192,14.276648488,1.1367984786397818,0.921875
8320,14.502533396,1.1367984786397818,0.9296875
8448,14.724726492,1.1344553626403877,0.9375
8576,14.947558528,1.1344553626403877,0.890625
8704,15.17414035,1.1340938374660843,0.9375
8832,15.3953782,1.1340938374660843,0.9140625
8960,15.618282939,1.1340938374660843,0.953125
9088,15.838327032,1.1340938374660843,0.890625
