i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
10,1,1.312500000,0.187500000,0,0.012543078,0.000201628,0.004127260,0.000446149,0.300000000,0.250000000
11,1,1.437500000,0.187500000,0,0.012102598,0.000100713,0.004233062,0.000649270,0.300000000,0.250000000
12,1,1.562500000,0.187500000,0,0.011767107,0.000118405,0.004172411,0.000914615,0.300000000,0.250000000
13,1,1.687500000,0.187500000,0,0.011461306,0.000094185,0.004006831,0.001249847,0.300000000,0.250000000
14,1,1.812500000,0.187500000,0,0.011367455,-0.000020249,0.003976966,0.001660595,0.300000000,0.250000000
15,1,1.937500000,0.187500000,0,0.011476506,-0.000066237,0.003946486,0.002149882,0.300000000,0.250000000
16,1,2.062500000,0.187500000,0,0.011718754,-0.000103455,0.003797789,0.002717485,0.300000000,0.250000000
17,1,2.187500000,0.187500000,0,0.012098499,-0.000154056,0.003694393,0.003358894,0.300000000,0.250000000
18,1,2.312500000,0.187500000,0,0.012699824,-0.000267773,0.003611378,0.004066457,0.300000000,0.250000000
19,1,2.437500000,0.187500000,0,0.013485008,-0.000275879,0.003409451,0.004830165,0.300000000,0.250000000
20,1,2.562500000,0.187500000,0,0.014459427,-0.000390269,0.003208539,0.005637598,0.300000000,0.250000000
21,1,2.687500000,0.187500000,0,0.015804011,-0.000529870,0.002994795,0.006475516,0.300000000,0.250000000
22,1,2.812500000,0.187500000,0,0.017342337,-0.000518938,0.002653934,0.007333899,0.300000000,0.250000000
23,1,2.937500000,0.187500000,0,0.018965760,-0.000577268,0.002325211,0.008201889,0.300000000,0.250000000
24,1,3.062500000,0.187500000,0,0.020911930,-0.000755497,0.001848485,0.009072471,0.300000000,0.250000000
25,1,3.187500000,0.187500000,0,0.023076307,-0.000678989,0.001212892,0.009950271,0.300000000,0.250000000
26,1,3.312500000,0.187500000,0,0.025199367,-0.000749794,0.000693460,0.010842599,0.300000000,0.250000000
27,1,3.437500000,0.187500000,0,0.027167227,-0.000571176,-0.000032851,0.011765452,0.300000000,0.250000000
28,1,3.562500000,0.187500000,0,0.028397166,-0.000240602,-0.000900571,0.012742000,0.300000000,0.250000000
29,1,3.687500000,0.187500000,0,0.029467862,-0.000466348,-0.001599076,0.013792538,0.300000000,0.250000000
30,1,3.812500000,0.187500000,0,0.030557651,-0.000259286,-0.002390152,0.014980627,0.300000000,0.250000000
31,1,3.937500000,0.187500000,0,0.029865263,0.000747754,-0.002985448,0.016340861,0.300000000,0.250000000
32,1,4.062500000,0.187500000,0,0.028036322,0.000406414,-0.003108879,0.017853749,0.300000000,0.250000000
33,1,4.187500000,0.187500000,0,0.027765084,-0.000293782,-0.004171474,0.019528909,0.300000000,0.250000000
34,1,4.312500000,0.187500000,0,0.026537740,0.001270522,-0.004846448,0.021419555,0.300000000,0.250000000
35,1,4.437500000,0.187500000,0,0.021257128,0.002143630,-0.003387220,0.023103200,0.300000000,0.250000000
