station,longitude_deg,latitude_deg,accepted_passes,rejected_short_passes,contact_hours,maximum_gap_hours
Svalbard,15.41000000,78.23000000,62,0,5.547591146,0.447200521
Fairbanks,-147.72000000,64.82000000,20,2,1.912565104,2.126627604
Singapore,103.70000000,1.32000000,8,0,0.799088542,3.406119792
Hartebeesthoek,27.71000000,-25.89000000,8,2,0.810091146,3.399283854
Cordoba,-66.10000000,-33.20000000,9,2,0.894466146,3.402213542
Troll,2.53000000,-72.00000000,31,4,2.957942708,1.455598958
