evaluations,elapsed_seconds,best_quality,feasible_fraction
128,0.219349128,1.3262425955030848,0.4375
256,0.431667319,1.3262425955030848,0.484375
384,0.638164637,1.3262425955030848,0.8203125
512,0.856542728,1.3192838219899574,0.8828125
640,1.077412677,1.3192838219899574,0.890625
768,1.286509095,1.3192838219899574,0.921875
896,1.484809195,1.3030400577616696,0.9375
1024,1.701686781,1.3030400577616696,0.9140625
1152,1.917209685,1.3030400577616696,0.9375
1280,2.124522437,1.3030400577616696,0.921875
1408,2.33284803,1.2982868763188613,0.9140625
1536,2.550628258,1.2982868763188613,0.921875
1664,2.773168744,1.2982868763188613,0.9375
1792,3.000668254,1.227379858328347,0.921875
1920,3.223670947,1.227379858328347,0.9375
2048,3.447114355,1.227379858328347,0.9453125
2176,3.668281843,1.2156109781736322,0.921875
2304,3.889179925,1.2156109781736322,0.90625
2432,4.112700513,1.2156109781736322,0.9453125
2560,4.342374685,1.2156109781736322,0.890625
2688,4.561971268,1.2156109781736322,0.9609375
2816,4.783333248,1.2156109781736322,0.9296875
2944,5.008753095,1.2156109781736322,0.921875
3072,5.246940788,1.2136895892479982,0.9296875
3200,5.471292864,1.2136895892479982,0.9140625
3328,5.69713739,1.2136895892479982,0.921875
3456,5.917164892,1.2136895892479982,0.953125
3584,6.142050692,1.2136895892479982,0.9375
3712,6.369927076,1.2136895892479982,0.890625
3840,6.594211477,1.2136895892479982,0.9296875
3968,6.819939539,1.2136895892479982,0.921875
4096,7.050537177,1.2136895892479982,0.90625
4224,7.280918673,1.2136895892479982,0.953125
4352,7.50739187,1.2136895892479982,0.921875
4480,7.742525624,1.2136895892479982,0.8984375
4608,7.978854332,1.2136895892479982,0.984375
4736,8.215834295,1.2136895892479982,0.9453125
4864,8.445598643,1.2136895892479982,0.921875
4992,8.675007466,1.2136895892479982,0.9375
5120,8.898839372,1.2136895892479982,0.921875
5248,9.129729687,1.2136895892479982,0.9375
5376,9.361605833,1.2136895892479982,0.9453125
5504,9.601399286,1.2136895892479982,0.9296875
5632,9.827110782,1.2136895892479982,0.9140625
5760,10.055620131,1.2136895892479982,0.8984375
5888,10.285611466,1.2136895892479982,0.921875
6016,10.507676854,1.2136895892479982,0.9296875
6144,10.728624656000001,1.2136895892479982,0.9375
6272,10.951992977,1.2136895892479982,0.921875
6400,11.183787851,1.2136895892479982,0.8515625
6528,11.409720633,1.2136895892479982,0.9296875
6656,11.638789704,1.2136895892479982,0.84375
6784,11.868779154,1.2136895892479982,0.921875
6912,12.097161434,1.2136895892479982,0.9453125
7040,12.333282139,1.2136895892479982,0.9140625
7168,12.560510279,1.2136895892479982,0.90625
7296,12.792137732,1.2136895892479982,0.921875
7424,13.017572355,1.2082706288751361,0.9140625
7552,13.245532179,1.1939376899360647,0.9453125
7680,13.4768608,1.1665054263177734,0.9296875
7808,13.699321106,1.1665054263177734,0.9140625
7936,13.923879985,1.1665054263177734,0.9453125
8064,14.151009272,1.1665054263177734,0.9140625
8192,14.375053882,1.1665054263177734,0.921875
8320,14.602085483,1.1665054263177734,0.953125
8448,14.820117951,1.1665054263177734,0.9296875
8576,15.052211757,1.1665054263177734,0.890625
8704,15.287823162,1.1665054263177734,0.8984375
8832,15.511228915,1.1665054263177734,0.9375
8960,15.737444541,1.1665054263177734,0.9453125
9088,15.961470006,1.1665054263177734,0.8984375
9216,16.185606221,1.1665054263177734,0.9375
9344,16.418867972,1.1665054263177734,0.9140625
9472,16.648915533,1.1665054263177734,0.8828125
9600,16.875113074,1.1665054263177734,0.921875
9728,17.104457866,1.1665054263177734,0.921875
9856,17.332427379,1.1665054263177734,0.9296875
9984,17.560115725,1.15504938630384,0.921875
10112,17.782903935,1.15504938630384,0.9375
10240,18.016652113,1.15504938630384,0.8828125
10368,18.247170927,1.15504938630384,0.8984375
10496,18.478744568,1.15504938630384,0.9296875
10624,18.704914929,1.15504938630384,0.9140625
10752,18.928462292,1.15504938630384,0.90625
10880,19.154330319,1.1542582077847559,0.921875
11008,19.386870632,1.1542582077847559,0.859375
11136,19.614728035,1.1542582077847559,0.9453125
11264,19.84325464,1.1539035506785325,0.9140625
11392,20.065791801,1.1539035506785325,0.9296875
11520,20.290307292,1.1539035506785325,0.9609375
11648,20.515627822,1.1539035506785325,0.921875
11776,20.739368482,1.1539035506785325,0.9140625
11904,20.970509598,1.1539035506785325,0.921875
12032,21.197152924,1.1421184632300894,0.9375
12160,21.420515793,1.1421184632300894,0.9375
12288,21.635246083,1.1421184632300894,0.90625
12416,21.859525791,1.1421184632300894,0.890625
12544,22.095758147,1.1421184632300894,0.96875
12672,22.324425533,1.1421184632300894,0.953125
12800,22.557558673,1.1421184632300894,0.9375
12928,22.778378909,1.1280657780774273,0.9609375
13056,23.009864079,1.1280657780774273,0.90625
13184,23.243282589,1.1280657780774273,0.890625
13312,23.468927348,1.1280657780774273,0.9296875
13440,23.699743671,1.1280657780774273,0.8828125
13568,23.928539181,1.1280657780774273,0.9375
13696,24.157239203,1.1280657780774273,0.9375
13824,24.388256808,1.1280657780774273,0.96875
13952,24.610949149,1.1280657780774273,0.9375
14080,24.829940768,1.1280657780774273,0.96875
14208,25.061009522,1.1280657780774273,0.9140625
14336,25.289541094,1.1280657780774273,0.90625
14464,25.513376855,1.1280657780774273,0.9453125
14592,25.74160106,1.1280657780774273,0.90625
14720,25.971415975,1.1280657780774273,0.9140625
14848,26.204451322,1.1280657780774273,0.9296875
14976,26.429408314,1.1280657780774273,0.9140625
15104,26.669173777,1.1280657780774273,0.90625
