accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_l0,constraint_l0,estimated_score_l0,fixed_mass_score_l0,flight_days,requested_evaluations,actual_evaluations,worker_seconds,l1_promoted,l1_threshold_passed,l1_score,surrogate_gap
22,3-5-6-2-5-10,3-5-6-2-5-10|01010,L6-I2-TJSJ-R4-F15y,Agent,true,383870801446.37537,38.38708015483848,102.00939654453579,4391.216592622697,5481.975627191043,3520000,1732427,3603.800698784,false,false,,
23,3-2-3-2-3-5-6-10,3-2-3-2-3-5-6-10|0101010,L8-I5-TJS-R6-F14y,Agent,true,3429186405.791401,0.3429186405791493,0.00009179635398681439,440969.710917985,5195.539585178587,3520000,2056253,3715.727987328,false,false,,
24,3-2-5-6-3-2-6-10,3-2-5-6-3-2-6-10|0101010,L8-I4-TJSS-R6-F17y,Agent,true,6331081655.647204,0.6331081987316651,331.6694470888641,410371.2894215169,6361.816305273049,3520000,2220024,5819.281628256,false,false,,
25,3-5-3-2-6-10,3-5-3-2-6-10|01010,L6-I3-TJS-R4-F11y,Agent,true,383870799849.35614,38.38708015482523,1698.8961267008315,269581.8202150923,4302.342138624059,3520000,1752661,2913.095303328,false,false,,
26,3-5-2-6-5-3-10,3-5-2-6-5-3-10|101010,L7-I3-TJSJ-R5-F14y,Agent,true,12806451354039.313,1280.6451354039314,0.0025803977871654334,485674.61009968776,5383.948701755912,3520000,1660143,3099.484851072,false,false,,
27,3-6-2-5-3-10,3-6-2-5-3-10|10101,L6-I3-TSJ-R4-F18y,Agent,true,13621601160327.055,1362.1601160348685,21.628199017553577,1157043.2759061106,6806.544641150563,3520000,1675553,2470.015273248,false,false,,
28,3-6-3-5-3-2-10,3-6-3-5-3-2-10|101010,L7-I4-TSJ-R5-F15y,Agent,true,13625501732727.168,1362.5501732727173,0.005303371829514962,462464.0686826713,5607.993992244637,3520000,1749463,2787.12218,false,false,,
29,3-5-3-5-2-6-3-10,3-5-3-5-2-6-3-10|0101010,L8-I4-TJJS-R6-F22y,Agent,true,398319916113.2631,39.831991857547955,2462.2164122307017,497296.430647298,8380.486219249848,3520000,1990120,5976.772144864,false,false,,
30,3-6-3-2-5-3-10,3-6-3-2-5-3-10|101010,L7-I4-TSJ-R5-F13y,Agent,true,13623239455521.615,1362.3239455521618,0.004061008482131447,211074.58773027943,5084.114015608507,3520000,1721538,2998.304774592,false,false,,
31,3-6-3-5-2-6-10,3-6-3-5-2-6-10|110100,L7-I3-TSJS-R3-F12y,Agent,true,13643684403411.816,1364.3684403411753,-0.06338646779413541,-137831.98207396475,4637.956836144584,3520000,1680380,3868.440318144,false,false,,
32,3-6-5-2-6-10,3-6-5-2-6-10|10110,L6-I2-TSJS-R3-F20y,Agent,true,13619302972873.463,1361.9302976490092,3616.629281977784,467312.47754433384,7528.596262104187,3520000,1811976,6213.487968448,false,false,,
33,3-5-6-3-2-5-6-10,3-5-6-3-2-5-6-10|0110101,L8-I3-TJSJS-R5-F26y,Agent,true,386393283937.7254,38.639340315605416,119218.32874822846,1694386.8325100436,9822.2717485438,3520000,1986405,5536.88066176,false,false,,
34,3-2-6-5-2-6-3-2-5-10,3-2-6-5-2-6-3-2-5-10|011010100,L10-I5-TSJSJ-R6-F15y,Agent,true,28342046147.07885,2.834204614707888,0.00003019786446206736,494151.770268752,5702.78370179217,3520000,2265663,6724.68152464,false,false,,
35,3-5-2-6-2-5-3-10,3-5-2-6-2-5-3-10|1010010,L8-I4-TJSJ-R5-F15y,Agent,true,13513617466266.49,1351.3617467012164,745.6733468316208,109539.93413383057,5798.395137062573,3520000,1873569,6771.477340096,false,false,,
36,3-6-2-5-3-2-3-10,3-6-2-5-3-2-3-10|1001010,L8-I5-TSJ-R5-F19y,Agent,true,13635535637747.85,1363.5535637747882,0.03270994324254839,388936.9761085232,7176.624978103802,3520000,1780438,3415.266139232,false,false,,
37,3-2-5-3-6-3-2-5-3-10,3-2-5-3-6-3-2-5-3-10|101011010,L10-I6-TJSJ-R7-F17y,Agent,true,7040608936236.53,704.060893623653,0.00000000000016958919530913398,411957.6153705522,6457.57010782433,3520000,2010853,4495.327951104,false,false,,
38,3-2-5-3-6-2-5-3-2-5-10,3-2-5-3-6-2-5-3-2-5-10|1010101010,L11-I6-TJSJJ-R9-F17y,Agent,true,6985212947533.062,698.5212947533062,0.0000000029242342455239893,558813.3953965933,6383.116096609391,3520000,2020345,5896.08822768,false,false,,
39,3-5-6-2-3-5-2-3-10,3-5-6-2-3-5-2-3-10|01010101,L9-I5-TJSJ-R7-F22y,Agent,true,394509106388.66815,39.45091064092618,20.59369824651296,1180005.3010194541,8351.160597033413,3520000,1988916,4368.688748096,false,false,,
