evaluations,elapsed_seconds,feasible_population,pareto_population,best_quality
32,0.00558773000000000,32,10,2.48637493170063895
64,0.00979297800000000,32,22,2.48637493170063895
160,0.02299735000000000,32,31,2.48637493170063895
256,0.03585096700000000,32,32,2.48637493170063895
