n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,33,fixed-frame,cma-retry,5694209903365972707,-3.32262781089461114e1,-4.43268010000000032e1,1.11005228910538918e1,2.50424633418817932e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.043520356,0.007265611,0.036254745,4538,0,true
13,33,fixed-frame,cma-retry,6054845415890715159,-3.52026596492782247e1,-4.43268010000000032e1,9.12414135072177857e0,2.05838029022707453e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.043684288,0.007299595,0.036384693,4444,0,true
13,33,fixed-frame,cma-retry,8048971573819030837,-3.12751315910887193e1,-4.43268010000000032e1,1.30516694089112839e1,2.94441942898412246e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.048158711,0.007998949,0.040159762,3795,0,true
13,33,fixed-frame,cma-retry,10065547755147478085,-2.76554613064202535e1,-4.43268010000000032e1,1.66713396935797498e1,3.76100673125041196e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.050887374,0.008670613,0.042216761,5162,0,true
13,33,fixed-frame,cma-retry,10307988297944474805,-3.22332185318196949e1,-4.43268010000000032e1,1.20935824681803084e1,2.72827774514572075e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.054441466,0.008908713,0.045532753,3468,0,true
13,33,fixed-frame,cma-retry,10509203992769182689,-3.27616566854244837e1,-4.43268010000000032e1,1.15651443145755195e1,2.60906360343384991e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.072693282,0.011529350,0.061163932,6080,0,true
13,33,fixed-frame,cma-retry,14076511471388420532,-3.46144820682585106e1,-4.43268010000000032e1,9.71231893174149263e0,2.19107147654113182e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.049942752,0.008245955,0.041696797,3407,0,true
13,33,fixed-frame,cma-retry,16235298172165022714,-3.73251740175469493e1,-4.43268010000000032e1,7.00162698245305393e0,1.57954709667703141e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.079645846,0.013120051,0.066525795,2993,0,true
13,33,fixed-frame,cma-retry,17425550653302497574,-3.03899431876678321e1,-4.43268010000000032e1,1.39368578123321711e1,3.14411541052379784e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.079297582,0.012501116,0.066796466,5029,0,true
13,33,fixed-frame,crfmnes-retry,3482299955060770590,-4.07079344784629882e1,-4.43268010000000032e1,3.61886652153701505e0,8.16405975594091393e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.031479854,0.008223427,0.023256427,217,0,true
