optimizer,feasible,objective,mean_lcoe,worst_lcoe,min_self_sufficiency,max_unserved_fraction,max_annual_cycles,constraint_self_sufficiency,constraint_unserved,constraint_cycles,constraint_lp_status,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen,delta_vs_seed
seed,0,0.23878360485416145,0.07023562710744438,0.07869490437192322,0.7539103197663967,0,426.5200118775517,-0.20391031976639662,-0.0001,61.520011877551724,-1,2400,1260,3999.9999999999995,999.9999999999998,0,0,1800,3,1,1,0,0.00000000000000000
cma,1,0.054025871558076644,0.054025871558076644,0.07510131692148027,0.9720942379500156,0,277.91910273301096,-0.42209423795001555,-0.0001,-87.08089726698904,-1,2818.5827329077883,2938.948383190788,2673.861415487776,1146.0735523726892,0,0,1800,3,1,1,0,-0.18475773329608480
de,1,0.04568314076278932,0.04568314076278932,0.05923796411110859,0.9253301220194572,0,0,-0.37533012201945715,-0.0001,-365,-1,1447.6046401076378,3000,0,0,0,0,1250,2,1,0,0,-0.19310046409137213
bite,1,0.05012001343347635,0.05012001343347635,0.061335984312789374,0.8819302146487745,0,0,-0.3319302146487745,-0.0001,-365,-1,1958.6144504188253,2488.539564330679,0,0,0,0,1250,2,1,0,0,-0.18866359142068509
