sample,feasible,forward_distance_m,lateral_drift_m,mechanical_work_j,descriptor_duty_factor,descriptor_body_height_std_mm,minimum_torso_height_m,terrain_contact_steps,constraint_fall_m,constraint_drift_m,score,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10,decision_11,decision_12,decision_13,decision_14,decision_15,decision_16,decision_17,decision_18,decision_19,decision_20,decision_21,decision_22,decision_23,decision_24
0,1,0.3890375866903057,0.09602869665697614,0.19957547756703073,0.9274305555555555,90.90351462125945,0.3121646794490413,720,-0.1621646794490413,-0.4039713033430239,-0.38863843573517165,2.060855810667857,0.5606362464560428,1.5122730945969813,-0.0905629030946502,0.6678293392773479,0.3787077751473049,-0.20781678037611795,0.4309298237446608,-2.152772524849527,0.2497215917952127,0.2634434432195336,-2.0720166863995195,0.005704063427873773,0.4136257040855803,2.194673529927713,0.07906582633955928,0.10214453528824984,2.086380530792047,0.423000698305115,0.6132360901372715,-2.5534637969376677,0.5537324021983795,0.7567257787667809,-0.7888578368804255,0.43145907084212276
1,0,0.4663549145397013,0.6806823818370631,0.26575332573066934,0.22013888888888888,186.69560159508782,0.19992910074712972,340,-0.04992910074712972,0.1806823818370631,1018.0682381837063,1.093842533867563,0.750927691135194,2.213146069392719,0.6820922866545683,0.7087364831776295,-1.0159089797533571,-0.28768814663987746,0.21815198883261538,-0.22462975396560703,0.08974617521302664,0.046559980173111276,-2.7143363452206852,0.5343124920757117,0.2607899775104624,-2.6458751831755993,0.1024135743209188,0.64304046694447,0.268224737664327,-0.49845709307737945,0.5996894362473454,0.7662532870608412,0.6201712913010516,0.12035369600867903,0.5464713132702941,-0.3010141026861056
2,0,0.9096525539658281,0.001442118791115464,0.873766820431864,0.17847222222222223,163.31762844106794,0.1032470860714004,257,0.04675291392859959,-0.49855788120888456,1046.7529139285996,2.527077625977634,0.6989594795716555,0.18673737580229455,0.646776036767646,0.1176160116965753,-0.7183297617011695,-0.4018935318987316,0.16581763037095137,0.8786444261456046,-0.0004567932127655938,0.41722242359528006,-0.8860725079317446,0.3987631908898628,0.7327125402685026,-2.8078594300819972,0.04433935946789824,0.4808958833720669,0.5679395725681156,-0.09601400165743479,0.091332686337877,-3.0695330461951227,-0.13354889197859726,0.7857592965438092,-2.7675934293790245,-0.5126282158509835
3,0,0.7950457438888368,0.010571287527165308,0.761807343237946,0.146875,135.7160894065416,0.10268942176936192,212,0.04731057823063807,-0.4894287124728347,1047.3105782306382,1.9524332540017058,0.1417601515969647,3.0453712737220506,-0.34810641012271665,0.320638759885168,0.9614451731804365,0.4082181789883753,0.38128750923375687,2.027930464233804,0.3150218998496729,0.6065575108219132,-1.0310424428250227,-0.4549490141291709,0.029749328232280894,1.2219423503433857,0.5744399248828397,0.6855130562595343,1.6744707183670338,-0.2512798281073046,0.6174298399482114,0.6991543818956343,0.1262820427897574,0.05302020989502285,1.4889388013535054,0.48789409254893756
4,1,0.24338864757696999,0.12066298975189545,0.14542345497995884,0.9059027777777777,57.35363200612664,0.3114331345705904,720,-0.16143313457059041,-0.37933701024810457,-0.24309780066701006,2.1979207752487246,0.7511514108435345,2.4458836508206048,-0.4264172226884976,0.39667649534204225,-1.8723524850992095,0.6026150119326391,0.5870638176035766,-1.982162158584887,0.11286845800145939,0.08062280590259291,-0.303166088428497,-0.4765857586744592,0.5365882527930506,-2.950490509257691,0.44538893602188023,0.12773894196588778,0.5207443933341072,-0.2750480900335281,0.5921307838065818,1.3429862612884005,0.124287824993771,0.22249095481751946,1.88629237317042,-0.5359473983884686
5,0,0.8461285447454863,0.09928568519852671,0.8365799105740921,0.17152777777777778,151.7948362892315,0.103186418028229,257,0.04681358197177099,-0.4007143148014733,1046.8135819717709,1.395467661893183,0.006756848795708237,1.000802406375084,0.37962167421330184,0.39538848734401155,-2.3108328168010397,-0.24264554963231666,0.6017412904976056,-0.22112394210220154,-0.26837448581181284,0.48586358081388276,2.7114405342995216,-0.5266401472306423,0.31317111505639916,2.685393895266535,-0.19387659978112093,0.49260413664924707,-1.8163005572708886,-0.2746759143938073,0.6792339696379673,0.34450430241353924,0.790128722328678,0.435339288441025,-1.9664992131859609,0.42905921201090835
6,0,0.9078024980657904,0.2555592686615622,1.0925521929378648,0.1829861111111111,176.66777826131909,0.10339725663236192,268,0.046602743367638075,-0.2444407313384378,1046.6027433676381,1.5338290428431427,0.4309919983016915,-2.6709417860215146,-0.1741860428397759,0.3965633879684208,0.6960241761924215,-0.49536093314171226,0.39484857024343345,-1.4136484960197409,-0.2757068255967107,0.02711203697374689,-2.643670260398958,-0.13533614519211185,0.1135388094117828,-2.4805204726218397,-0.3981873919361132,0.7727866896956623,0.6057615922756567,0.28536758073951185,0.11416507356240874,2.6961609195395884,-0.14927211791009515,0.7407630465540972,1.2326169426850662,-0.30338099377772154
7,0,0.7278319030921415,0.038553348675381176,0.772044408471117,0.13159722222222223,122.4628129425879,0.10287200417987391,191,0.047127995820126084,-0.4614466513246188,1047.127995820126,1.2937799739866938,0.7444395055278946,-2.753265054537316,-0.12127851464001699,0.004989108689359423,2.2410384506405787,-0.0629661439149356,0.35614194687990786,1.428183742160205,0.10435467613078764,0.2218817711022994,-0.33662014995056655,0.6972191400152848,0.7139302277412045,-1.3849620379201537,0.7720240806545339,0.6415071168545756,-2.1549633610430554,-0.13454086345889366,0.7324247239127235,1.194830452773104,0.6849639483856348,0.5788989196859736,2.3802050779673687,-0.32992664997318066
8,0,0.9145542515214019,0.23424383377888774,0.7322786724386028,0.21597222222222223,176.3024209015922,0.1031341414763607,322,0.046865858523639295,-0.26575616622111226,1046.8658585236392,1.1031741344507995,0.10644038368989853,-1.0776087085401205,0.5827068419128568,0.48117939252556313,2.4344409137376113,0.12269117666399809,0.6506516672840619,-1.8139323191562244,0.03010760407197155,0.026576562009856988,0.8565499984208289,-0.3126916175865009,0.09364459576009648,2.7344110230437906,0.7774969425771489,0.6688132730151759,2.7310165592409277,0.3148203829325552,0.10480229995240756,1.2865691250281177,-0.11725968155947208,0.7432462287272925,-2.686068575864656,0.723310851595622
9,0,0.9121881826871032,0.0037100508760876763,0.7321242690192391,0.17430555555555555,164.4223949333649,0.10293363917825112,251,0.04706636082174888,-0.49628994912391233,1047.066360821749,2.9578730999019167,0.23907853940874801,-2.5903201343376896,0.5477119739651902,0.0033809706742942147,-2.682481379609193,0.31919630064345605,0.2233882342207476,-2.171889565842741,0.5495158342566234,0.5299158447069139,-1.6999816148115032,0.3530600029550697,0.6276767856997889,-2.7121837820070636,-0.5585917922154937,0.47702952615399524,-1.2457730257426227,0.6423893945548588,0.4908161897462751,0.3211914226392212,0.10185180342371025,0.6428742158766451,-1.498812250223469,-0.5278384540259999
