design,scenario,converged,iterations,loss_mw,voltage_rms_pu,min_vm_pu,max_vm_pu,max_line_loading_percent,voltage_constraint_pu,thermal_constraint,security_index,mismatch_pu
baseline,base,true,3,35.679472358460,0.034305956029,0.982000000000,1.061167955414,148.686750085334,0.001167955414,-0.070707811967,1.019465923561,0.000000000024
baseline,evening_peak,true,3,35.691625410288,0.031271497799,0.968284107139,1.060000000000,141.668464665832,0.000000000000,-0.114572095839,1.000000000000,0.000000015974
baseline,high_renewable_low_load,true,3,49.725549612684,0.034265728104,0.982000000000,1.064009235891,221.376310160050,0.004009235891,0.383601938500,1.383601938500,0.000000000074
baseline,hot_peak,true,4,46.449074327452,0.036665494390,0.932498968422,1.060000000000,179.022799577729,0.007501031578,0.118892497361,1.125017192972,0.000000000000
baseline,n_minus_1_line_23,true,3,37.784029635142,0.030308588650,0.982000000000,1.060000000000,179.948508012020,0.000000000000,-0.062768187437,1.000000000000,0.000000000799
baseline,renewable_trip,true,3,31.492883649635,0.032069857975,0.982000000000,1.060000000000,118.931160467481,0.000000000000,-0.256680247078,1.000000000000,0.000000000448
selected,base,true,3,34.268337418472,0.013389194807,0.982000000000,1.036206342002,134.229096611753,-0.023793657998,-0.161068146177,0.838931853823,0.000000000008
selected,evening_peak,true,3,32.357296680991,0.010044595037,0.982000000000,1.032992946347,115.135814946084,-0.027007053653,-0.280401156587,0.719598843413,0.000000001008
selected,high_renewable_low_load,true,3,41.811089215362,0.015537002997,0.982000000000,1.036943802170,159.997503072837,-0.023056197830,-0.000015605795,0.999984394205,0.000000000010
selected,hot_peak,true,3,40.114862976878,0.020924664628,0.952860702879,1.028037967311,158.331460681700,-0.012860702879,-0.010428370739,0.989571629261,0.000000474972
selected,n_minus_1_line_23,true,3,36.840315585957,0.010924472234,0.978216609129,1.033942733638,188.000213964761,-0.026057266362,-0.020832218934,0.979167781066,0.000000000166
selected,renewable_trip,true,3,31.281829448382,0.011123512340,0.982000000000,1.035218381206,124.619809604092,-0.024781618794,-0.221126189974,0.778873810026,0.000000000043
