set,scenario,analysis_type,failed,operating_cost,energy_cost,peak_charge,switching_cost,min_pressure_m,max_pressure_m,max_velocity_m_s,tank_recovery_m,unserved_fraction,violation
training,normal_weekday,DDA,false,71.53210361835974140,34.58376323845290301,31.94834037990683484,5.00000000000000000,21.01186724953646845,36.97329896582650832,0.28208983825283168,0.88277795942934922,NaN,0.00000000000000000
training,high_peak_day,DDA,false,71.82135886617240317,34.86718706136051082,31.95417180481188524,5.00000000000000000,21.00459886708108570,36.55993493214185719,0.28222727469876302,0.34503972146446404,NaN,0.00000000000000000
training,low_night_demand,DDA,false,71.17796769154745107,34.23658082710771566,31.94138686443974251,5.00000000000000000,21.01966737362547732,37.54397722844332463,0.28192639726014440,1.45322375954841565,NaN,0.00000000000000000
training,pattern_perturbed,DDA,false,71.57130068461282235,34.62671163473139302,31.94458904988142223,5.00000000000000000,21.01619574889371478,36.99026940872894897,0.28200160464307683,0.89499059385162560,NaN,0.00000000000000000
training,reservoir_head_reduced_2m,DDA,false,67.49928804714338071,32.54394243418516197,29.95534561295821874,5.00000000000000000,21.00371555161137493,36.47947785673619592,0.24609009381398844,0.29715026086054053,NaN,0.00000000000000000
training,roughness_degraded_10pct,DDA,false,71.52930715720479782,34.58239671628588496,31.94691044091891641,5.00000000000000000,21.01195514289484123,36.97351043708240326,0.28205618875929284,0.88229030029367905,NaN,0.00000000000000000
holdout,unseen_demand_profile,DDA,false,71.78098346835101040,34.83810232669979712,31.94288114165121684,5.00000000000000000,21.01804738537755313,36.81447508192235318,0.28196147967733398,0.71422128839753363,NaN,0.00000000000000000
holdout,pump_1_outage,PDA,false,10.92879309896491158,1.03579207358986025,7.39300102537505133,2.50000000000000000,16.90629631336469885,35.96125898001843524,0.30667753583312246,-4.05233590965460255,0.00139780432137504,2.04094838696480529
holdout,pipe_outage_trunk,PDA,false,5.00013554866126508,0.00003995281861768,0.00009559584264720,5.00000000000000000,-41.99999999999987210,35.96125928782840475,0.33080921749449033,-4.13412670951111672,0.00145256672982008,2.08732002773756653
holdout,tariff_peak_shifted_3h,DDA,false,71.53535613568757867,34.58701575578074738,31.94834037990683484,5.00000000000000000,21.01186724953646845,36.97329896582650832,0.28208983825283168,0.88277795942934922,NaN,0.00000000000000000
holdout,hydraulic_timestep_halved,DDA,false,71.51242350027978034,34.57935652422179373,31.93306697605798306,5.00000000000000000,21.01186724953646845,36.97094386351057693,0.28208983825283168,0.88038801090460517,NaN,0.00000000000000000
