energy_cost,reliability_risk,switching_cost,excess_pressure,tank_bounds,tank_recovery,velocity,simulation_failure_constraint,selected,controls
28.17134280151336867,0.00000000000000000,10.00000000000000000,1.67175594215055301,-1.57347289806926183,-0.00241866848436700,-2.10270191412094443,-1.00000000000000000,true,"0.57245392395580086;0.69343082839160464;0.64517262040450107;0.62791411041880418;0.56634540481514817;0.56490973207150452;0.73795476855704434;0.50274238611830735;0.63179996228582325;0.39639834794527751;0.49642187319453290;0.79271997198859845;0.00000522567931032;0.00181883496879946;0.00077717010455575;0.35488620054002351;0.35367238986191440;0.36669473089551080;0.38609300160236626;0.42865179007829135;0.33619076518483482;0.00278148670575216;0.00034932680118413;0.00244787681671135;0.69299873778146304;0.42436009831233845;0.48774505288260056;0.16083523321698040"
28.17134280635117349,0.00000000000000000,5.00000000000000000,1.70374954923825439,-1.48305834036105022,-0.00241868401169842,-2.10270191438459886,-1.00000000000000000,true,"0.62049748596434973;0.69343082839160464;0.58876043783079846;0.68604543078096580;0.56634540481514817;0.57060269452234191;0.71220493345157787;0.60605085960955618;0.62665857505576938;0.48094854639582896;0.49750222804861544;0.79800522482120706;0.00061910986659638;0.00179631756143144;0.10611686627070945;0.35759043610440627;0.35337170086080399;0.34582885020895515;0.25593830355200442;0.39112962155075248;0.28088892565795365;0.00007206308072115;0.00098139827536251;0.00230561000145478;0.68120447592826716;0.54049624640780602;0.36277941374488432;0.12897031633901584"
28.17134294164411301,0.00000000000000000,15.00000000000000000,1.66008805271757254,-1.60184315998763749,-0.00241870188537296,-2.10270191310395793,-1.00000000000000000,false,"0.56487213343338460;0.65019191354752670;0.59953697365321679;0.51299013127506599;0.55710397059044470;0.72980193880656574;0.54983251156180457;0.63001832719949979;0.63020697602600650;0.49323028924877826;0.49612819008668696;0.78242070202278535;0.00001865876763573;0.00678252355364606;0.00760964477760158;0.36456090575636935;0.41681046338821870;0.36586396011053068;0.39090253004437248;0.40505669863154303;0.33942526489634228;0.00784221835107701;0.00096026458426182;0.00443426214026310;0.67663404998639021;0.41541346968539522;0.49733344510119670;0.01752282866649456"
28.17134311320412010,0.00000000000000000,12.50000000000000000,1.67175592103343362,-1.57347290110248528,-0.00241870331556759,-2.10270191115452176,-1.00000000000000000,false,"0.62374434195837691;0.69343082839160464;0.59134565533808114;0.62537797557266850;0.56737531270648356;0.56193004351285791;0.59108676521399628;0.60516975315438915;0.55943482947406120;0.40412926046856013;0.49642145511983810;0.79800403375236606;0.00000522567931032;0.06274030539630304;0.10257984062689077;0.36358428249746888;0.35668145959035608;0.38180276877295433;0.38613194446610327;0.39112962155075259;0.28233626786802229;0.00278148670575216;0.00096978774421983;0.00093990007329404;0.42703951161535408;0.52690645014959081;0.54624886882547630;0.04249953483485403"
28.17134336442428832,0.00000000000000000,17.50000000000000000,1.56243070932396333,-1.70807062913176644,-0.00241867850892685,-2.10270191233237647,-1.00000000000000000,false,"0.53331036553758682;0.70175158563553719;0.64737978133148466;0.51911988669735443;0.70980246208913700;0.56851749051356815;0.55046182760579532;0.56107874319665496;0.64149017738398229;0.39561668150094742;0.49810311838858445;0.78878472552254730;0.01422644681595544;0.00244445886955993;0.00646212739110888;0.44091546879063159;0.34224636972657246;0.36655509886380910;0.34660384929601973;0.40529719273943299;0.47960272456360342;0.08567740275151720;0.00033538764736078;0.04906699228750792;0.55915479052496009;0.42114674556249060;0.44971155012450043;0.08103618183162628"
28.17134432950067335,0.00000000000000000,5.00000000000000000,1.70374924813938011,-1.48305849184092065,-0.00241854238058714,-2.10270191087900704,-1.00000000000000000,false,"0.56462291810927789;0.65019191354752670;0.59115180380460708;0.61686566685845012;0.55171984486029291;0.72863137888364971;0.55835385068846932;0.64990983558522852;0.63030777152249096;0.49553294945633580;0.49610416161837106;0.78236446127472414;0.00001865876763573;0.00221260361247016;0.00760964477760158;0.10888679115885946;0.41766608999617588;0.32882855761428820;0.39440770588118501;0.39150406825350659;0.33942526489634228;0.00267185811474589;0.00000000000000000;0.00454746242732786;0.38395153145182859;0.60824520705023788;0.50106347839158838;0.01440370018607654"
28.17134452493033336,0.00000000000000000,12.50000000000000000,1.66008773701548762,-1.60184332607988544,-0.00241854896085858,-2.10270191064655654,-1.00000000000000000,false,"0.62448606773381765;0.65720541027957669;0.60317672964791857;0.52752038141257362;0.55710397059044481;0.72980193880656574;0.58462667186229034;0.63037291403069062;0.63017898379530135;0.49323028924877826;0.34806501667909173;0.78049569300930455;0.00001865876763573;0.00678252355364607;0.00750449667594141;0.24819965451381998;0.41681046338821870;0.36347592889471203;0.39090253004437248;0.40504707823268404;0.47354236379784675;0.00784221835107701;0.00095124322753096;0.00443426214026310;0.67157993909430258;0.41541346968539516;0.49733344510119670;0.02150387781662608"
29.16299340889390734,0.00000000000000000,17.50000000000000000,1.53079305127807674,-1.70807062858590575,-0.03404671272612969,-2.11880138427714204,-1.00000000000000000,false,"0.62059326351461264;0.66444185011037127;0.58589448607366479;0.51443626059617309;0.60897994991923610;0.57965907679700035;0.59092762165362267;0.62815638316247013;0.49637842851670611;0.73654466892401893;0.55859618093506769;0.67840347045622795;0.00000110463037495;0.00168298983801070;0.01434807584955752;0.43324875373546579;0.35842767836907646;0.36276529748835995;0.25309625007950032;0.39111058207458538;0.28743386529855064;0.00309125050327170;0.00055442008493232;0.00268215013955899;0.20656494691663194;0.54059463502653626;0.46399111827304573;0.01394595935208351"
29.16299391177927447,0.00000000000000000,17.50000000000000000,1.53079295253811298,-1.70807062846167090,-0.03404658810661410,-2.11880139237166265,-1.00000000000000000,false,"0.57250966177669937;0.66444185011037127;0.58589448607366479;0.50977995391494535;0.60897994991923610;0.57965907679700035;0.58110417423015859;0.62815638316247013;0.48490055967570589;0.73654466892401893;0.55859618093506769;0.67840347045622795;0.00000110463037495;0.00168298983801070;0.01434807584955753;0.43324875373546579;0.41762125431094665;0.36276529748835995;0.24632663860048554;0.39111058207458538;0.45905343629012452;0.00310202577208670;0.00097468244605745;0.00268215013955899;0.20656494691663196;0.54059463502653615;0.46093574431038842;0.01394595935208351"
29.16590275210615246,0.00000000000000000,20.00000000000000000,1.49806435204689237,-1.75231740035456429,-0.03501852421563534,-2.11880141212773410,-1.00000000000000000,false,"0.57051397787086278;0.66444185011037127;0.72468021122982673;0.62792649062472783;0.60897994991923610;0.57965907679700024;0.58110417423015859;0.53002096809311139;0.48999609374491992;0.66639474705841462;0.55007893475320135;0.63229100569920815;0.00002619355972878;0.00038861332095659;0.01434807584955752;0.43331757636393176;0.34454667083241591;0.25138715980935866;0.35976415047411464;0.39147278562616022;0.49105065313357954;0.00001726850394443;0.00097468244605745;0.00136161766229836;0.18144623677040655;0.54050942576528960;0.49327867001541326;0.01399411436865326"
