point_id,feasible,selected,objective_cutoff_error,objective_passband_ripple_db,objective_total_capacitance_nf,constraint_peak_db,cutoff_hz,peak_above_dc_db,r1_ohm,r2_ohm,r3_ohm,r4_ohm,c1_f,c2_f,c3_f,c4_f
0,1,1,0.00003416837658400229,2.0186463232026917,0.0692588547759202,-3,99992.13275002693,0,35543.20743410521,11800.928188844431,100000,27179.995568711052,0.000000000020037687122130098,0.000000000024513242764658888,0.00000000001386556939121495,0.000000000010842355497916272
1,1,0,0.00016048965159331304,1.7167306511462956,2.4654450266088777,-3,99963.0527192556,0,745.247377418828,27346.8478073425,54279.340562937636,412.0033699434787,0.0000000018883070971970373,0.000000000046909770414231345,0.0000000004898645522839238,0.0000000000403636067136853
2,1,0,0.00029707299395968756,2.1424336641714943,0.06448580165749374,-3,100068.4269853296,0,4244.050118599815,4258.111574595245,78476.33648960167,1094.3904462962596,0.00000000001486775953168921,0.000000000019556297800829698,0.00000000001007060364589342,0.000000000019991140679081416
3,1,0,0.0005060627198684048,0.7208145957100098,2.1945165385614707,-2.27918540428999,99883.54261681536,0.7208145957100098,1277.485952604515,25916.24335675678,52724.39384509837,314.7485263459023,0.000000002086677397164768,0.000000000046909770414231345,0.000000000020648499746067256,0.00000000004028087123640428
4,1,0,0.0005124960338821278,2.0449380586620336,0.047856663844687175,-3,100118.07622793618,0,97035.80001345817,10598.7245633508,81928.45848976466,102.62726549154021,0.00000000001495469763980385,0.000000000012565488012037817,0.000000000010282609330522449,0.000000000010053868862323065
5,1,0,0.0006529941530419038,1.8040071472436148,0.4969714298897095,-3,99849.7555199368,0,999.4044623882646,555.8450264534998,52915.99277671166,7825.91412671263,0.0000000000345495120749918,0.00000000030796396628743654,0.0000000001198745843599065,0.00000000003458336716737459
6,1,0,0.0007962123789464278,0.5630854253962458,2.091041738268597,-2.966162714250833,100183.50283622804,0.033837285749166925,1265.7455220201177,27346.8478073425,54276.19228872793,436.1966871445298,0.0000000017479701578671894,0.000000000046909770414231345,0.00000000025588093875077157,0.00000000004028087123640428
7,1,0,0.0011636569311769256,0.641256822184441,1.9564363670669285,-3,100268.30119546539,0,1269.563900892728,27299.94418490581,53964.18988700128,265.07288188422626,0.000000001772470323937032,0.00000000004497311809105074,0.00000000009705626831601627,0.00000000004193665672282947
8,1,0,0.0014107163138437056,0.6324236179547877,1.9719879846674488,-3,100325.35757798003,0,1269.5639008927285,27299.94418490581,53964.18988700128,265.07288188422626,0.000000001772470323937032,0.00000000004497311809105074,0.00000000011260788591653673,0.00000000004193665672282947
9,1,0,0.0033814346576508058,0.8631637754054455,0.8520880650304533,-2.6455046205836132,100781.64310746394,0.35449537941638687,6079.744494755464,5203.1231123781145,64176.036727584724,3659.428653246788,0.0000000006385584766362286,0.00000000014459956213208626,0.0000000000455138694363815,0.000000000023416156825756966
