problem,arm,dimension,objectives,requested_evaluations,actual_evaluations,front_size,deterministic_recheck_points,deterministic_recheck_max_abs_error,hypervolume,hypervolume_kind,fixed_hypervolume,fixed_hypervolume_kind,igd,igd_plus,gd,gd_plus,additive_epsilon,spacing,spread,duplicates_collapsed,dominated_removed,fixed_outside_reference,normalization_ideal,normalization_nadir,reference_point,fixed_reference_point,wall_seconds
zdt6,random,30,2,4096,4096,9,9,0.00000000000000000e0,9.39901565732740085e-1,exact,,not-applicable-outside-reference,7.49947220237585288e0,7.49947193524435907e0,7.62927671833737531e0,7.62927671833737531e0,8.07158542508916099e0,1.63762578362581734e-1,9.73343487531814433e-1,0,0,9,"[0.2807753191,0.0]","[1.0,0.9211652201842931]","[1.0999466354967342,9.354172999021497]","[1.1,1.1]",0.000861038
dtlz1,initial,7,3,64,64,15,15,0.00000000000000000e0,3.02525879411725938e8,exact,,not-applicable-outside-reference,1.15311612164985249e2,1.15311612164985249e2,2.99076446554867857e2,2.99076446554867857e2,8.45265181702846462e1,7.63930384561772229e1,6.26592484565865693e-1,0,0,15,"[0.00028877411106494093,0.0002542142366105261,0.00016551380181440402]","[0.4878831951060765,0.4905711683282389,0.48274631595707146]","[651.766568571016,599.0917709218386,820.2798734791196]","[1.1,1.1,1.1]",0.000000000
dtlz1,mode,7,3,4096,4096,64,64,0.00000000000000000e0,3.20293145032435715e8,exact,,not-applicable-outside-reference,6.18986690849245491e0,6.17700755226128972e0,3.41022924057882548e1,3.41022851513932750e1,5.32486414953204967e0,2.92576152271770482e1,1.58365578748955405e0,0,0,64,"[0.00028877411106494093,0.0002542142366105261,0.00016551380181440402]","[0.4878831951060765,0.4905711683282389,0.48274631595707146]","[651.766568571016,599.0917709218386,820.2798734791196]","[1.1,1.1,1.1]",0.004978424
dtlz1,random,7,3,4096,4096,48,48,0.00000000000000000e0,3.18712898717580259e8,exact,,not-applicable-outside-reference,4.47742209586457278e1,4.47742075369021251e1,2.56917186019455642e2,2.56917186018349241e2,4.44810648761175145e1,4.56904068034816007e1,5.57514547526451687e-1,0,0,48,"[0.00028877411106494093,0.0002542142366105261,0.00016551380181440402]","[0.4878831951060765,0.4905711683282389,0.48274631595707146]","[651.766568571016,599.0917709218386,820.2798734791196]","[1.1,1.1,1.1]",0.000705976
dtlz2,initial,12,3,64,64,31,31,0.00000000000000000e0,1.01581317694262694e1,exact,,not-applicable-outside-reference,5.80282147813204974e-1,5.79264202412643536e-1,6.88542180157857620e-1,6.88524033108783629e-1,6.97130048523306955e-1,1.86555839034139775e-1,5.02091006158975617e-1,0,0,28,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.0705127096890226,2.6568807124207448,2.5064390537856496]","[1.1,1.1,1.1]",0.000000000
dtlz2,mode,12,3,4096,4096,64,64,0.00000000000000000e0,1.30618405394503814e1,exact,6.10560713900813901e-1,exact,1.00268388744979467e-1,6.79051800371087977e-2,3.99044984310377299e-2,3.83050415126070937e-2,1.80802145096550793e-1,7.41495502357601421e-2,4.86047306977146487e-1,0,0,0,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.0705127096890226,2.6568807124207448,2.5064390537856496]","[1.1,1.1,1.1]",0.007013823
dtlz2,random,12,3,4096,4096,136,136,0.00000000000000000e0,1.24322390200278168e1,exact,,not-applicable-outside-reference,2.82630800569569407e-1,2.73579300295626993e-1,4.77307318563594152e-1,4.77240853602124204e-1,2.99048941978218075e-1,1.06125147048374016e-1,4.87423794700883428e-1,0,0,99,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.0705127096890226,2.6568807124207448,2.5064390537856496]","[1.1,1.1,1.1]",0.000662476
dtlz3,initial,12,3,64,64,24,24,0.00000000000000000e0,2.21510113213898134e9,exact,,not-applicable-outside-reference,6.10256057586126531e2,6.10256057586126531e2,9.61178053916254612e2,9.61178053916254612e2,4.23599410169223859e2,1.24570549378145259e2,5.46216378526529045e-1,0,0,24,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[1309.1927700455583,1431.1823621269768,1506.0960924890887]","[1.1,1.1,1.1]",0.000000000
dtlz3,mode,12,3,4096,4096,43,43,0.00000000000000000e0,2.82142149937235832e9,exact,,not-applicable-outside-reference,7.56015834528177351e1,7.56015834528177351e1,1.79189788147662313e2,1.79189787221791505e2,7.59865039066315262e1,3.81943711028378843e1,1.03882218117293190e0,0,0,43,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[1309.1927700455583,1431.1823621269768,1506.0960924890887]","[1.1,1.1,1.1]",0.005267327
dtlz3,random,12,3,4096,4096,73,73,0.00000000000000000e0,2.72513427240138721e9,exact,,not-applicable-outside-reference,4.01080783572802886e2,4.01080783572802886e2,7.41668037511659918e2,7.41668037511413900e2,3.09945384686464365e2,8.80114191617435466e1,6.05804483190135024e-1,0,0,73,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[1309.1927700455583,1431.1823621269768,1506.0960924890887]","[1.1,1.1,1.1]",0.001346502
dtlz4,initial,12,3,64,64,5,5,0.00000000000000000e0,6.35833290882905544e0,exact,,not-applicable-outside-reference,1.14861806677934220e0,8.41427383489654401e-1,6.91271968901706835e-1,6.90811611252559632e-1,1.32266304363577758e0,2.41678782948866105e-1,1.04071460928047821e0,0,3,5,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.5599776165012518,2.1342746006505133,2.4066203683477383]","[1.1,1.1,1.1]",0.000000000
dtlz4,mode,12,3,4096,4096,64,64,0.00000000000000000e0,1.12223894482288387e1,exact,4.47924884139296486e-1,exact,5.44500608856085200e-1,2.30573814789923032e-1,1.97649461159936056e-2,8.42227654977868202e-3,7.03702392049061154e-1,9.89982323853132173e-3,7.98911223161999251e-1,0,3,0,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.5599776165012518,2.1342746006505133,2.4066203683477383]","[1.1,1.1,1.1]",0.005232467
