instance,samples,workers,elapsed_seconds,candidates_per_second,edge_visits_per_second,group_memberships_per_second,checksum
reference-1k,2048,1,0.01771668100000000,115597.27242365542042535,866979543.17741560935974121,481000250.55483019351959229,33419587.56658446043729782
reference-1k,2048,0,0.00218714400000000,936380.96074149676132947,7022857205.56122589111328125,3896281177.64536809921264648,33419587.56658446043729782
reference-4k,2048,1,0.07497386800000000,27316.18435372708700015,820168435.22065579891204834,830439320.53765714168548584,334885391.35197198390960693
reference-4k,2048,0,0.00445810000000000,459388.52874542964855209,13793140575.58152580261230469,13965870662.38980674743652344,334885391.35197198390960693
