evaluations,elapsed_seconds,best_quality,feasible_population,pareto_population
128,0.031413384,0.7037078482959631,44,13
640,0.139207632,0.6097407686520787,120,68
1280,0.275875158,0.6072644131912338,128,128
1920,0.413480113,0.6056391342088305,128,128
2560,0.545190485,0.6056391342088305,128,128
3200,0.675951118,0.6056391342088305,127,127
3840,0.80668679,0.6056391342088305,128,128
4096,0.858049757,0.6056391342088305,128,128
