point_id,feasible,selected,objective_rise_time_ns,objective_overshoot_percent,constraint_peak_current_a,constraint_settling_time_ns,u_resistance,u_snubber,resistance_ohm,snubber_resistance_ohm,peak_driver_current_a,settling_time_ns,final_gate_voltage_v
0,1,1,7.643552289612994,32.594319924881994,-0.014023849235191399,-13.32500000000099,0.39003405650802725,0.8700962767847562,0.7536289802754006,15.647281585404674,4.985976150764809,61.67499999999901,9.972679566203698
1,1,0,7.66519103816778,32.21647140721997,-0.043635622731733825,-13.525000000001008,0.3951217666735897,0.8786685142776264,0.7667834937529161,16.334011957805796,4.956364377268266,61.47499999999899,9.97170481579234
2,1,0,7.685420495937101,31.86856836336812,-0.007849325350301584,-13.425000000000999,0.39003405650802725,0.8488649418998105,0.7536289802754006,14.06816896836279,4.992150674649698,61.574999999999,9.9773171912544
3,1,0,7.699649545698417,31.617733758338726,-0.023883826262362184,-13.525000000001008,0.3928329667886565,0.852100693639066,0.7608375185514354,14.298117671494964,4.976116173737638,61.47499999999899,9.977203481348864
4,1,0,7.717924200899568,31.37949308959879,-0.13364187922665316,-14.125000000001052,0.41011589756511857,0.9147752356051262,0.8069022098359151,19.573315200919147,4.866358120773347,60.87499999999895,9.965208652215573
5,1,0,7.752859549360802,30.72263585839888,-0.10887875739126773,-14.175000000001056,0.40703466558156476,0.8808589357661396,0.7984901287762184,16.514271727563948,4.891121242608732,60.824999999998944,9.973264909294413
6,1,0,7.784409878396807,30.202345810148223,-0.12929738548059522,-14.425000000001077,0.4107908136150075,0.8801476835497279,0.8087565997594512,16.455522493739753,4.870702614519405,60.57499999999892,9.973985946874132
7,1,0,7.8176315204044124,29.66584568533321,-0.0770409475453322,-14.275000000001064,0.4035146873588733,0.8360648431775555,0.7889874895647894,13.194210025659993,4.922959052454668,60.724999999998936,9.982195420308079
8,1,0,7.848900650820597,29.373671673104962,-0.2596117512634386,-15.825000000001175,0.43175743933141386,0.9460748277632027,0.8685365238280263,22.89681940750934,4.740388248736561,59.174999999998825,9.959237898365268
9,1,0,7.858417781994011,29.011776414321936,-0.10566146993522807,-14.625000000001087,0.4086827555741933,0.8367578961634459,0.802978617029636,13.240108359083656,4.894338530064772,60.37499999999891,9.982825793349733
