point_id,time_ns,drive_v,trace_v,gate_v
0,0,0,0,0
0,0.000125,0,0,0
0,0.000375,0,0,0
0,0.000875,0,0,0
0,0.001875,0,0,0
0,0.0038749999999999995,0,0,0
0,0.007874999999999998,0,0,0
0,0.015874999999999997,0,0,0
0,0.031874999999999994,0,0,0
0,0.063875,0,0,0
0,0.113875,0,0,0
0,0.16387500000000002,0,0,0
0,0.21387500000000004,0,0,0
0,0.263875,0,0,0
0,0.313875,0,0,0
0,0.363875,0,0,0
0,0.413875,0,0,0
0,0.463875,0,0,0
0,0.513875,0,0,0
0,0.563875,0,0,0
0,0.6138750000000001,0,0,0
0,0.663875,0,0,0
0,0.713875,0,0,0
0,0.7638750000000001,0,0,0
0,0.8138750000000001,0,0,0
0,0.8638750000000002,0,0,0
0,0.9138750000000002,0,0,0
0,0.9638750000000003,0,0,0
0,1.0138750000000003,0,0,0
0,1.0638750000000003,0,0,0
0,1.1138750000000004,0,0,0
0,1.1638750000000004,0,0,0
0,1.2138750000000005,0,0,0
0,1.2638750000000005,0,0,0
0,1.3138750000000006,0,0,0
0,1.3638750000000006,0,0,0
0,1.4138750000000007,0,0,0
0,1.4638750000000007,0,0,0
0,1.5138750000000005,0,0,0
0,1.5638750000000006,0,0,0
0,1.6138750000000006,0,0,0
0,1.6638750000000007,0,0,0
0,1.7138750000000007,0,0,0
0,1.7638750000000007,0,0,0
0,1.8138750000000008,0,0,0
0,1.8638750000000008,0,0,0
0,1.9138750000000009,0,0,0
0,1.963875000000001,0,0,0
0,2.013875000000001,0,0,0
0,2.063875000000001,0,0,0
0,2.113875000000001,0,0,0
0,2.163875000000001,0,0,0
0,2.213875000000001,0,0,0
0,2.263875000000001,0,0,0
0,2.3138750000000012,0,0,0
0,2.363875000000001,0,0,0
0,2.4138750000000013,0,0,0
0,2.463875000000001,0,0,0
0,2.5138750000000014,0,0,0
0,2.5638750000000012,0,0,0
0,2.6138750000000015,0,0,0
0,2.6638750000000013,0,0,0
0,2.7138750000000016,0,0,0
0,2.7638750000000014,0,0,0
0,2.8138750000000017,0,0,0
0,2.8638750000000015,0,0,0
0,2.9138750000000018,0,0,0
0,2.9638750000000016,0,0,0
0,3.013875000000002,0,0,0
0,3.0638750000000017,0,0,0
0,3.1138750000000015,0,0,0
0,3.1638750000000018,0,0,0
0,3.2138750000000016,0,0,0
0,3.263875000000002,0,0,0
0,3.3138750000000017,0,0,0
0,3.363875000000002,0,0,0
0,3.4138750000000018,0,0,0
0,3.463875000000002,0,0,0
0,3.513875000000002,0,0,0
0,3.563875000000002,0,0,0
0,3.613875000000002,0,0,0
0,3.663875000000002,0,0,0
0,3.713875000000002,0,0,0
0,3.7638750000000023,0,0,0
0,3.8138750000000017,0,0,0
0,3.8638750000000015,0,0,0
0,3.913875000000001,0,0,0
0,3.9638750000000007,0,0,0
0,4.0138750000000005,0,0,0
0,4.0638749999999995,0,0,0
0,4.113874999999999,0,0,0
0,4.163874999999999,0,0,0
0,4.213874999999999,0,0,0
0,4.263874999999999,0,0,0
0,4.313874999999998,0,0,0
0,4.3638749999999975,0,0,0
0,4.413874999999997,0,0,0
0,4.463874999999997,0,0,0
0,4.513874999999996,0,0,0
0,4.563874999999996,0,0,0
0,4.613874999999996,0,0,0
0,4.6638749999999956,0,0,0
0,4.713874999999995,0,0,0
0,4.763874999999994,0,0,0
0,4.813874999999994,0,0,0
0,4.863874999999994,0,0,0
0,4.913874999999994,0,0,0
0,4.963874999999993,0,0,0
0,5,0,0,0
0,5.005,0.04999999999999879,0.04997646020042615,0.00000003904096065091923
0,5.015,0.14999999999999636,0.1498823232405381,0.0000002732436067045193
0,5.035,0.3499999999999998,0.3494119726464101,0.0000026138021863323977
0,5.075,0.7499999999999984,0.7473456521831778,0.000024117013315246458
0,5.125,1.2499999999999947,1.242659318942375,0.00010695554270883427
0,5.174999999999999,1.7499999999999907,1.735646067165843,0.0002867164102435718
0,5.224999999999999,2.249999999999987,2.226317376999457,0.0006018071070879684
0,5.274999999999999,2.749999999999983,2.714684854602441,0.001090413242981771
0,5.324999999999998,3.249999999999979,3.200760230508226,0.001790496696138839
0,5.374999999999997,3.7499999999999756,3.6845553579843804,0.0027397937914492663
