arm,time_s,tank_level_m,safety_override
cma,0,5.99999999999999645,false
cma,3600,6.08718755074892037,false
cma,7200,6.18457497839860704,false
cma,10800,6.28825715290590725,false
cma,14400,6.39437751089618889,false
cma,18000,6.49536519930379708,false
cma,21600,6.57244694169024690,false
cma,25200,6.61836255224115266,false
cma,28800,6.62214577323828646,false
cma,32400,6.59565907692484288,false
cma,36000,6.58085161606036806,false
cma,39600,6.59268617799218504,false
cma,43200,6.61569244066516760,false
cma,46800,6.42629905637936449,false
cma,50400,6.23311779491936413,false
cma,54000,6.24191719768278741,false
cma,57600,6.22415662167404005,false
cma,61200,6.18397142276873968,false
cma,64800,6.17450538857696607,false
cma,68400,6.19538280397506202,false
cma,72000,6.23864010315614159,false
cma,75600,6.29643250944633337,false
cma,79200,6.36479134860690099,false
cma,82800,6.43980434236040189,false
cma,86400,6.51761106863192818,false
de,0,5.99999999999999645,false
de,3600,6.08718755095337372,false
de,7200,6.18457497897768960,false
de,10800,6.28825715351339554,false
de,14400,6.39437751158303858,false
de,18000,6.49536519996083772,false
de,21600,6.57244694317682399,false
de,25200,6.61836270531076298,false
de,28800,6.62214610696769590,false
de,32400,6.59565957910325285,false
de,36000,6.58085227839533715,false
de,39600,6.59268701214946784,false
de,43200,6.61569344073508070,false
de,46800,6.63462015371903835,false
de,50400,6.64951999949586803,false
de,54000,6.65288983741612672,false
de,57600,6.62977124291175457,false
de,61200,6.58431535085593911,false
de,64800,6.56965790724501542,false
de,68400,6.58541677162491190,false
de,72000,6.62361535805464019,false
de,75600,6.67639863248129295,false
de,79200,6.73978966445710359,false
de,82800,6.80987075539197217,false
de,86400,6.88277795942934567,false
bite,0,5.99999999999999645,false
bite,3600,6.08718755064086725,false
bite,7200,6.18457497800660860,false
bite,10800,6.28825715258627937,false
bite,14400,6.39437751091608764,false
bite,18000,6.49536519929319311,false
bite,21600,6.57244694213935965,false
bite,25200,6.61836269178851566,false
bite,28800,6.62214609083141692,false
bite,32400,6.59565957103371847,false
bite,36000,6.58085227740731238,false
bite,39600,6.59268701707363736,false
bite,43200,6.61569343926536124,false
bite,46800,6.63462016414888556,false
bite,50400,6.64952002177899537,false
bite,54000,6.65288984091417746,false
bite,57600,6.62977123494549048,false
bite,61200,6.58431534763880144,false
bite,64800,6.56965790804134731,false
bite,68400,6.37647664880166687,false
bite,72000,6.20602259718786620,false
bite,75600,6.26423155619930760,false
bite,79200,6.33300365528093856,false
bite,82800,6.40842705112867872,false
bite,86400,6.48664159896817427,false
