arm,time_s,min_pressure_m,max_pressure_m,max_velocity_m_s
cma,0,21.01186725495407970,36.10333650697894825,0.28208983798806558
cma,3600,21.10301571041478041,36.19454384450880724,0.28056987132674338
cma,7200,21.20277326335932244,36.29411176190320276,0.27889674493838124
cma,10800,21.30742864045681983,36.39807998319052729,0.27713389283212841
cma,14400,21.41164287644766873,36.50071711397317387,0.27537741614867350
cma,18000,21.50374381444489558,36.58989786090553764,0.27383783309799181
cma,21600,21.57050274899008357,36.65474331002225483,0.27271038258829600
cma,25200,21.60564360725246402,36.68957549980490285,0.27210194402754379
cma,28800,21.60182107741145785,36.68711013206578286,0.27214507396121884
cma,32400,21.57858564257735168,36.66351697012795086,0.27255731289321633
cma,36000,21.56992139546907694,36.65401124944605016,0.27272314782807544
cma,39600,21.58455726583566658,36.66837611715124723,0.27247248469933094
cma,43200,21.53039085754515369,36.53689445316966555,0.24737095090390993
cma,46800,21.33781844083607382,36.34455994665733414,0.25231838231509973
cma,50400,21.22093689067683542,36.30850470612287495,0.27865367262726459
cma,54000,21.22342329071745581,36.31197527915624335,0.27859501493042971
cma,57600,21.19854475131715787,36.28857177416726643,0.27899022226623099
cma,61200,21.16758048436454587,36.25629718572102433,0.27953390309113174
cma,64800,21.16524076911648322,36.25315211588647202,0.27958679743191384
cma,68400,21.19227707557340423,36.28009609181008699,0.27913314746838680
cma,72000,21.23994778578581588,36.32775244798661873,0.27832812678628760
cma,75600,21.30144825965210487,36.38909372066665782,0.27728690823057545
cma,79200,21.37229105443696753,36.45958918857343889,0.27608321235251038
cma,82800,21.44840629768616225,36.53513359926885329,0.27478475082566151
cma,86400,21.52730748696890473,36.61344644886451505,0.27342918305232999
de,0,21.01186724953646845,36.10333649105754716,0.28208983825283168
de,3600,21.10301570991553533,36.19454381527459219,0.28056987181545112
de,7200,21.20277326901844361,36.29411175977988080,0.27889674497408107
de,10800,21.30742862617798750,36.39807997717421983,0.27713389293297908
de,14400,21.41164288091232848,36.50071711621271220,0.27537741611056493
de,18000,21.50374381611020524,36.58989779846984902,0.27383783418075824
de,21600,21.57050394109216995,36.65474337574352859,0.27271061323051099
de,25200,21.60564386032246986,36.68957575827273132,0.27210217384301810
de,28800,21.60182128383892319,36.68711057323011460,0.27214529804112081
de,32400,21.57858547616147149,36.66351756890261271,0.27255753699786184
de,36000,21.56992210559373646,36.65401207308649134,0.27272336526398577
de,39600,21.58455789021048332,36.66837703909642698,0.27247270040033461
de,43200,21.60655476683394127,36.69018393198658856,0.27209153202021336
de,46800,21.62450884209830804,36.70801085783050155,0.27177935169385586
de,50400,21.63676871897594012,36.72040534707084447,0.27156199318789176
de,54000,21.63362022209060598,36.71842267041494523,0.27159677972130830
de,57600,21.60293156473428056,36.68935405332489097,0.27210605426367795
de,61200,21.56726058498876952,36.65229723048724964,0.27275326821056728
de,64800,21.55966100101769456,36.64378825458108224,0.27290133165881997
de,68400,21.58136420217688212,36.66532022912511479,0.27252583923843082
de,72000,21.62370331803892043,36.70764307866064513,0.27178556269569593
de,75600,21.68004320935643747,36.76382330437466806,0.27079834373989281
de,79200,21.74583435959333499,36.82927477466933652,0.26964154336018065
de,82800,21.81699217410776370,36.89988565261963060,0.26838537484184050
de,86400,21.89097128837731177,36.97329896582650832,0.26707018796926441
bite,0,21.01186726176144859,36.10333651574786273,0.28208983784449360
bite,3600,21.10301570718754860,36.19454386663737466,0.28056987095702862
bite,7200,21.20277326581219768,36.29411175629449815,0.27889674503228351
bite,10800,21.30742864008797710,36.39807995706588173,0.27713389327408794
bite,14400,21.41164287684786771,36.50071711617882642,0.27537741611052124
bite,18000,21.50374382365294679,36.58989782652793821,0.27383783369654091
bite,21600,21.57050294424033154,36.65474344781592464,0.27271061197087410
bite,25200,21.60564377057329111,36.68957578057502644,0.27210217344547261
bite,28800,21.60182124596105169,36.68711055396349963,0.27214529838582591
bite,32400,21.57858544272419721,36.66351754866298052,0.27255753735101523
bite,36000,21.56992251429437601,36.65401193009834913,0.27272336776608980
bite,39600,21.58455788933759933,36.66837707229038301,0.27247269982073596
bite,43200,21.60655551813830755,36.69018403558948904,0.27209153019832755
bite,46800,21.62450885555947977,36.70801090255103816,0.27177935091041128
bite,50400,21.63676877555268163,36.72040532822804693,0.27156199352482735
bite,54000,21.63362026839471497,36.71842266655676212,0.27159677978652308
bite,57600,21.60293167805954795,36.68935405253590432,0.27210605427597245
bite,61200,21.56726056697981520,36.65229718736958375,0.27275326896271646
bite,64800,21.48117729683233890,36.48791878776002306,0.25231837941509044
bite,68400,21.30624480054028780,36.31161480615782722,0.22263386333231555
bite,72000,21.20743802478715523,36.29556799297606773,0.27887216590633718
bite,75600,21.26936492880742691,36.35733617627849412,0.27782667629051849
bite,79200,21.34062761163537303,36.42825109817614049,0.27661924774260654
bite,82800,21.41715525138130971,36.50420607296864972,0.27531741572965002
bite,86400,21.49646597994804864,36.58292662025452557,0.27395863491276745
