arm,evaluations,elapsed_seconds,best_objective
cma,527,1.86819584400000016,83.22718945439049776
cma,1054,2.07572822099999987,73.94380269852396736
cma,3162,4.21541937000000022,69.51295937961452864
de,503,0.78133778700000001,10002.50000000000000000
de,2017,2.35103551899999985,84.97447745892819171
de,2518,3.16984115300000013,82.32096418574948871
de,3029,3.30189592400000009,79.27605070943967291
bite,500,1.84419614799999998,69.14606799753563848
bite,1500,2.01663923100000009,67.16891492151222565
bite,3500,4.03199943899999980,67.16891367245949596
