point_id,feasible,selected,objective_target_error,objective_input_energy,objective_peak_joint_force,decision_arm_length,decision_counterweight_mass,decision_projectile_mass,decision_sling_length,decision_initial_arm_angle,decision_release_angle,decision_joint_damping,decision_pivot_friction
0,1,1,0.000009946954953932163,297.88429688494824,106.68287779133911,2.2758536450016003,21.394816864135855,0.5040589148330902,5.6129022263614825,-1.2495350772940812,0.55,0.011077535671315086,0.0001502481573704001
1,1,0,0.005874508438566295,296.78522194747444,107.06491389070956,2.2698533061297352,21.372773634245036,0.5000075117427023,5.67953522981518,-1.2493772126143377,0.55,0.009517762529723764,0.0006267378824948155
2,1,0,0.008396618514105114,297.88429688494824,106.67294259150745,2.2758536450016003,21.394816864135855,0.5040589148330903,5.6129022263614825,-1.2495350772940812,0.55,0.011077535671315086,0.00026242421529963644
3,1,0,0.006346211944354252,317.6670019764489,93.56574428154943,2.465917722347809,21.05706225864636,0.5002791829019916,5.999974617164932,-1.249549785901761,0.5496446106298754,0.07173601031699953,0.0003980520230265922
4,1,0,0.040599965442098096,313.46479686171284,94.64635994392783,2.508361373523389,20.427170408347685,0.5001275794745106,5.999999952660586,-1.2494747222642224,0.55,0.03382854378487701,0.0008312812564285621
5,1,0,0.0014074902063185846,331.68554987075686,93.3746866712946,2.487688726283639,21.797159506951548,0.5008046436123574,5.9967785142285415,-1.2486255226307708,0.55,0.10964066532243649,0.00002810345945265173
6,1,0,0.0013151561302819914,332.29342616782094,93.75478208417356,2.487688726283639,21.836256533082583,0.5014518122860381,5.9967785142285415,-1.2488652701630443,0.55,0.11012780549653553,0.000026264435011968956
7,1,0,0.10552856616472894,337.2161992223987,93.10121498939772,2.5245426814495806,21.836256533082583,0.5000620221000518,6,-1.2488652701630443,0.55,0.11314620351904811,0.0010685679217166122
8,1,0,0.17454620483509586,317.3764191382388,93.68053387977383,2.4671457030745696,21.027647384256625,0.5011152106849026,6,-1.2494564331300522,0.5381308321035863,0.06673576505320511,0.005079041656958813
9,1,0,0.2367778338766371,324.99094692309245,93.1066340499686,2.4379709141094574,21.794974388386777,0.5014258332258235,6,-1.2479993734138266,0.55,0.11241443862627667,0.00042700128132947685
10,1,0,0.36667764053770213,321.95751145113,92.5283541971024,2.445886360066263,21.533684374210175,0.5008334827272152,6,-1.2445890797154042,0.5486347266806371,0.10079028573604537,0.0036695850482354464
11,1,0,0.4023386157093469,334.3839090566281,92.03916472952184,2.5245426814495806,21.65847868905461,0.5008700726658488,6,-1.2472694009334406,0.55,0.11180155647095202,0.0015144082998170827
12,1,0,0.4583135296225578,334.43142048045826,91.92762926188637,2.5245426814495806,21.65847868905461,0.500082313771665,6,-1.2481412189366052,0.55,0.11314620351904811,0.002187046625109046
13,1,0,0.5593857291068929,328.5053394690005,91.1557575059176,2.512014438908592,21.39728039717206,0.5003943216366955,6,-1.2434407243481473,0.5482835073638048,0.10657014227681627,0.0005530080686937389
14,1,0,0.5793215548358503,328.50533946900055,91.14941355331933,2.512014438908592,21.39728039717206,0.5005030387743606,6,-1.2434407243481478,0.5490794297227684,0.1062901679299358,0.0010907051370939148
15,1,0,0.6606030416516262,306.26816924091696,91.84451816227514,2.506898837407067,20.013140195542,0.5001275794745106,5.999999952660586,-1.2363812631351678,0.55,0.03369937472904721,0.002045044123712348
16,1,0,0.6307118792343758,316.16615507208115,91.31886920564126,2.395959149564207,21.56985348598945,0.5000426974879815,5.999573362276273,-1.249450775684386,0.55,0.11314620351904811,0.0008453785941329554
17,1,0,0.6340007160804007,320.39825379429095,90.70090002728377,2.4383159328061828,21.47886807451468,0.5000426974879815,6,-1.249450775684386,0.55,0.11314620351904811,0.0008453785941329554
18,1,0,0.7440121708020087,300.4297532128852,91.36173101795295,2.3945036029334643,20.539856078422133,0.5004103768410295,5.988423754641621,-1.2402268090876207,0.5499922597684077,0.06386876142561373,0.0008560760627870367
19,1,0,0.7232592016765054,330.61011420216306,90.6094360873786,2.4504619909266507,22.054330893145334,0.5003368529557654,6,-1.2492449122177602,0.5490799084917797,0.14487851123006273,0.0006844716882154018
20,1,0,0.8151467389455718,310.69004333941336,90.13290008991163,2.4055664108068733,21.111583546761395,0.5023051120389863,6,-1.2494564719295698,0.5482911604661562,0.09858611290323832,0.0005538960979385469
21,1,0,0.8924641527785226,298.23880768468655,90.02445721999598,2.3945036029334643,20.36983746858217,0.5004103768410295,5.988423754641621,-1.246232476257548,0.5499922597684077,0.06386876142561373,0.0008555642440709909
22,1,0,1.116182242947957,304.01390269940515,89.83128657235544,2.4809933830535815,20.034256040617475,0.5002031912040765,6,-1.2481159068603926,0.55,0.04897280283909336,0.000940998006269012
23,1,0,1.0841165477318242,314.6463528315794,89.4035040340959,2.445886360066263,21.027647384256625,0.5008334827272152,6,-1.249549785901761,0.5316590139831534,0.10105203506712213,0.002196795873443
24,1,0,1.2202366450988507,277.96810777991413,95.54656385374953,2.269969082226548,20.016954531346265,0.5009844090445734,6,-1.2492839202820738,0.5324748690240055,0.018944587785483913,0.0020303478302066648
25,1,0,1.2772017119105143,294.11908028535385,88.57189058094431,2.3814152194792713,20.19283564996124,0.5002251868656297,5.999999405988953,-1.2480613741181084,0.5499729606731272,0.06615491444551397,0.001693970011691322
26,1,0,1.3155723851937395,313.70134997279894,88.01879813613797,2.4379709141094574,21.037856447975088,0.5014258332258235,6,-1.2479993734138266,0.55,0.11241443862627667,0.0003203711368642559
