design,scenario,converged,iterations,loss_mw,voltage_rms_pu,min_vm_pu,max_vm_pu,max_line_loading_percent,voltage_constraint_pu,thermal_constraint,security_index,mismatch_pu
baseline,base,true,3,35.679472358460,0.034305956029,0.982000000000,1.061167955414,148.686750085334,0.001167955414,-0.070707811967,1.019465923561,0.000000000024
baseline,evening_peak,true,3,35.691625410288,0.031271497799,0.968284107139,1.060000000000,141.668464665832,0.000000000000,-0.114572095839,1.000000000000,0.000000015974
baseline,high_renewable_low_load,true,3,49.725549612684,0.034265728104,0.982000000000,1.064009235891,221.376310160050,0.004009235891,0.383601938500,1.383601938500,0.000000000074
baseline,hot_peak,true,4,46.449074327452,0.036665494390,0.932498968422,1.060000000000,179.022799577729,0.007501031578,0.118892497361,1.125017192972,0.000000000000
baseline,n_minus_1_line_23,true,3,37.784029635142,0.030308588650,0.982000000000,1.060000000000,179.948508012020,0.000000000000,-0.062768187437,1.000000000000,0.000000000799
baseline,renewable_trip,true,3,31.492883649635,0.032069857975,0.982000000000,1.060000000000,118.931160467481,0.000000000000,-0.256680247078,1.000000000000,0.000000000448
selected,base,true,3,34.318864736718,0.013486909631,0.981446277649,1.036563119419,133.996687379227,-0.023436880581,-0.162520703880,0.837479296120,0.000000000009
selected,evening_peak,true,3,32.513165094527,0.010629315551,0.978146857118,1.033367712086,116.478750507585,-0.026632287914,-0.272007809328,0.727992190672,0.000000001107
selected,high_renewable_low_load,true,3,41.839364670493,0.015559387555,0.982000000000,1.037297305913,159.954290489926,-0.022702694087,-0.000285684438,0.999714315562,0.000000000010
selected,hot_peak,true,3,40.503207766049,0.021701718847,0.952744072000,1.028421127912,159.777188986182,-0.012744072000,-0.001392568836,0.998607431164,0.000000527499
selected,n_minus_1_line_23,true,3,36.939403765954,0.011280483882,0.977868057275,1.034309161350,187.831123504004,-0.025690838650,-0.021712898417,0.978287101583,0.000000000179
selected,renewable_trip,true,3,31.341645243856,0.011397509819,0.980278562436,1.035590031068,125.019145923572,-0.024409968932,-0.218630337978,0.781369662022,0.000000000045
