optimizer,evaluations,elapsed_seconds,best_objective
cma,1023,3.611217318,-11.509294811665898
cma,2046,3.615394681,-11.70495191065001
de,1001,3.542575039,-10.195883895430986
de,2010,3.563365185,-11.23260253490708
bite,1000,3.5256307319999998,-11.855097740436047
bite,2000,3.543527298,-11.913926703350548
bite,3000,3.560674561,-12.029500766047079
