angle_deg,nominal_db,envelope_min_db,envelope_max_db
-56.40815527153261,-30.055084135335292,-37.6119920716163,-18.207724301624236
-56.35641150075086,-30.08848287499347,-37.77109569907524,-18.217536840505073
-56.30473785288306,-30.122398348014098,-37.92899013287504,-18.227558931920672
-56.25313400174862,-30.156813557614193,-38.085436602193305,-18.237787578667543
-56.20159962358991,-30.191710681518806,-38.24018328642593,-18.248219735676734
-56.15013439704719,-30.22707104501159,-38.39296578496841,-18.258852309719067
-56.09873800313373,-30.262875093854795,-38.543507819324674,-18.2696821591287
-56.04741012521143,-30.299102367187025,-38.691522193115084,-18.280706093546737
-55.996150448966574,-30.33573147051746,-38.83671203322452,-18.291920873685587
-55.944958662386114,-30.37274004894946,-38.9787723315245,-18.303323211115547
-55.893834455734044,-30.41010476077969,-39.11739180119041,-18.3149097680746
-55.842777521528255,-30.447801251634278,-39.252255054469124,-18.32667715730286
-55.791787554517626,-30.48580412931823,-39.383045099831584,-18.33862194190293
-55.7408642516594,-30.524086939570093,-39.50944614584139,-18.350740635227115
-55.690007312096895,-30.5626221429318,-39.63114668699181,-18.363029700793373
-55.6392164371374,-30.601381092958682,-39.74784283363691,-18.375485552230803
-55.58849133023055,-30.640334016014144,-39.85924183446121,-18.388104553256436
-55.5378316969468,-30.67944999290907,-39.96506572644978,-18.400883017684286
-55.48723724495624,-30.718696942665975,-40.065055034820496,-18.41381720946853
-55.436707684007644,-30.75804160870336,-40.158972434836635,-18.42690334278181
-55.38624272590792,-30.797449547754475,-40.24660627968706,-18.440137582130337
-55.33584208450166,-30.836885121850294,-40.32777389461674,-18.453516042507058
-55.28550547565099,-30.876311493712677,-40.40232453785491,-18.467034789584424
-55.23523261721573,-30.915690625918014,-40.470141934073624,-18.480689839948404
-55.185023229033796,-30.954983284202925,-40.531146296242326,-18.494477161374473
-55.13487703290178,-30.99414904529711,-40.58529576647685,-18.508392673148183
-55.084793752555825,-31.0331463096732,-40.63258722529804,-18.52243224643071
-55.03477311365274,-31.07193231961038,-40.673056440481574,-18.536591704671327
-54.98481484375137,-31.11046318297038,-40.70677755021929,-18.55086682406832
-54.93491867229414,-31.148693903080698,-40.733861899185925,-18.56525333407951
-54.88508433058884,-31.18657841511383,-40.75445626882094,-18.579746917983993
-54.83531155179067,-31.224069629339294,-40.87157896379737,-18.59434321349644
-54.78560007088452,-31.261119481606585,-41.25743073892824,-18.60903781343528
-54.735949624667434,-31.29767899139491,-41.633635846190664,-18.623826266446372
-54.68635995173123,-31.333698327733085,-41.99342842740481,-18.638704077783046
-54.63683079244543,-31.369126883257366,-42.32867360852853,-18.653666710144307
-54.58736188894043,-31.403913356628536,-42.630012735958466,-18.668709584572063
-54.53795298509072,-31.438005843477864,-42.88726882427545,-18.683828081408905
-54.48860382649843,-31.47135193599015,-43.090166756993895,-18.699017541317172
-54.439314160477025,-31.50389883116473,-43.22934716316601,-18.71427326636104
-54.39008373603525,-31.535593447717556,-43.29753466419233,-18.72959052115199
-54.34091230386124,-31.566382551505228,-43.290604057191935,-18.74496453405919
-54.291799616306726,-31.5962128892599,-43.20824540153745,-18.76039049848536
-54.242745427371595,-31.625031330327484,-43.05401569396027,-18.77586357420921
-54.19374949268855,-31.65278501599832,-42.834759884479695,-18.79137888879491
-54.14481156950796,-31.67942151591328,-42.55958833071995,-18.80693153906965
-54.09593141668284,-31.70488899091733,-42.23870524713923,-18.822516592669494
-54.047108794654086,-31.729136361621904,-41.88235812400302,-18.838129089654252
-53.998343465435916,-31.752113481825475,-41.500067512004826,-18.85376404419167
-53.94963519260134,-31.77377131583372,-41.100174567826045,-18.869416446311188
