optimizer,feasible,objective,peak_deg,hpbw_deg,nominal_psll_db,worst_psll_db,taper_efficiency,constraint_pointing,constraint_psll,constraint_kernel,delta_vs_seed,phase_codes,attenuator_codes
seed,1,-11.66178695651554698,19.89177383949738953,8.68268765399857934,-24.55141900623475593,-11.66178695651554698,0.83742153337073433,-0.14177383949738953,-1.66178695651554698,-1.00000000000000000,0.00000000000000000,"18;7;60;49;38;27;16;5;59;48;37;26;15;4;57;46","23;21;17;11;7;4;1;0;0;1;4;7;11;17;21;23"
cma,1,-11.70495191065001,20.13656875036712,7.862809036073713,-17.638252531189018,-11.70495191065001,0.9062245490254545,-0.11343124963288176,-1.70495191065001,-1,-0.04316495413446297,"25;11;62;54;42;30;18;9;62;48;41;27;19;4;61;50","19;20;10;12;5;6;1;6;6;1;0;10;9;12;13;14"
de,1,-11.23260253490708,20.160135095533246,8.092093173793927,-17.40131466849804,-11.23260253490708,0.8999685886597404,-0.08986490446675433,-1.2326025349070804,-1,0.42918442160846659,"17;8;59;54;40;28;18;4;60;45;40;25;20;6;55;42","23;15;13;8;9;4;0;2;5;3;5;5;11;13;17;17"
bite,1,-12.029500766047079,19.802779209524296,8.375797783278387,-23.18442874497321,-12.029500766047079,0.8665946150430422,-0.05277920952429582,-2.0295007660470787,-1,-0.36771380953153177,"18;7;60;49;38;27;16;5;59;48;37;26;15;5;57;48","20;19;15;10;6;3;0;4;0;1;3;6;10;15;20;20"
