angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-79.89896109230476,-22.96132436801457,-25.341291744133237,-30.120757740221688
-79.73690410137745,-22.928431787329938,-25.333255664064612,-30.10337322528471
-79.57733997271713,-22.89698550554059,-25.32599525563103,-30.087354690627002
-79.4201559038775,-22.86697403560691,-25.31950833717798,-30.072696917155586
-79.26524733355379,-22.838386446310032,-25.313792779162295,-30.059395130812984
-79.11251712273898,-22.811212347338437,-25.30884650260542,-30.04744499657951
-78.96187483759948,-22.785441875264056,-25.30466747752631,-30.03684261305534
-78.81323611904004,-22.761065680368702,-25.301253721355074,-30.02758450761292
-78.66652212648461,-22.738074914278165,-25.29860329732184,-30.01966763209994
-78.52165904546642,-22.7164612183719,-25.296714312822676,-30.013089359088138
-78.37857765030293,-22.696216712931815,-25.295584917757896,-30.007847478653122
-78.23721291450586,-22.677333987001283,-25.295213302841958,-30.003940195678986
-78.09750366270961,-22.659806088925265,-25.29559769788293,-30.00136612768063
-77.95939225883438,-22.643626517544575,-25.296736370028245,-30.000124303136595
-77.82282432597854,-22.628789214021463,-25.298627621975676,-30.000214160329843
-77.6877484941811,-22.615288554273157,-25.30126979014673,-30.001635546692963
-77.55411617273873,-22.603119341992574,-25.30466124281878,-30.004388718654283
-77.42188134421741,-22.59227680223915,-25.308800378215416,-30.00847434198752
-77.2910003776849,-22.582756575581243,-25.313685622550782,-30.013893492664224
-77.16143185901595,-22.574554712774805,-25.31931542802519,-30.02064765821045
-77.03313643640165,-22.56766766996541,-25.325688270769646,-30.028738739572898
-76.9060766794295,-22.562092304399833,-25.332802648735885,-30.038169053498613
-76.78021695030613,-22.557825870637433,-25.340657079528974,-30.048941335434908
-76.65552328596685,-22.554866017249946,-25.349250098178313,-30.061058742955673
-76.53196328996908,-22.55321078400291,-25.358580254845183,-30.07452485972589
-76.40950603319409,-22.552858599510298,-25.368646112461384,-30.089343700011764
-76.28812196249642,-22.55380827935721,-25.379446244297213,-30.105519713751576
-76.16778281653644,-22.556059024684973,-25.390979231453016,-30.123057792198033
-76.04846154811823,-22.559610421236087,-25.403243660271826,-30.14196327414951
-75.93013225242788,-22.564462438855944,-25.41623811966833,-30.16224195278653
-75.8127701006342,-22.570615431450065,-25.429961198369636,-30.183900083131412
-75.69635127836945,-22.578070137396907,-25.444411482063686,-30.20694439015265
-75.58085292865941,-22.586827680417755,-25.459587550451133,-30.231382077537123
-75.46625309891503,-22.59688957090454,-25.47548797419449,-30.257220837152556
-75.35253069163859,-22.60825770771071,-25.49211131176143,-30.284468859230145
-75.23966541853052,-22.620934380408197,-25.509456106155618,-30.313134843294314
-75.12763775771505,-22.634922272017093,-25.527520881530243,-30.343228009871936
-75.01642891382892,-22.6502244622149,-25.54630413967928,-30.37475811301656
-74.90602078074302,-22.66684443103271,-25.565804356399276,-30.40773545368191
-74.79639590670699,-22.68478606304974,-25.586019977718244,-30.44217089398971
-74.68753746172793,-22.704053652094487,-25.606949415982267,-30.478075872429052
