method,seed,training_quality,validation_quality,elapsed_seconds,result_size,coverage,qd_score
MODE,42,1.1206684693932976,1.4914596382331562,35.204597259,128,nan,nan
MODE,43,1.127893033282871,1.4880408421146323,35.427213964,128,nan,nan
MODE,44,1.1184715708996031,1.4971322103357476,35.60732462,126,nan,nan
MAP-Elites,42,1.1431243917081717,1.4905278425210837,33.383287179,309,0.7725,222.56142372471297
MAP-Elites,43,1.2057619800402444,1.6289581020114487,33.337550134,297,0.7425,215.04013186342658
MAP-Elites,44,1.2048458471263683,1.4790376761014283,32.778260928,306,0.765,220.5103589110696
