station,longitude_deg,latitude_deg,accepted_passes,rejected_short_passes,contact_hours,maximum_gap_hours
Svalbard,15.41000000,78.23000000,51,1,7.907812500,0.763932292
Fairbanks,-147.72000000,64.82000000,28,2,3.642513021,1.511848958
Singapore,103.70000000,1.32000000,14,1,1.580013021,2.795312500
Hartebeesthoek,27.71000000,-25.89000000,13,0,1.561914063,2.790755208
Cordoba,-66.10000000,-33.20000000,13,1,1.745052083,2.838541667
Troll,2.53000000,-72.00000000,46,2,5.673958333,1.156054687
