point_id,feasible,selected,objective_maximum_gap_hours,objective_negative_contact_hours,objective_launch_complexity,quality,decision_altitude_km,decision_inclination_deg,decision_raan_1_deg,decision_raan_2_deg,decision_raan_3_deg,decision_raan_4_deg,decision_mean_anomaly_1_deg,decision_mean_anomaly_2_deg,decision_mean_anomaly_3_deg,decision_mean_anomaly_4_deg
0,1,1,2.8385416666666665,-22.111263020833334,0.721991258416971,3.3451557947689503,702.0868368845913,88.66043413004265,296.0424914141978,172.97877111235687,227.6907030188895,181.2415239284974,329.01489738351466,148.67814335928932,241.98859014888546,297.7820169364116
1,1,0,3.6744791666666665,-24.324153645833334,0.875385484842499,2.7746867427508373,770.8616193655271,94.802550003542,280.01222680467305,168.67024270300067,165.90352009535184,237.1365244545424,138.21559310809403,159.83867516772318,315.0617895458248,54.891490844925215
2,1,0,3.5067708333333334,-25.996614583333333,1.089147841326152,2.761100063955846,882.1188370772802,85.42009925509547,106.3562358899734,77.09246203960583,35.23674392802843,152.94961141380162,212.00938383135156,152.74374102008892,203.62927390767044,14.10177423377408
3,1,0,3.9876302083333335,-28.373958333333334,1.0780000203873137,2.7376639208457867,857.1181769126872,91.00929660485681,41.65303638884146,142.00720154706858,109.2960190013996,179.94341658701245,7.383724326179731,296.5978646891995,207.98048602966674,259.35123053020317
4,1,0,4.006315104166666,-28.652734375,1.094403245860748,2.732672524349202,857.1181769126872,91.00929660485681,34.08194138426863,142.0072015470686,109.2960190013996,179.94341658701242,7.383724326179721,304.3706949079025,207.98048602966676,259.35123053020317
5,1,0,3.9876302083333335,-28.158984375,1.0664116860840782,2.732158503826175,857.1181769126872,91.00929660485681,41.65303638884146,117.4832332308342,109.2960190013996,179.94341658701245,7.383724326179731,296.5978646891996,207.98048602966674,259.35123053020317
6,1,0,3.969986979166667,-25.189127604166668,0.8732398437525444,2.705605598531025,770.861619365527,94.802550003542,278.9267771126655,168.67024270300067,165.90352009535184,237.19893958789032,138.21559310809403,225.76682731430975,315.0617895458248,54.891490844925215
7,1,0,4.045768229166667,-29.942513020833335,1.2014560964978944,2.695571900047809,900,91.00929660485681,43.46401226105746,172.388885541396,110.61186787744587,179.94341658701245,15.177951831511251,296.5978646891995,207.98048602966674,259.35123053020317
8,1,0,3.413671875,-25.405924479166668,1.1471374865915727,2.6808659898022045,899.1358756116374,85.43066244451236,237.68423281217773,182.26495767762705,231.39319863222238,313.4576773234285,208.76543804671286,152.7437410200889,118.02407200412375,180.75149869046658
9,1,0,3.8932291666666665,-25.948502604166666,1.0403531099516128,2.5990307108911477,854.7450612473347,90.77392110379986,68.85576462418568,142.31124727387643,84.80412242850252,179.94341658701245,7.383724326179731,296.5978646891995,207.98048602966674,278.46081020808816
