variable,value
altitude_km,702.086836884591
inclination_deg,88.660434130043
raan_1_deg,296.042491414198
raan_2_deg,172.978771112357
raan_3_deg,227.690703018890
raan_4_deg,181.241523928497
mean_anomaly_1_deg,329.014897383515
mean_anomaly_2_deg,148.678143359289
mean_anomaly_3_deg,241.988590148885
mean_anomaly_4_deg,297.782016936412
