point_id,feasible,selected,objective_mean_huber_error,objective_p95_detection_error,objective_total_emission_g_s,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
0,1,1,0.13578530190014385,2.3700748384874513,0.9719326503431585,-924.7081012690705,33.090320575181295,-0.07579309872641146,88.22224910631203,1105.5482002935705,-108.13010206336571,-0.87918713020947,84.47488658820205,-6.859273094667758,1.0858088395359444,0.9176380397469546,1.083106284409483
1,1,0,0.1368832862006151,2.4475578085932046,0.9580520005191839,-924.7081012690705,33.090320575181295,-0.07579309872641146,88.22224910631205,1105.5482002935705,-108.13010206336573,-0.9274119424079799,84.47488658820205,-6.859273094667758,1.0858088395359444,0.9176380397469546,1.083106284409483
2,1,0,0.14555951689166607,2.4821415971315837,0.9438676084415898,-1001.8168572028129,36.152693697963976,-0.3486908879071626,72.86488989741054,1113.1214063165003,214.38465499020992,-0.3046623582154786,81.93874155563083,-6.559877907941685,0.8195830589181554,0.8059665157437874,1.0759795483623709
3,1,0,0.15064374334932992,2.5006010273527863,0.6239756314264138,-1024.408312185614,211.16342046309512,-0.29323846685798927,65.68287666811572,851.6714160552144,-105.25447474430723,-0.9395879355506653,90.56314784568758,-6.7795976483429685,0.8212399488255437,0.8066870322828821,0.7385241752234173
4,1,0,0.14586851225768588,2.509290749925402,0.8057372649801253,-1016.9070716418742,30.229075793266546,-0.49190019492922366,74.98224054338966,1062.1381423778266,44.121529951110205,-0.31555290558167237,86.00513228521748,-5.949400165798185,0.8190874732209115,0.8409037650191009,0.7661021734481863
5,1,0,0.1586277457672442,2.590456091197074,0.5879594533687945,-1026.8501024464017,209.61983682479024,-0.3143016475563619,89.2373522956966,1143.4325112103047,24.37847418946432,-0.9871294556243806,94.15992433711791,-6.779597648342968,1.0271003973600952,0.8066870322828822,1.019566944313115
6,1,0,0.16062723623148611,2.7214159796816872,0.2894526999186051,-960.1467591558379,440.4162219397022,-0.7750398017903053,88.16861653829525,833.5824736696693,-107.85346274180603,-0.9151104169720656,39.09551455871426,-3.9129554121712333,0.8304298020683081,0.8553233479157379,0.88077165124611
7,1,0,0.18464423291477175,2.7896057437710686,0.2744283803428365,-919.7839903762267,314.0898081143838,-0.7725107864720202,87.5224092063764,1478.5000631231442,-125.3192186405153,-0.9764060515376412,72.31433602355168,-7.025645812180233,0.9729903727784222,1.0096250660015633,1.2221210603257995
8,1,0,0.18555264616380981,2.7978688101759275,0.27227338353090846,-1110.949314302889,437.48164471791654,-0.7750398017903053,75.92499384669023,1016.4610924282752,71.49628733652739,-0.9812646978096881,75.48390201089883,-6.685615379691416,1.0328675794313802,0.8559151382615624,1.089799307487897
9,1,0,0.18394362627565522,2.827156685934717,0.2828256643280255,-1086.2274936280178,33.090320575181295,-0.7750398017903053,87.5144505463258,1105.5482002935705,-107.85205491456182,-0.9394507985838325,85.47614533447786,-7.102391779724691,1.0858088395359444,0.8476606687503425,1.0259421913946998
10,1,0,0.18426942971159352,2.830145241512223,0.2828256643280254,-1079.82477166351,33.090320575181295,-0.7750398017903053,87.5144505463258,1105.5482002935705,-107.85205491456182,-0.9394507985838326,90.56314784568758,-7.102391779724691,1.0858088395359444,0.8476606687503425,1.0259421913947
11,1,0,0.19338652338231435,2.8477710307657604,0.2721733103651559,-1120.3834009031602,442.17198794258064,-0.7750398017903053,75.92499384669021,1450.554790684779,-111.87601037934877,-0.9816811593124124,75.20186694043045,-6.6856153796914155,1.0328675794313802,0.8559151382615623,1.0897993074878969
12,1,0,0.18991701848323753,2.863878707931998,0.22259987093643552,-1087.2650652469297,17.181859887570766,-0.9307713265754216,73.19823475444923,1165.147820670928,212.4973154472226,-0.9774949335204861,87.40898350269589,-6.559877907941685,0.8234420761726394,0.8059665157437874,1.0759795483623709
13,1,0,0.1730090182029087,2.9538530181735205,0.2862537010006067,-924.7081012690705,33.090320575181295,-0.7750398017903053,87.5144505463258,1105.5482002935705,-107.85205491456179,-0.926689806191204,84.47488658820205,-6.859273094667758,1.0858088395359444,0.9176380397469546,1.0831062844094828
14,1,0,0.17864824517292574,2.9419610127069165,0.2828256643280255,-927.1683529969778,33.090320575181295,-0.7750398017903053,87.5144505463258,1105.5482002935705,-107.85205491456179,-0.9394507985838325,90.56314784568758,-7.320547426219074,1.0858088395359444,0.7822261301617004,1.0259421913946998
15,1,0,0.177902582137367,2.9513603781207394,0.2630419608995702,-1079.82477166351,36.254692770138945,-0.8294997424247683,87.5144505463258,1105.5482002935705,-107.85205491456182,-0.9394507985838325,98.60285177598212,-4.808140599698704,0.8244921404789101,0.8472342426914325,1.0259421913946998
16,1,0,0.17312148072082936,2.9692514835543493,0.28425264138504636,-1079.82477166351,36.254692770138945,-0.7713635800740283,87.5144505463258,1105.5482002935705,-107.85205491456182,-0.9394507985838325,73.21131612014601,-4.808140599698704,0.82449214047891,0.8472342426914325,1.0259421913947
17,1,0,0.17681780953615767,2.988608440341175,0.2828256643280255,-927.1683529969778,33.090320575181295,-0.7750398017903053,87.5144505463258,1105.5482002935705,-107.85205491456179,-0.9394507985838325,90.56314784568758,-7.320547426219075,1.0858088395359444,0.8476606687503425,1.0259421913947
18,1,0,0.1905714373408676,3.0081077218461445,0.2225821785615668,-994.7518851589385,417.63659172699704,-0.9808591776526367,103.78808699986226,1007.4901617553087,-111.40321540529743,-0.9278373542357139,74.94559198482528,-7.100127303925323,1.0851238749680618,1.2419313036797128,1.0573982095949455
19,1,0,0.1918668049352825,3.0120139718461543,0.20933653757362067,-1133.5973953174894,41.12094731327278,-0.9787697446022374,78.40523608476735,1083.0485415106677,-114.77501903711942,-0.9816048001768625,94.74158869262719,-7.102391779724691,1.0328675794313802,0.846790832334698,1.028202974282245
