evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
32,0.455162541,0.13,2.1549750538090175,2.94214270824377,0.03125
64,0.89732277,0.23,3.655408965663355,2.94214270824377,0.015625
96,1.412167438,0.29,4.726681993339944,2.7036696156572475,0.010416666666666666
128,2.044873883,0.3,5.018935210419693,2.7036696156572475,0.0078125
160,2.461651682,0.3,5.272010167665134,2.7036696156572475,0.00625
192,2.810200741,0.33,6.134236731523732,2.7036696156572475,0.005208333333333333
224,3.130199577,0.33,6.395844108725816,2.7036696156572475,0.004464285714285714
256,3.4085653000000002,0.37,6.816027545935384,2.7036696156572475,0.00390625
288,3.622119813,0.37,7.05963755507486,2.7036696156572475,0.003472222222222222
320,3.9490204,0.38,7.167348872190695,2.7036696156572475,0.003125
352,4.363207583,0.4,7.35548217123455,2.7036696156572475,0.002840909090909091
384,5.008359963,0.44,7.738547908831996,2.7036696156572475,0.0026041666666666665
416,5.336708894,0.44,7.875021997564076,2.7036696156572475,0.002403846153846154
448,5.644447668,0.45,8.101131249102345,2.7036696156572475,0.002232142857142857
480,5.832281761,0.45,8.160962262795483,2.6732823708927005,0.0020833333333333333
512,6.090356557,0.47,8.402113704023117,2.6470671508619565,0.001953125
544,6.330564052,0.48,8.533358623001245,2.581404475775556,0.001838235294117647
576,6.555868053,0.49,8.667053263332377,2.581404475775556,0.001736111111111111
608,6.781750973,0.49,8.800863040452017,2.581404475775556,0.001644736842105263
640,7.093007709,0.51,9.033865517136197,2.581404475775556,0.0015625
672,7.408316383,0.52,9.160935452606747,2.581404475775556,0.001488095238095238
704,7.677909065,0.54,9.328753890729274,2.581404475775556,0.0014204545454545455
736,7.915530898,0.55,9.48578799861098,2.581404475775556,0.001358695652173913
768,8.191640562,0.56,9.639352380922665,2.581404475775556,0.0013020833333333333
800,8.462294898,0.56,9.639352380922665,2.581404475775556,0.00125
832,8.895824734,0.58,9.90970233037353,2.581404475775556,0.001201923076923077
864,9.204081093,0.59,10.042620003357372,2.581404475775556,0.0011574074074074073
896,9.522751482,0.59,10.189336245380366,2.3009949723770395,0.0011160714285714285
928,9.786043563,0.59,10.325518345957754,2.3009949723770395,0.0010775862068965517
960,10.048960639,0.61,10.488034300798155,2.3009949723770395,0.0010416666666666667
992,10.325948945,0.62,10.601228113108007,2.3009949723770395,0.0010080645161290322
1024,10.630746847,0.62,10.688767606254833,2.3009949723770395,0.0009765625
