niche_id,grid_x,grid_y,quality_train,descriptor_altitude_km_train,descriptor_plane_spread_train,visit_count,decision_altitude_km,decision_inclination_deg,decision_raan_1_deg,decision_raan_2_deg,decision_raan_3_deg,decision_raan_4_deg,decision_mean_anomaly_1_deg,decision_mean_anomaly_2_deg,decision_mean_anomaly_3_deg,decision_mean_anomaly_4_deg
140,0,7,4.045865922212197,450,0.3556966513788641,12,450,85.74007899648818,162.34562376538184,36.7443166784096,139.16485867102335,72.01453070431833,178.4151854034374,30.777152013444766,207.5552453408606,0
123,3,6,4.0577044018195085,539.0766671410178,0.33197679290933146,6,539.0766671410178,86.63076945589259,87.27012872557466,0,135.55015689435373,53.99714630452826,229.08634861349682,0,52.255067040537526,55.04935261266941
141,1,7,4.090854866436897,481.1015325092644,0.35913641634425264,3,481.1015325092644,86.60066818536987,88.11973534066524,4.076166472776806,146.82363091625731,56.710428402776245,187.87536433466488,0.7485590559729917,97.7546852597337,30.744364461559485
102,2,5,4.2509851832172405,506.4910685136109,0.25996772724779715,11,506.4910685136109,84.68935984492603,154.8555925489651,40.25589494615919,82.24607852707169,121.84764389758115,213.9260407409236,40.283334091785235,100.47462558207955,15.196092849554354
160,0,8,4.345955360419476,450,0.414119422919476,16,450,87.09677980350143,284.4944778494108,144.62448151878317,154.5972591279417,215.83652100952634,239.02300729701682,106.52944856603744,289.3079373501277,76.0236643505961
142,2,7,4.367800700709417,505.030440259312,0.3597489022829634,9,505.030440259312,86.62803448437276,87.81491429699442,3.4089326785365035,147.30519020939673,60.006646245096796,186.06935308226338,0,91.12357113057764,30.567189611235694
180,0,9,4.389545011043197,450,0.46734449020986313,23,450,88.69339233708133,110.66533585585118,18.038870417272875,182.71772855874292,68.80471862812556,173.13848458260594,62.50295880250746,0,17.771295757013252
120,0,6,4.39197050811833,450,0.3101996747849969,18,450,89.21394950083969,73.87503470466919,28.21601438444825,331.98640128915474,314.88075938795873,102.88352427164597,197.5417558244974,266.8038072671688,100.55458680917884
181,1,9,4.394316990986604,485.89796273598444,0.46359257196009307,10,485.89796273598444,77.82791414970227,130.97131834000587,32.71742944701444,189.83628807296546,73.41581808088644,18.737681867182513,304.7579919542201,307.5318196987555,138.87408023756234
121,1,6,4.454577082727516,489.97518510238154,0.3433017942037002,17,489.97518510238154,87.46832288885088,250.40131480791837,117.28692569235102,174.55025806371796,219.79175794251407,215.70488022012162,37.073549826273535,250.24945002012427,112.05654905168659
241,1,12,4.485362488174096,494.3095436925724,0.644285280415039,14,494.3095436925724,78.69992940870625,142.52104542161823,17.366424122555074,217.8961920471673,88.12900518880352,122.4603397636276,286.69201973666515,318.52526877932524,190.85516901948915
161,1,8,4.5115699727135405,478.87022685001716,0.41870103754670196,13,478.87022685001716,87.13872227577158,82.18026188835164,0,146.00924838053044,26.00231491872202,186.54740262818518,0,101.8760197288081,0
240,0,12,4.5607389511505625,450,0.6079394719838958,18,450,90.31091229955602,46.78606635561076,118.79653464663443,347.64096270588163,288.9005539984565,119.47319741343497,201.21661367493562,230.3132058522968,178.63893909606873
260,0,13,4.597518400867941,464.6878807339246,0.6984911560286944,24,464.6878807339246,95.54664654856872,79.52858490759903,130.89634302015156,214.72329306102912,359.98899940067184,305.9896416149179,360,291.02539888242416,188.380256967674
201,1,10,4.632979266607229,475.6454505805672,0.5451445524682239,14,475.6454505805672,88.66919219743637,62.49145528860925,0,177.79271642816067,116.63146330671623,179.2908984452599,0.025620972571506927,3.782383636536454,172.1494672880153
143,3,7,4.672776675543768,518.818384302114,0.39579074918929413,10,518.818384302114,87.12012451678382,86.50029983573401,4.0802216980882875,157.05614001883373,61.36142237664042,173.2510707105757,48.955361259898766,53.35152744972858,30.628966870138832
320,0,16,4.704043946097765,450,0.8216220710977649,14,450,77.31993902805826,243.25338357021462,159.27710389007183,99.87980873675855,0,36.241867113131626,161.12168233036962,0,0
144,4,7,4.7487009636695605,548.6235108739753,0.38329918826314036,11,548.6235108739753,85.4242132508148,94.18999623446499,360,134.92107053457156,30.845417123940862,202.0228233925268,318.9056632673886,259.06526037680777,270.0671532533864
203,3,10,4.752670702669364,536.0444762356702,0.5016660444793277,16,536.0444762356702,85.81199634613876,311.7130816091579,195.68997147612788,0,250.42738589620257,257.0420361613528,277.3369208529849,360,299.92657161798576
300,0,15,4.766768183852076,450,0.7566119338520764,15,450,87.05712662686523,317.8422798960531,186.4430218929325,54.253474922557984,260.68671668966596,74.00398013479858,245.31509043742753,360,301.055322024839
281,1,14,4.782535998288032,486.96334767639655,0.7207150215240662,12,486.96334767639655,98.12560588379414,70.01810284254614,111.79538320873954,193.40305810491483,327.987961889668,295.663354654797,220.51700509246407,314.65864630449124,146.62726514870909
105,5,5,4.827407257974685,581.4375072966004,0.26824051834201434,9,581.4375072966004,87.62035712237939,181.14124337539778,97.96297535002635,64.78663049647031,138.7514102210814,201.6641441671909,35.52142442220424,52.421753839115674,51.761558113825345
125,5,6,4.845810201626625,568.0965977531218,0.33372443242874006,10,568.0965977531218,90.10539544963532,282.1071440828274,152.4435060635198,245.013861499145,195.37925578077954,68.74949367478843,210.33675521393258,119.66077827167483,178.22040342548118
100,0,5,4.853607019611755,450,0.25933618627842125,9,450,84.75109980276972,148.90410156977714,34.51647020595952,78.37416765824992,117.71950221618457,220.17503031854568,41.63464349428152,96.55048082312119,0
101,1,5,4.857156198693323,488.6877461879103,0.254393320147553,11,488.6877461879103,83.48001797994432,207.3458925746846,143.30793707654422,89.49715704439838,167.61218021386648,206.4087423838693,44.41307494409642,180.4755925746418,24.69574300464228
82,2,4,4.918391910212596,499.7487344028218,0.24173789951771163,3,499.7487344028218,84.55762747697457,205.04191059961624,140.19690233584095,88.91492206132178,158.11911126643892,197.3704712264221,50.143533840747615,182.70729100381038,25.45571762937209
104,4,5,4.925192491512681,540.6239130561427,0.2877684651179221,14,540.6239130561427,90.18783849608242,202.03916866261608,149.4264952750815,245.46987243466137,130.2272299113144,164.23358940609472,239.1002243459957,13.113584782962967,136.89206002706825
80,0,4,4.93030021569675,450,0.24599031986341624,14,450,87.91161609607238,63.297838188200124,108.53046826545926,31.511839084756417,354.8845523310216,249.44982357412496,0,27.56939821590236,219.09918099529247
145,5,7,4.937312797317115,581.7907101337452,0.37682757097966313,10,581.7907101337452,91.4192523068612,12.373336183698433,287.29763855573776,232.00219718881866,336.0759608344141,190.06852620704413,0,31.281237443725587,150.94081185207753
303,3,15,4.970958859362774,528.6815756086146,0.7677368532766278,11,528.6815756086146,92.0262271234302,0,303.4547617935517,73.00114617194748,199.86734771092762,231.12695562547196,309.7417083311015,144.60526156281276,330.04685216176244
103,3,5,4.985612221787525,522.9159149569662,0.2869869263845308,9,522.9159149569662,89.12657609265901,223.5064792911655,105.76030438279611,153.08411203440411,200.2768608909587,234.81807252105608,115.29557037691275,268.01893741727264,107.38574540364557
202,2,10,5.005834099718003,516.3726410823298,0.5203628972280379,8,516.3726410823298,78.41807105071476,135.11687996805117,25.854418103471353,196.49763069255735,77.91101795949255,79.91837832888751,301.1437278038982,269.1631973097384,156.00365826235037
282,2,14,5.008027906946698,513.52739515171,0.705957080429598,9,513.52739515171,86.27601314930072,61.03974332568199,279.59297807477975,131.50320628250535,0,137.3250019406547,243.37462157714938,224.39773265444862,272.1537858911452
81,1,4,5.016145566796788,489.1665104562023,0.24043098306809907,7,489.1665104562023,89.2920095173037,99.12251941727526,16.60526782721702,128.34991219599058,68.81495417527806,163.84738090469665,10.740019811057449,73.21927722306333,0
263,3,13,5.035426528788712,538.8089878990897,0.6997455039644808,14,538.8089878990897,76.70352888177936,132.7615637021359,0,211.25178975695974,73.56357149235096,84.00510778154147,273.6108485420417,282.696789661601,172.90257949370942
124,4,6,5.0396353866078645,549.6648177764984,0.3155783546762143,12,549.6648177764984,80.53916781541058,125.67514927579172,151.2105765159025,68.27372796853987,201.8594446741348,159.85715629560175,24.122926532801504,309.83155215608093,154.5707805706961
302,2,15,5.050849729793364,500.0499392477456,0.757576899815907,11,500.0499392477456,91.36416037736417,308.2915437367053,163.8145206098517,37.93721922807799,266.4642494105526,34.57496715081734,243.50021144735547,342.31610101658896,353.96654572737333
60,0,3,5.053668128757558,450,0.1948139620908922,14,450,84.44883038043285,139.23816094097322,36.200270249860594,83.13884950706726,100.14277556212751,226.07106552747703,47.62459412276938,111.24297717249547,0
221,1,11,5.117459181453514,488.8270891286445,0.5692273526670681,13,488.8270891286445,71.79699778723307,218.75812534590395,276.3352886743894,161.7853022009579,343.49476175845285,205.45543775979283,319.03726127781965,265.62899019710187,173.93592818478206
261,1,13,5.192507828970245,481.05821047188203,0.6853762450847583,11,481.05821047188203,85.25476936596846,70.96541472411069,285.2402329242327,138.95538227068573,21.103456936940702,204.0165383366702,265.4985865975015,230.8490215195096,207.73972050306375
122,2,6,5.197112836733796,506.426283651978,0.3103239585473494,7,506.426283651978,88.42616907493735,243.09470406867285,116.49535069441275,161.9364791376407,204.87035345942743,222.320535348164,114.06912874978407,248.5441822069546,112.06491966621613
182,2,9,5.230254095241833,495.46416984174266,0.45009156349107327,13,495.46416984174266,80.87396763676672,115.0677225078578,0,160.55736370141216,73.605809353138,91.49751903476155,11.884181666386091,78.56975492315699,78.66117889607699
280,0,14,5.243929833369617,454.62716018074684,0.7300801065621487,14,454.62716018074684,87.17385018294657,329.2071686739492,196.32398341417516,51.815033965712566,263.56160887730385,50.80616913441685,262.2512319299714,341.96313897312535,307.23225967954227
83,3,4,5.260509736304071,537.3851698305208,0.24362418383219753,8,537.3851698305208,86.87185181035665,229.80970834377908,202.22305876180883,116.65660074885436,177.4116530654452,214.89567651342855,102.9172675711466,214.1524165512238,98.13669170947281
107,7,5,5.266439198851319,617.5727985952046,0.2939013170659386,14,617.5727985952046,86.75605011210547,76.05126761229009,342.0423894804794,108.62682553376541,53.17803731805633,168.59685564322783,265.5326804532544,258.09675061945956,290.567758602237
284,4,14,5.28390865291381,560.0961024363434,0.7262418993837101,12,560.0961024363434,80.01702823112979,313.7693673761041,102.48079228330815,238.0879744336187,167.33939831069395,214.0077493931155,136.20053140291634,307.27260483066897,0.012662885162456436
243,3,12,5.299379446113967,520.3584605030055,0.6168234869172454,11,520.3584605030055,92.19242004239749,269.60504517719164,76.98641938861242,135.37112977996708,193.34634371893594,233.15790953947877,135.35945292774068,289.8963508668269,102.3943880552453
224,4,11,5.366012542651871,557.3984804629541,0.5737334671889971,13,557.3984804629541,79.39519702630365,129.31295406255927,9.219547630736379,189.59769922346044,67.01655971488734,20.34939428990579,267.13324674575387,310.4372969676034,166.7750116842155
166,6,8,5.385833126407469,605.0295085356425,0.4068922077177104,10,605.0295085356425,100,66.65016082090636,185.97871152409888,208.9222310853892,128.39638084308356,37.35173354767091,316.1854337259398,215.67419520960811,334.3803346534567
262,2,13,5.390946158300817,499.91056407587695,0.6797962467087142,11,499.91056407587695,98.23563182330484,78.75838017821556,119.46506261701828,192.95562353893993,336.66224916266845,284.45402928882066,295.4084217994971,299.1710745944915,132.45262346918872
220,0,11,5.3925300205763005,459.24768902887865,0.5526572969541808,13,459.24768902887865,85.37043850465179,216.51333280239672,284.0521932696074,138.56246980031798,118.5941477894582,94.08067876473582,135.47140022203664,132.92261513825164,224.6160246029751
183,3,9,5.432555520168247,528.0940445827946,0.4604041368403,14,528.0940445827946,84.1769730808476,304.70294195287323,203.38672758816475,4.1836360689742165,256.4423153710236,257.87197309064294,278.8477149534628,360,141.76499201862885
147,7,7,5.4605983630634904,612.8627631537751,0.37467906485907243,9,612.8627631537751,99.92646483383614,148.3132218050262,245.01921581351326,192.5607251897318,286.89010724829734,118.14935393471657,223.31572308665702,240.23317574339578,141.00529788241985
340,0,17,5.4651787053990075,453.6430305561742,0.8691780873372654,8,453.6430305561742,96.82439574494748,101.5914598239841,28.754812593818528,179.4160622338949,276.2282167711942,278.9072745993668,275.2914525964977,300.1321544444453,132.65657730397285
167,7,8,5.518765902375112,628.9676821743922,0.4330604347978566,14,628.9676821743922,87.97566431314041,91.28859956002678,0,303.0826275320085,60.18048240336388,202.91127934545818,183.97537065109168,173.03323208622885,143.30121503542443
129,9,6,5.525122345670449,672.0372099709555,0.3386044126275616,7,672.0372099709555,88.84753778874426,116.99116338698073,69.36878829220075,360,126.72508667538924,241.20812656601655,87.99588022906828,27.345337357236417,167.72993784865062
162,2,8,5.532829114257084,507.1982987079841,0.4028383146772432,15,507.1982987079841,96.76846636861153,323.8754553853017,216.21897984387334,0.02068020637386867,268.6185330052239,255.890751598802,291.1538869667233,360,306.380177402723
128,8,6,5.6308571251816595,649.1803600859073,0.32388425348925287,10,649.1803600859073,90.28038888718827,277.19696948960024,143.11259443446295,216.23803160110117,186.09202875822234,108.44960674697307,245.27159155474854,81.67423466151762,221.99678904426304
200,0,10,5.631350034093228,450,0.5183943049265612,17,450,86.94250304626843,87.97902785243625,0,175.8794027492754,44.75153584474275,176.88197771787782,38.40659818326216,53.225428883077655,42.0891544203402
283,3,14,5.636774240961789,530.2088419030941,0.709816030264181,15,530.2088419030941,85.82300248372744,69.29899350089212,276.43141366511213,141.23286394474115,25.69017184724416,219.1273419307959,270.7386522535843,236.78597982132888,240.1561372325506
185,5,9,5.641807319395568,569.9079421099367,0.4606966482962007,11,569.9079421099367,93.03042501176638,25.034628542594998,287.3095498776173,231.8484010667002,350.9090761670657,188.2806255733809,0,39.272427069110734,156.6351779510175
