station,longitude_deg,latitude_deg,accepted_passes,rejected_short_passes,contact_hours,maximum_gap_hours
Svalbard,15.41000000,78.23000000,45,4,4.692968750,1.457877604
Fairbanks,-147.72000000,64.82000000,19,4,1.886132813,2.120247396
Singapore,103.70000000,1.32000000,8,1,0.817513021,3.690169271
Hartebeesthoek,27.71000000,-25.89000000,10,1,0.988346354,3.676302083
Cordoba,-66.10000000,-33.20000000,10,0,0.931901042,3.680598958
Troll,2.53000000,-72.00000000,34,6,3.205143229,1.952669271
