point_id,selected,quality,exposure,maximum_receptor,fan_power,final_mass_fraction,clearance_time,flow_rate_m2_s,low_velocity_fraction,decision_inlet_y,decision_inlet_width,decision_outlet_y,decision_outlet_width,decision_inlet_velocity,decision_baffle_x,decision_baffle_y,decision_baffle_length,decision_baffle_angle
0,1,1.1184715708996031,0.5713821050446254,0.505601948717064,0.9291111160747065,0.2169325365630092,1,1.9428852576489053,0.048723897911832945,0.2790326582333278,0.43665328400572345,0.29562795767978306,0.319760644523741,1.4831639722828993,0.6082354016643489,0.6499007629807187,0.6499999999999999,-0.8013906644540649
1,0,1.1206189952027557,0.5695239837070631,0.5076903149746351,0.9713942889373779,0.2059419924417989,1,1.9859616573830836,0.04157043879907621,0.3021187116756807,0.44132481275179636,0.3214056296330226,0.37487366699146785,1.5,0.6259885289743308,0.6507667769265117,0.6499999999999999,-0.9058711578227887
2,0,1.1272348862553292,0.5810382057757183,0.5083745813118167,0.882855622552311,0.23087653062648067,1,1.9236928554364099,0.03695150115473441,0.30033370479963006,0.4413250548694373,0.3256616263105896,0.37391482658017816,1.452967477683405,0.6209854762077187,0.6435386502157497,0.6499999999999999,-0.9058711578227887
3,0,1.1293718755999016,0.569313824065132,0.5079440671206618,0.9093533579481852,0.24843069276960347,1,1.943156360325486,0.05581395348837209,0.30199189204562327,0.4414638177385216,0.2877137787041676,0.33576962527690357,1.46720696181449,0.591012676088951,0.6511875439762586,0.6499999999999999,-0.8112639555700955
4,0,1.1305897871749282,0.5758610562256775,0.5062319283916024,0.868248870213168,0.2559259854216318,1,1.9380123124168374,0.058004640371229696,0.2790326582333278,0.45,0.22827964362739916,0.3356044667919802,1.4355646758643241,0.5758533994015635,0.6625125371675729,0.6492201796003395,-0.8017518714201466
5,0,1.159200653037764,0.5950243385784597,0.5070236124941507,0.7817057503298472,0.3086467162925192,1,1.8526089976574078,0.07603686635944701,0.2621391463497872,0.4432551901817822,0.16078857987159,0.3619976561314514,1.3931846625399087,0.5767010501385059,0.672876499463789,0.6499999999999999,-0.8683544160365277
6,0,1.1643905019148328,0.621745868979934,0.5070388363982075,0.7015755059359289,0.2976202270972185,1,1.788323694322937,0.046189376443418015,0.262969800137257,0.4437433078983305,0.35345334723406846,0.3587398508386148,1.3433620011779976,0.5784929269451644,0.6742586625323477,0.6266835439023697,-0.8245162802410841
7,0,1.1680105241835919,0.5338862412210426,0.5056870833796491,0.9723822114129492,0.37360859798026996,1,1.9937552466596022,0.03917050691244239,0.26344686242058907,0.4436996556580869,0.2929104643422238,0.3898317779322279,1.4978264547764129,0.5740597738370896,0.6510036690952249,0.6187643688760933,-1.0442148360750212
8,0,1.17814122561721,0.635538288843834,0.5089803543143038,0.6784198825917447,0.3048575661957502,1,1.7610980912477894,0.041189931350114416,0.30998416183389815,0.44098707955955396,0.33314194443725975,0.39920907875311473,1.3311789036288975,0.5792032928796764,0.6845481952789294,0.6406323815601276,-0.7872356301859287
9,0,1.1841521181110084,0.6088948587985115,0.5052863180924817,0.9508156971031705,0.26490192169124394,1,1.9438898696331484,0.06636155606407322,0.2616816132765546,0.43197552658514404,0.2819210699328463,0.45,1.5,0.5707662930269145,0.683540867237786,0.6497234389634192,-0.7580027962380287
10,0,1.188982033018796,0.6131456509245236,0.5055731761665829,0.9054804213078828,0.28390741949880866,1,1.8967958294106877,0.07780320366132723,0.2616816132765546,0.4266690849245831,0.24255322275200275,0.40346082857238696,1.4818633428339125,0.574003998424023,0.6839701360164543,0.6362601353324859,-0.7834209267077183
11,0,1.1904356186541185,0.6070133541281127,0.505350734732434,0.9508156971031705,0.2811675154783093,1,1.9438898696331484,0.07780320366132723,0.2616816132765546,0.43197552658514404,0.24255322275200275,0.45,1.5,0.574003998424023,0.6839701360164543,0.6363068528572207,-0.7834209267077183
12,0,1.1913992914117977,0.6221386483131008,0.505631964759287,0.8522235728543567,0.29199989229636386,1,1.8201713323966602,0.05263157894736842,0.2616816132765546,0.41341998129807356,0.33016233851802146,0.44691866519741386,1.4675724563687909,0.574003998424023,0.6839701360164543,0.6363068528572207,-0.7834209267077181
13,0,1.1957752402536757,0.6488075345711652,0.5072106774373543,0.6460515645444695,0.3283041081098787,1,1.72133171508175,0.04783599088838269,0.2773637291741948,0.43667979127131107,0.25916237679787574,0.3854932423942162,1.3139541829726968,0.5792032928796764,0.7155442491802043,0.6406323815601276,-0.7754488970639496
14,0,1.2066192170703975,0.5359516216360498,0.5054609910928145,0.9710459863033207,0.4474558052545524,1,1.985724267212929,0.03695150115473441,0.2790058320696277,0.44132481275179636,0.26651515419842237,0.32469075376833245,1.499820698826733,0.541251315788582,0.6507478158213396,0.6494073748910834,-0.9031199998957019
15,0,1.2075129110395189,0.5212419170999584,0.5056631089190486,0.9786864290625185,0.475404307335065,1,2.0160807955548017,0.041666666666666664,0.26218078379570536,0.4497176632619308,0.33221820506153366,0.4323789335494233,1.4943307473786933,0.5477205388745265,0.6324335805574002,0.6282230104997614,-1.0233275161461637
16,0,1.2075855635367596,0.5505151769926394,0.5059626725071217,0.8861772376971047,0.4537072055022772,1,1.9261016693420756,0.03695150115473441,0.2790058320696277,0.44132481275179636,0.2665151541984223,0.32469075376833245,1.4547876557799062,0.541251315788582,0.6507478158213396,0.6494073748910834,-0.9031199998957018
17,0,1.208278585195745,0.659449290647302,0.5082529708453128,0.5544401964958882,0.367629539653218,1,1.65338081620254,0.050808314087759814,0.262969800137257,0.4437433078983305,0.3534533472340684,0.3587398508386148,1.2419949302321716,0.5784929269451644,0.6742586625323477,0.6266835439023697,-0.8245162802410841
18,0,1.2091548479517666,0.5118282886458563,0.5057572305634018,0.985461678356164,0.4947112167059533,1,2.020897885453029,0.04861111111111111,0.2615565762686529,0.4497762439721527,0.20898909014144637,0.44056402088013147,1.497706109453949,0.5477205388745265,0.6324335805574001,0.6276786695274443,-1.0233275161461637
19,0,1.2184812536429122,0.5272219552634476,0.5057988524588108,0.9786864290625182,0.4852451726751111,1,2.0160807955548012,0.04398148148148148,0.2621807837957054,0.44971766326193074,0.33221820506153366,0.4323789335494233,1.4943307473786933,0.5477205388745265,0.6324335805574002,0.6327343178173781,-0.9686544891182279
20,0,1.2206113741646034,0.5632248829411868,0.5069299135272617,0.8139024978194521,0.48228206979179084,1,1.8952669674070615,0.060324825986078884,0.26212916838952494,0.4494891664033742,0.16078857987158998,0.44056402088013147,1.4054969574848721,0.5477205388745265,0.6299789794954342,0.6499999999999999,-0.8683544160365277
21,0,1.2319308046275488,0.5254710664513061,0.5063167167018322,0.9330695421238053,0.5333749428011306,1,1.9832234675155396,0.050808314087759814,0.2615565762686529,0.4493660956174017,0.13211800326230216,0.44056402088013147,1.4711267619413306,0.5477205388745265,0.6299789794954342,0.6497300801302814,-1.0233275161461637
22,0,1.2330364629239916,0.6269015736486377,0.5064036849107393,0.7643680050661723,0.4001188916134993,1,1.8440180849781171,0.027586206896551724,0.26294036229308027,0.44513971504637395,0.40789789652341607,0.3669402615200938,1.380853413469679,0.4959220933463523,0.718219735865685,0.6004171853570619,-0.786907517751283
23,0,1.2441344159056134,0.6632963838656643,0.5075574999551932,0.6247036670716133,0.40423709729606,1,1.7240731740582524,0.038636363636363635,0.26294036229308027,0.44513971504637395,0.29119606239629864,0.33634458806575646,1.291035238137642,0.5140966713578479,0.7163837373090602,0.5643692163114846,-0.7865542645894723
24,0,1.247173864341289,0.6105978407420534,0.5038131956513757,0.9675905603832944,0.3823026273937779,1,1.978185145672513,0.052873563218390804,0.28077712407892663,0.4395966990383362,0.3011518433214042,0.3378377864355069,1.5,0.5229258431252453,0.6779139983641566,0.65,0.4897435816175897
25,0,1.2478612864372578,0.5236681258818546,0.5037934525337332,0.9904891304347826,0.5483972164031599,1,2.025,0.06496519721577726,0.30802863776529077,0.44999999999999996,0.3141234569488841,0.3452435180882947,1.5,0.20783373035318808,0.6248132456197661,0.65,-0.6185394114368992
26,0,1.252226431257874,0.557624478566896,0.5083372981520858,0.7923397586030955,0.563930703788632,1,1.8538868348267095,0.04608294930875576,0.3233182675942299,0.4407262676340373,0.2915184362221357,0.4179852332067636,1.402145330690166,0.521678371472003,0.6625125371675729,0.6499999999999999,-0.9863354437873852
