i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
10,1,1.312500000,0.187500000,0,0.006063499,-0.000295500,0.006184953,0.007327273,0.300000000,0.250000000
11,1,1.437500000,0.187500000,0,0.007144838,-0.000432368,0.006071616,0.007789631,0.300000000,0.250000000
12,1,1.562500000,0.187500000,0,0.008483169,-0.000497802,0.006112436,0.008241907,0.300000000,0.250000000
13,1,1.687500000,0.187500000,0,0.009833027,-0.000458175,0.005957915,0.008673395,0.300000000,0.250000000
14,1,1.812500000,0.187500000,0,0.011303966,-0.000565230,0.005710226,0.009072758,0.300000000,0.250000000
15,1,1.937500000,0.187500000,0,0.013177287,-0.000734633,0.005508359,0.009432316,0.300000000,0.250000000
16,1,2.062500000,0.187500000,0,0.015301524,-0.000746509,0.005196656,0.009750029,0.300000000,0.250000000
17,1,2.187500000,0.187500000,0,0.017490031,-0.000767991,0.004840632,0.010022560,0.300000000,0.250000000
18,1,2.312500000,0.187500000,0,0.020070838,-0.001037310,0.004323657,0.010251110,0.300000000,0.250000000
19,1,2.437500000,0.187500000,0,0.022946724,-0.000915336,0.003611887,0.010449130,0.300000000,0.250000000
20,1,2.562500000,0.187500000,0,0.025597306,-0.000918867,0.003046296,0.010628003,0.300000000,0.250000000
21,1,2.687500000,0.187500000,0,0.028220107,-0.000899122,0.002213327,0.010799524,0.300000000,0.250000000
22,1,2.812500000,0.187500000,0,0.030352981,-0.000557534,0.001108243,0.010991379,0.300000000,0.250000000
23,1,2.937500000,0.187500000,0,0.031967355,-0.000546585,0.000327364,0.011222903,0.300000000,0.250000000
24,1,3.062500000,0.187500000,0,0.033104752,-0.000287924,-0.000465118,0.011520765,0.300000000,0.250000000
25,1,3.187500000,0.187500000,0,0.033152634,0.000217713,-0.001427226,0.011902045,0.300000000,0.250000000
26,1,3.312500000,0.187500000,0,0.032507546,0.000161046,-0.001987919,0.012394605,0.300000000,0.250000000
27,1,3.437500000,0.187500000,0,0.031462654,0.000444272,-0.002619865,0.013012421,0.300000000,0.250000000
28,1,3.562500000,0.187500000,0,0.030052986,0.000441383,-0.003107359,0.013777614,0.300000000,0.250000000
29,1,3.687500000,0.187500000,0,0.028724979,0.000340345,-0.003337814,0.014708040,0.300000000,0.250000000
30,1,3.812500000,0.187500000,0,0.027462152,0.000396937,-0.003709920,0.015828731,0.300000000,0.250000000
31,1,3.937500000,0.187500000,0,0.025505157,0.000826799,-0.003990483,0.017145372,0.300000000,0.250000000
32,1,4.062500000,0.187500000,0,0.023606539,0.000301011,-0.003942989,0.018603343,0.300000000,0.250000000
33,1,4.187500000,0.187500000,0,0.023989855,-0.000708974,-0.004465580,0.020186822,0.300000000,0.250000000
34,1,4.312500000,0.187500000,0,0.023461877,0.001074975,-0.005007227,0.021921043,0.300000000,0.250000000
35,1,4.437500000,0.187500000,0,0.018614140,0.002009992,-0.003745777,0.023376076,0.300000000,0.250000000
36,1,4.562500000,0.187500000,0,0.019996495,-0.003400129,-0.004028697,0.023791583,0.300000000,0.250000000
37,1,4.687500000,0.187500000,0,0.031432885,-0.004063569,-0.008604438,0.022900132,0.300000000,0.250000000
38,1,4.812500000,0.187500000,0,0.020051253,0.012375632,-0.005156106,0.021259207,0.300000000,0.250000000
39,1,4.937500000,0.187500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
0,2,0.062500000,0.312500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,2,0.187500000,0.312500000,0,0.000101301,0.000374286,0.005737281,0.004111089,0.300000000,0.250000000
2,2,0.312500000,0.312500000,0,-0.000587214,0.000210247,0.006065786,0.004185945,0.300000000,0.250000000
3,2,0.437500000,0.312500000,0,-0.000315949,-0.001268967,0.005958836,0.004345796,0.300000000,0.250000000
4,2,0.562500000,0.312500000,0,0.002218502,-0.002123717,0.005659153,0.004566047,0.300000000,0.250000000
5,2,0.687500000,0.312500000,0,0.005394838,-0.002135461,0.006111444,0.004850940,0.300000000,0.250000000
6,2,0.812500000,0.312500000,0,0.007886330,-0.001415013,0.006424571,0.005193388,0.300000000,0.250000000
7,2,0.937500000,0.312500000,0,0.009582761,-0.001910287,0.006215878,0.005570497,0.300000000,0.250000000
8,2,1.062500000,0.312500000,0,0.011733998,-0.002428045,0.006105443,0.005970734,0.300000000,0.250000000
9,2,1.187500000,0.312500000,0,0.014552495,-0.002217529,0.006213394,0.006392023,0.300000000,0.250000000
10,2,1.312500000,0.312500000,0,0.017264803,-0.002131095,0.006247258,0.006826027,0.300000000,0.250000000
11,2,1.437500000,0.312500000,0,0.019773079,-0.002534880,0.006132517,0.007256332,0.300000000,0.250000000
12,2,1.562500000,0.312500000,0,0.022694906,-0.002940701,0.005962237,0.007671276,0.300000000,0.250000000
13,2,1.687500000,0.312500000,0,0.026161015,-0.003122229,0.005833269,0.008065744,0.300000000,0.250000000
14,2,1.812500000,0.312500000,0,0.030030156,-0.003677590,0.005721989,0.008429027,0.300000000,0.250000000
15,2,1.937500000,0.312500000,0,0.034293759,-0.004235028,0.005443043,0.008751328,0.300000000,0.250000000
16,2,2.062500000,0.312500000,0,0.039072531,-0.004642714,0.005075339,0.009029973,0.300000000,0.250000000
17,2,2.187500000,0.312500000,0,0.044794797,-0.005316145,0.004723726,0.009261970,0.300000000,0.250000000
18,2,2.312500000,0.312500000,0,0.051193335,-0.005912758,0.004158500,0.009451188,0.300000000,0.250000000
19,2,2.437500000,0.312500000,0,0.057898888,-0.005985392,0.003578992,0.009612415,0.300000000,0.250000000
20,2,2.562500000,0.312500000,0,0.064913354,-0.005985663,0.002893039,0.009747453,0.300000000,0.250000000
21,2,2.687500000,0.312500000,0,0.071706522,-0.005236014,0.001920852,0.009879428,0.300000000,0.250000000
22,2,2.812500000,0.312500000,0,0.077964340,-0.004556173,0.001115867,0.010045888,0.300000000,0.250000000
23,2,2.937500000,0.312500000,0,0.082783797,-0.002902051,0.000175419,0.010247519,0.300000000,0.250000000
24,2,3.062500000,0.312500000,0,0.085528560,-0.001646406,-0.000476616,0.010521113,0.300000000,0.250000000
25,2,3.187500000,0.312500000,0,0.086712968,0.000565489,-0.001502491,0.010887897,0.300000000,0.250000000
26,2,3.312500000,0.312500000,0,0.086040875,0.001501021,-0.002087305,0.011352740,0.300000000,0.250000000
27,2,3.437500000,0.312500000,0,0.084393240,0.002173536,-0.002478367,0.011938519,0.300000000,0.250000000
28,2,3.562500000,0.312500000,0,0.082018972,0.002824585,-0.003144414,0.012664874,0.300000000,0.250000000
29,2,3.687500000,0.312500000,0,0.078444914,0.002954912,-0.003346889,0.013549823,0.300000000,0.250000000
30,2,3.812500000,0.312500000,0,0.074570323,0.003055158,-0.003425577,0.014583167,0.300000000,0.250000000
31,2,3.937500000,0.312500000,0,0.071795857,0.003311270,-0.004067160,0.015789453,0.300000000,0.250000000
32,2,4.062500000,0.312500000,0,0.069116329,0.002249663,-0.004441027,0.017210634,0.300000000,0.250000000
33,2,4.187500000,0.312500000,0,0.064517724,0.001205710,-0.003757747,0.018768384,0.300000000,0.250000000
34,2,4.312500000,0.312500000,0,0.061752721,0.003117236,-0.003940150,0.020281024,0.300000000,0.250000000
35,2,4.437500000,0.312500000,0,0.064406404,0.002133605,-0.006001369,0.021799962,0.300000000,0.250000000
36,2,4.562500000,0.312500000,0,0.062203235,-0.005702559,-0.005338393,0.023061189,0.300000000,0.250000000
37,2,4.687500000,0.312500000,0,0.052069091,-0.000956708,-0.001944170,0.022638655,0.300000000,0.250000000
38,2,4.812500000,0.312500000,0,0.063856261,0.014034510,-0.005269383,0.015233492,0.300000000,0.250000000
39,2,4.937500000,0.312500000,0,0.099414927,0.014026439,0.000000000,0.000000000,0.300000000,0.250000000
0,3,0.062500000,0.437500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,3,0.187500000,0.437500000,0,-0.000093341,0.000219006,0.005329222,0.003456500,0.300000000,0.250000000
2,3,0.312500000,0.437500000,0,0.002226686,0.000006633,0.004613463,0.003520249,0.300000000,0.250000000
3,3,0.437500000,0.437500000,0,0.006616200,-0.004496838,0.006423152,0.003668143,0.300000000,0.250000000
4,3,0.562500000,0.437500000,0,0.008927298,-0.004864814,0.006616444,0.003900669,0.300000000,0.250000000
5,3,0.687500000,0.437500000,0,0.010023190,-0.004692568,0.005677706,0.004173126,0.300000000,0.250000000
6,3,0.812500000,0.437500000,0,0.013462084,-0.004496564,0.005893442,0.004475968,0.300000000,0.250000000
7,3,0.937500000,0.437500000,0,0.017613787,-0.004584885,0.006447665,0.004817038,0.300000000,0.250000000
8,3,1.062500000,0.437500000,0,0.020287492,-0.004968438,0.006308398,0.005183145,0.300000000,0.250000000
9,3,1.187500000,0.437500000,0,0.022630845,-0.005125199,0.006057485,0.005556965,0.300000000,0.250000000
10,3,1.312500000,0.437500000,0,0.025932530,-0.005296009,0.006136209,0.005932749,0.300000000,0.250000000
11,3,1.437500000,0.437500000,0,0.029654968,-0.005781631,0.006147899,0.006305516,0.300000000,0.250000000
12,3,1.562500000,0.437500000,0,0.033290149,-0.006455456,0.005958328,0.006664569,0.300000000,0.250000000
13,3,1.687500000,0.437500000,0,0.037206526,-0.007232709,0.005828546,0.006996411,0.300000000,0.250000000
14,3,1.812500000,0.437500000,0,0.041837627,-0.008332355,0.005677122,0.007291394,0.300000000,0.250000000
15,3,1.937500000,0.437500000,0,0.047038560,-0.009242826,0.005372281,0.007548210,0.300000000,0.250000000
16,3,2.062500000,0.437500000,0,0.053040452,-0.010718204,0.005082587,0.007757612,0.300000000,0.250000000
17,3,2.187500000,0.437500000,0,0.060188027,-0.012297144,0.004638177,0.007916209,0.300000000,0.250000000
18,3,2.312500000,0.437500000,0,0.067748881,-0.013165959,0.004094311,0.008036607,0.300000000,0.250000000
19,3,2.437500000,0.437500000,0,0.076146676,-0.014243611,0.003570595,0.008119821,0.300000000,0.250000000
20,3,2.562500000,0.437500000,0,0.085463090,-0.014160751,0.002579785,0.008185679,0.300000000,0.250000000
21,3,2.687500000,0.437500000,0,0.094777515,-0.013053884,0.001648843,0.008275236,0.300000000,0.250000000
22,3,2.812500000,0.437500000,0,0.103381097,-0.011665359,0.001050491,0.008389106,0.300000000,0.250000000
23,3,2.937500000,0.437500000,0,0.110504911,-0.007682812,-0.000174831,0.008583793,0.300000000,0.250000000
24,3,3.062500000,0.437500000,0,0.115187225,-0.003977937,-0.001079421,0.008859812,0.300000000,0.250000000
25,3,3.187500000,0.437500000,0,0.117981541,-0.000788174,-0.001541573,0.009244577,0.300000000,0.250000000
26,3,3.312500000,0.437500000,0,0.119038704,0.002593534,-0.002340440,0.009726468,0.300000000,0.250000000
27,3,3.437500000,0.437500000,0,0.117727495,0.004229890,-0.002701853,0.010319327,0.300000000,0.250000000
28,3,3.562500000,0.437500000,0,0.115059930,0.005906769,-0.003005880,0.011027585,0.300000000,0.250000000
29,3,3.687500000,0.437500000,0,0.111820970,0.006724655,-0.003505430,0.011861656,0.300000000,0.250000000
30,3,3.812500000,0.437500000,0,0.108006097,0.007026481,-0.003725567,0.012841887,0.300000000,0.250000000
