design,field_deg,wavelength_um,ray_id,x_mm,y_mm
reference,0,0.4861,0,0.04017106331657505,0
reference,0,0.4861,1,0.0319229619191681,0.01368126939392944
reference,0,0.4861,2,0.029129543249581058,0.008322726642737477
reference,0,0.4861,3,0.02741076797010411,0.003915823995728651
reference,0,0.4861,4,0.026831013313236785,0
reference,0,0.4861,5,0.02741076797010411,-0.003915823995728651
reference,0,0.4861,6,0.029129543249581058,-0.008322726642737477
reference,0,0.4861,7,0.0319229619191681,-0.01368126939392944
reference,0,0.4861,8,0.028760621983831225,0.023967184986525947
reference,0,0.4861,9,0.024480068920326392,0.016320045946883965
reference,0,0.4861,10,0.020982069739221565,0.010491034869610782
reference,0,0.4861,11,0.01840150793529549,0.00613383597843109
reference,0,0.4861,12,0.01682256844849883,0.0028037614080833606
reference,0,0.4861,13,0.01629136208205484,0
reference,0,0.4861,14,0.01682256844849883,-0.0028037614080833606
reference,0,0.4861,15,0.01840150793529549,-0.00613383597843109
reference,0,0.4861,16,0.020982069739221565,-0.010491034869610782
reference,0,0.4861,17,0.024480068920326392,-0.016320045946883965
reference,0,0.4861,18,0.028760621983831225,-0.023967184986525947
reference,0,0.4861,19,0.023967184986525947,0.028760621983831225
reference,0,0.4861,20,0.019579119978645476,0.019579119978645476
reference,0,0.4861,21,0.015769012016459527,0.012615209613167089
reference,0,0.4861,22,0.012684840683216514,0.007610904409931063
reference,0,0.4861,23,0.010423136618711748,0.0041692546474840775
reference,0,0.4861,24,0.00904418984492894,0.001808837968985788
reference,0,0.4861,25,0.008581034862074954,0
reference,0,0.4861,26,0.00904418984492894,-0.001808837968985788
reference,0,0.4861,27,0.010423136618711748,-0.0041692546474840775
reference,0,0.4861,28,0.012684840683216514,-0.007610904409931063
reference,0,0.4861,29,0.015769012016459527,-0.012615209613167089
reference,0,0.4861,30,0.019579119978645476,-0.019579119978645476
reference,0,0.4861,31,0.023967184986525947,-0.028760621983831225
reference,0,0.4861,32,0.016320045946883965,0.024480068920326392
reference,0,0.4861,33,0.012615209613167089,0.015769012016459527
reference,0,0.4861,34,0.009428633419430454,0.009428633419430454
reference,0,0.4861,35,0.006864827889660585,0.005148620917244662
reference,0,0.4861,36,0.004992017554489081,0.0024960087772445405
reference,0,0.4861,37,0.0038528284365022536,0.0009632071091255634
reference,0,0.4861,38,0.003470619495697491,0
reference,0,0.4861,39,0.0038528284365022536,-0.0009632071091255634
reference,0,0.4861,40,0.004992017554489081,-0.0024960087772445405
reference,0,0.4861,41,0.006864827889660585,-0.005148620917244662
reference,0,0.4861,42,0.009428633419430454,-0.009428633419430454
reference,0,0.4861,43,0.012615209613167089,-0.015769012016459527
