seed,sample,source,vehicles_train,imbalance_cv_train,mean_waiting_s_train,distance_km_train,vehicles_holdout,imbalance_cv_holdout,mean_waiting_s_holdout,distance_km_holdout,holdout_feasible
143,1,local,8.00000000000000000,0.22325015417459762,459.52515536673308816,656.85069543399663416,8.00000000000000000,0.27152361564563110,207.49474063759134879,2148.40288673938403008,false
253,1,local,8.00000000000000000,0.24074044807480455,649.12827516008519524,698.06395147379168975,8.00000000000000000,0.29956219596615363,523.09623928592509401,2201.75301425305042358,false
253,3,local,8.00000000000000000,0.34897744149642523,424.26182084292440777,857.35246213119421554,8.00000000000000000,0.20278677527155159,62.88677600122809963,1995.60257816198372893,false
42,11,local,8.00000000000000000,0.33461476125581124,418.04611668990082762,601.39265038630105664,8.00000000000000000,0.36626097910595218,507.53846787408201635,2256.96395231751102983,false
143,11,local,8.00000000000000000,0.34929402625908507,129.58747776272002739,596.09346402268567999,8.00000000000000000,0.37429227230910611,128.73154297106248123,2246.65801320344735359,false
253,11,local,8.00000000000000000,0.33461476125581124,418.04611668990082762,601.39265038630105664,8.00000000000000000,0.36626097910595218,507.53846787408201635,2256.96395231751102983,false
42,15,local,8.00000000000000000,0.57196292346073496,319.34832018961515132,1095.33877895152500059,8.00000000000000000,0.33352478721848255,431.48062591977895863,1840.99744539605035243,false
143,23,local,8.00000000000000000,0.22947271611395617,377.13652452978794827,670.93265953458194417,8.00000000000000000,0.22749237098531083,200.66750874548915817,2199.37270998656140364,false
42,33,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
143,33,local,8.00000000000000000,0.35683562159974835,150.54932298779431221,594.00577458703378397,8.00000000000000000,0.34850886978117190,128.73154297106248123,2263.72833945872935146,false
253,33,local,7.00000000000000000,0.29038614596570633,0.00000000000000000,560.02074442333059778,7.00000000000000000,0.14916413757946667,125.74860534227056519,2260.19254432525985976,false
253,47,local,8.00000000000000000,0.53523409642444364,480.36704332471344969,1103.77329642530412457,8.00000000000000000,0.32353911240746525,255.73931218392453957,1943.24435852489477838,false
42,55,local,8.00000000000000000,0.33407325904810797,292.73042991083912057,601.63444318906397257,8.00000000000000000,0.34440274116042785,224.45791272393125837,2240.48631653166376054,false
