rank,loss_mw,voltage_deviation_mpu,lifecycle_cost_musd,security_index,quality,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
1,36.699597594205,15.926037751840,106.005538232125,0.998892081821,0.064987450604,1.017061883580,1.009570994316,0.989964604406,1.015448682041,1.011000465018,0.993151149326,1.000223266469,0.976329882384,0.998677540454,0.000000000000,1.000000000000,-2.000000000000,1.000000000000,1.000000000000,1.000000000000,6.000000000000,2.000000000000,270.830943232590,0.433666553196,0.466846708170
2,36.566662783160,16.215863742812,106.015834214340,0.998437403416,0.064679251470,1.017019367111,1.009993639081,0.992964286706,1.015289940754,1.011987148628,1.002556878594,1.000223266469,0.976329882384,0.998677540454,0.000000000000,0.000000000000,-4.000000000000,1.000000000000,1.000000000000,1.000000000000,6.000000000000,2.000000000000,270.514106788111,0.433666553196,0.466846708170
3,36.022853921330,16.898258983441,105.387605802461,0.995524654610,0.064452194088,1.007152085818,1.021215817117,0.989980148066,1.002817072422,1.011282170622,0.993399603203,1.003640915988,0.982783006968,1.002184066314,0.000000000000,0.000000000000,2.000000000000,0.000000000000,3.000000000000,1.000000000000,5.000000000000,2.000000000000,270.452819461394,0.393047702377,0.498615371973
4,36.346159498843,17.003700180282,104.685723479087,0.999641173561,0.064250091565,1.016990361342,1.021215817117,0.992903343863,1.008072764074,1.011285670481,0.993399603203,1.003640915988,0.982783006968,1.002104673901,0.000000000000,0.000000000000,-4.000000000000,0.000000000000,1.000000000000,1.000000000000,5.000000000000,2.000000000000,270.512808213025,0.393954918745,0.498028862775
5,37.184865495266,16.676990796845,105.014553347411,0.994940163146,0.064156206189,1.015030609689,1.014841533801,0.989967945555,1.008072764074,1.011282170622,0.993734131733,0.976195372318,0.981882210635,1.010618969146,0.000000000000,0.000000000000,1.000000000000,0.000000000000,3.000000000000,1.000000000000,5.000000000000,2.000000000000,272.565186300289,0.393939663652,0.477615462438
6,36.097415572959,17.492105339320,105.307605802461,0.994962577928,0.063647580763,1.015078697882,1.021215817117,0.989980148066,1.008072764074,1.011282170622,0.993399603203,1.003640915988,0.982783006968,1.002184066314,0.000000000000,0.000000000000,1.000000000000,0.000000000000,3.000000000000,1.000000000000,5.000000000000,2.000000000000,270.452819461394,0.393047702377,0.498615371973
7,37.238803904124,16.823145660172,108.649697820077,0.993927967182,0.062487564809,1.015829901030,1.014841533801,0.989967945555,1.008072764074,1.012606026059,0.993734131733,0.976195372318,0.981882210635,1.010733430921,0.000000000000,0.000000000000,1.000000000000,0.000000000000,3.000000000000,1.000000000000,5.000000000000,2.000000000000,272.565186300289,0.463446621820,0.477737953493
8,36.956929038760,18.643472331061,102.803949577397,0.999394663210,0.062460575435,1.009257698061,1.014090221297,0.985440446501,1.005640919865,1.026954820395,0.995152262877,0.975075467048,0.993718054419,1.019621523832,-1.000000000000,0.000000000000,0.000000000000,0.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,270.906417188294,0.411838736227,0.393273203597
9,36.808141557828,18.462745403902,103.947312321657,0.996651536347,0.062409143934,1.014222199985,1.014090221297,0.990635033418,1.021232247949,1.027417067207,1.008830447059,0.975327720469,0.992948468699,1.011203751731,0.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,270.818344469724,0.411838037596,0.449215809625
10,36.877206585473,18.263058851678,104.593852803233,0.996448941402,0.062367111412,1.008669065556,1.014090221297,0.985262376603,1.005640919865,1.026954820395,0.995152262877,0.975075467048,0.993122421121,1.019621523832,-1.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,270.818344469724,0.411838736227,0.452257443095
11,36.789500106471,18.535353741150,103.947312321657,0.997234379629,0.062309593634,1.014222199985,1.010247936039,0.990635033418,1.021232247949,1.031526491629,1.008830447059,0.975327720469,0.992948468699,1.011203751731,0.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,270.818344469724,0.411838037596,0.449215809625
12,36.150825365783,19.136519006105,104.064368530980,0.995518979016,0.061962229447,1.015208772858,1.024669699720,0.971728498191,1.014825274723,1.010387796466,0.989601627947,1.027822942705,0.975408375866,1.005273624322,0.000000000000,0.000000000000,1.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,270.272615550934,0.412459795081,0.452469886849
13,36.342869630623,17.722139131016,108.860161124990,0.991697790471,0.061867788005,1.022357446825,1.009924189810,0.990023000121,1.015400920569,0.996153298646,0.993179155251,1.000639864091,0.994239080021,1.002127663798,0.000000000000,0.000000000000,2.000000000000,1.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,271.502715342268,0.447391865514,0.497390955982
14,36.747791190410,18.672273322437,105.063228801318,0.993534286686,0.061828297415,1.009257698061,1.014090221297,0.985440446501,1.005640919865,1.026954820395,0.995152262877,0.975075467048,0.993718054419,1.019621523832,-1.000000000000,0.000000000000,0.000000000000,0.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,270.906417188294,0.411838736227,0.452257443095
15,36.253930432700,17.799767951490,109.716983737497,0.993689975395,0.061431274204,1.022357446825,1.009942179119,0.989749977086,1.015400920569,0.996153298646,0.993179155251,1.001304911308,0.995236018468,1.002127663798,0.000000000000,0.000000000000,2.000000000000,0.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,271.502715342268,0.463731571562,0.497479075640
16,37.319251854552,19.703333570801,102.459410709973,0.998930868433,0.061052888920,1.008823966382,1.014648530149,0.977612261493,1.005232659658,1.034624749664,0.989396925383,0.977514076298,0.981421211507,1.028565909775,1.000000000000,1.000000000000,1.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,269.167146142449,0.414937090519,0.397614081241
17,35.879509777961,19.409959922648,106.488269451196,0.988991765245,0.061036191931,1.022357446825,1.010231263552,0.990023000121,1.015400920569,1.026561141272,0.997371755304,0.999002326272,0.994239080021,1.002407260337,0.000000000000,0.000000000000,2.000000000000,1.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,271.502715342268,0.402434914504,0.496771614804
18,36.047555940573,19.979486388720,103.772643464389,0.998011487663,0.061022126987,1.009257698061,1.014090221297,0.985500901321,1.014916275324,1.027300766996,0.985266065894,1.038075571222,0.978569962518,0.999808016930,0.000000000000,0.000000000000,-2.000000000000,1.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,271.224952957033,0.431988387877,0.387168462408
19,36.924211873276,19.641862931862,103.778176273015,0.996529082576,0.060924477490,1.008669065556,1.014578856071,0.985194142729,1.036104399822,1.026954820395,0.995476835274,0.975075467048,0.993122421121,1.019621523832,-1.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,270.725753900947,0.411838736227,0.431493938181
20,36.497736225229,19.752509551088,105.045046307583,0.992129182183,0.060692496232,1.008867023740,1.010617630413,0.988800010810,1.013505708356,1.030911292775,0.991046015793,1.000223266469,0.969529253006,1.024799031182,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,271.061218989207,0.413777828017,0.457909190271
21,36.389753036832,20.064944620959,105.072988588660,0.992916714625,0.060346570676,1.009240554352,1.013285059414,0.988899719277,1.013535372374,1.030911292775,0.991046015793,1.000770879714,0.972662130891,1.024799031182,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,0.000000000000,6.000000000000,2.000000000000,271.061218989207,0.413777828017,0.458638694700
22,37.863958725167,20.316051163907,102.236505713829,0.999142189146,0.060055209779,1.008823966382,1.014655408989,0.979740842008,1.036464798571,1.025298454896,0.989396925383,0.975075467048,0.967402432762,1.028987902904,-1.000000000000,0.000000000000,0.000000000000,1.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,269.129797230253,0.413111286062,0.398676038890
23,35.837583325222,20.190293765313,107.066155617526,0.994190575500,0.059736207172,1.009832780687,1.014332032507,0.990755282163,1.006889026611,1.032410810299,1.011879636302,1.038847005684,0.974991815462,0.977304678078,-2.000000000000,0.000000000000,0.000000000000,0.000000000000,2.000000000000,1.000000000000,6.000000000000,2.000000000000,270.045447573438,0.463771505542,0.448336446910
24,36.803521450932,20.911435229318,103.637972679307,0.993826235117,0.059614257487,1.004770591879,1.024453977256,0.977388413554,1.036464798571,1.034303365685,0.996979670439,0.979673784742,0.981075698882,1.023804441393,1.000000000000,0.000000000000,1.000000000000,1.000000000000,2.000000000000,1.000000000000,5.000000000000,2.000000000000,270.265935949935,0.401592492057,0.454106548072
25,35.662976263677,21.640129086136,103.063343409463,0.998063402547,0.059570444548,1.009356241194,1.014090221297,0.985500901321,1.015439997886,1.045709096521,1.000461133177,1.032522443733,0.978569962518,0.999939304356,0.000000000000,0.000000000000,-2.000000000000,1.000000000000,3.000000000000,1.000000000000,6.000000000000,2.000000000000,271.224952957033,0.417094234671,0.388960586499
