design,scenario,converged,iterations,loss_mw,voltage_rms_pu,min_vm_pu,max_vm_pu,max_line_loading_percent,voltage_constraint_pu,thermal_constraint,security_index,mismatch_pu
baseline,base,true,3,35.679472358460,0.034305956029,0.982000000000,1.061167955414,148.686750085334,0.001167955414,-0.070707811967,1.019465923561,0.000000000024
baseline,evening_peak,true,3,35.691625410288,0.031271497799,0.968284107139,1.060000000000,141.668464665832,0.000000000000,-0.114572095839,1.000000000000,0.000000015974
baseline,high_renewable_low_load,true,3,49.725549612684,0.034265728104,0.982000000000,1.064009235891,221.376310160050,0.004009235891,0.383601938500,1.383601938500,0.000000000074
baseline,hot_peak,true,4,46.449074327452,0.036665494390,0.932498968422,1.060000000000,179.022799577729,0.007501031578,0.118892497361,1.125017192972,0.000000000000
baseline,n_minus_1_line_23,true,3,37.784029635142,0.030308588650,0.982000000000,1.060000000000,179.948508012020,0.000000000000,-0.062768187437,1.000000000000,0.000000000799
baseline,renewable_trip,true,3,31.492883649635,0.032069857975,0.982000000000,1.060000000000,118.931160467481,0.000000000000,-0.256680247078,1.000000000000,0.000000000448
selected,base,true,3,34.900392344948,0.015921487983,0.976329882384,1.034515358853,133.492555241696,-0.025484641147,-0.165671529739,0.834328470261,0.000000000009
selected,evening_peak,true,3,32.890123407718,0.012082209192,0.973188926645,1.031369890394,116.772978839961,-0.028630109606,-0.270168882250,0.729831117750,0.000000000993
selected,high_renewable_low_load,true,3,42.521667257870,0.017996441590,0.976329882384,1.035231524815,159.822733091312,-0.024768475185,-0.001107918179,0.998892081821,0.000000000011
selected,hot_peak,true,3,40.708278990589,0.020892067456,0.955753069926,1.026483475205,159.368838746608,-0.015753069926,-0.003944757834,0.996055242166,0.000000469266
selected,n_minus_1_line_23,true,3,37.425216720714,0.013167998982,0.974115234291,1.032120580683,188.127668569463,-0.027879419317,-0.020168392867,0.979831607133,0.000000000170
selected,renewable_trip,true,3,31.751906843389,0.013733605595,0.975279537707,1.033568791526,123.746055017345,-0.026431208474,-0.226587156142,0.773412843858,0.000000000042
