generation,evaluations,feasible_population,pareto_population,best_quality
1,128,0,0,0.000000000000
10,1280,0,0,0.000000000000
20,2560,109,109,0.061894012108
30,3840,123,123,0.063972185267
40,5120,120,120,0.064681626378
50,6400,122,122,0.065097147833
60,7680,122,122,0.064991716891
64,8192,120,120,0.064987450604
