point_id,feasible,selected,objective_target_error,objective_input_energy,objective_peak_joint_force,decision_arm_length,decision_counterweight_mass,decision_projectile_mass,decision_sling_length,decision_initial_arm_angle,decision_release_angle,decision_joint_damping,decision_pivot_friction
0,1,1,0.4036138082575107,2817.8132900518344,683.7372271242434,3.5998557994845157,129.11115092722127,3.143204954473492,4.663787362680706,-1.1979001083021381,0.04749862721843112,0.10135273193562355,2.3031848364495566
1,1,0,0.8069165060332963,2817.8132900518344,681.2641368792306,3.5998557994845157,129.11115092722127,3.143204954473492,4.663787362680706,-1.1979001083021381,0.05980740923347281,0.10135273193562355,2.3031848364495566
2,1,0,3.1014387352771458,2403.900348575815,587.6782101537254,3.2858986320115817,120.42967198012866,3.1497478079447596,4.445379350775318,-1.2086215762197088,0.04749862721843112,0.15143055863127475,2.1604088552419682
3,1,0,3.099082805080318,2403.900348575815,596.3586676904544,3.2858986320115813,120.42967198012866,3.1497478079447596,4.4362098368685,-1.2086215762197088,0.04749862721843112,0.10038474958136698,2.1604088552419682
4,1,0,3.0990828050809895,2403.900348575815,596.3586676904513,3.2858986320115817,120.42967198012866,3.1497478079447596,4.4362098368685,-1.2086215762197088,0.04749862721843112,0.10038474958136698,2.1604088552419682
5,1,0,3.5584075800924175,2416.640446516844,575.3410802551613,3.3033131102868243,120.42967198012866,3.1497478079447596,4.4362098368685,-1.2086215762197088,0.048201531003392445,0.1012853846885744,2.300298917644014
6,1,0,1.3101462442492888,3431.3545895507586,494.38094133775894,4.8549716079542105,118.84766694432037,3.0700176457655357,4.937421217362865,-1.1070642578540923,0.331933312809079,0.10135273193562355,3.5914604574409563
7,1,0,0.04196555983419614,3691.4925057668925,749.2912507908799,4.717251345019848,129.07231339555133,3.1420800884580427,4.507468339271497,-1.1981018596178736,-0.00025559028406479944,0.08068216442736365,2.3031848364495566
8,1,0,0.041965559834267196,3691.4925057668925,749.2912507908765,4.717251345019848,129.07231339555133,3.1420800884580427,4.5074683392714965,-1.1981018596178736,-0.0002555902840648272,0.08068216442736365,2.3031848364495566
9,1,0,7.741972322200031,2189.5922039163,463.91321129306505,3.2287906566436724,111.70109666434426,3.1497478079447596,4.439098096253205,-1.2053308473231032,0.3299199744109097,0.10135071542248911,2.1715488586911333
10,1,0,9.115603271684751,2180.5762843517236,455.39451118610106,3.228790656643673,111.24115343793,3.2634408468262635,4.439098096253205,-1.2053308473231032,0.3299199744109097,0.10191848723697908,2.1715488586911333
11,1,0,12.024266280727765,1749.098381890338,483.7232156030005,2.474772793652903,118.84766694432037,3.070017645765536,4.937421217362865,-1.1070642578540923,0.331933312809079,0.027129225332068033,3.092296796053603
12,1,0,16.092378580838115,1645.786660992817,469.2977662622513,3.5489141256418213,91.83415921238614,3.1398195120019166,2.715014682855295,-0.6543264860826332,0.3227930036635863,0.18585687829221875,1.646949051770756
