evaluations,elapsed_seconds,best_quality
32,0.011949094000,-0.748430725674
64,0.022940739000,-0.556991609091
96,0.032039676000,-0.556991609091
128,0.037899132000,-0.416493213889
160,0.043959720000,-0.416493213889
192,0.049712435000,-0.416493213889
224,0.055381640000,-0.416493213889
256,0.061337887000,-0.416493213889
288,0.067840599000,-0.416493213889
320,0.074457842000,-0.416493213889
352,0.079894944000,-0.416493213889
384,0.085508908000,-0.388571124629
416,0.091590566000,-0.361686874811
448,0.097445272000,-0.361686874811
480,0.103946584000,-0.361686874811
512,0.111018922000,-0.361686874811
