i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
10,1,1.312500000,0.187500000,0,0.001188898,-0.000070765,0.000356522,0.065543996,0.300000000,0.250000000
11,1,1.437500000,0.187500000,0,0.001523608,-0.000076365,0.000357225,0.067939037,0.300000000,0.250000000
12,1,1.562500000,0.187500000,0,0.001854749,-0.000072161,0.000333108,0.070211345,0.300000000,0.250000000
13,1,1.687500000,0.187500000,0,0.002180650,-0.000080790,0.000314513,0.072283578,0.300000000,0.250000000
14,1,1.812500000,0.187500000,0,0.002489460,-0.000070001,0.000303407,0.074075326,0.300000000,0.250000000
15,1,1.937500000,0.187500000,0,0.002739149,-0.000053424,0.000286799,0.075496401,0.300000000,0.250000000
16,1,2.062500000,0.187500000,0,0.002934566,-0.000040648,0.000268944,0.076444604,0.300000000,0.250000000
17,1,2.187500000,0.187500000,0,0.003069741,-0.000022052,0.000256475,0.076819795,0.300000000,0.250000000
18,1,2.312500000,0.187500000,0,0.003137542,0.000000399,0.000251095,0.076528922,0.300000000,0.250000000
19,1,2.437500000,0.187500000,0,0.003149038,0.000011323,0.000250393,0.075499128,0.300000000,0.250000000
20,1,2.562500000,0.187500000,0,0.003119105,0.000030384,0.000250910,0.073685679,0.300000000,0.250000000
21,1,2.687500000,0.187500000,0,0.003054407,0.000036703,0.000262678,0.071087008,0.300000000,0.250000000
22,1,2.812500000,0.187500000,0,0.002976354,0.000043794,0.000275731,0.067745279,0.300000000,0.250000000
23,1,2.937500000,0.187500000,0,0.002892038,0.000046611,0.000289042,0.063744061,0.300000000,0.250000000
24,1,3.062500000,0.187500000,0,0.002817028,0.000042874,0.000307968,0.059200840,0.300000000,0.250000000
25,1,3.187500000,0.187500000,0,0.002745142,0.000048265,0.000321663,0.054260855,0.300000000,0.250000000
26,1,3.312500000,0.187500000,0,0.002667335,0.000048680,0.000339644,0.049078656,0.300000000,0.250000000
27,1,3.437500000,0.187500000,0,0.002641716,0.000011717,0.000357505,0.043809488,0.300000000,0.250000000
28,1,3.562500000,0.187500000,0,0.002671688,0.000006577,0.000341543,0.038603182,0.300000000,0.250000000
29,1,3.687500000,0.187500000,0,0.002625217,0.000065362,0.000347374,0.033588262,0.300000000,0.250000000
30,1,3.812500000,0.187500000,0,0.002543395,0.000011285,0.000415508,0.028860198,0.300000000,0.250000000
31,1,3.937500000,0.187500000,0,0.002775893,-0.000163802,0.000342298,0.024499245,0.300000000,0.250000000
32,1,4.062500000,0.187500000,0,0.003021000,0.000020993,0.000185301,0.020560455,0.300000000,0.250000000
33,1,4.187500000,0.187500000,0,0.002667368,0.000235976,0.000406902,0.017056316,0.300000000,0.250000000
34,1,4.312500000,0.187500000,0,0.002473869,-0.000171810,0.000574822,0.013986271,0.300000000,0.250000000
35,1,4.437500000,0.187500000,0,0.003421623,-0.000519056,-0.000126166,0.011381511,0.300000000,0.250000000
36,1,4.562500000,0.187500000,0,0.003396293,0.000645657,-0.000247851,0.009270877,0.300000000,0.250000000
37,1,4.687500000,0.187500000,0,0.001428373,0.000605330,0.001051676,0.007732810,0.300000000,0.250000000
38,1,4.812500000,0.187500000,0,0.000050729,0.000115871,0.000772578,0.006889248,0.300000000,0.250000000
39,1,4.937500000,0.187500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
0,2,0.062500000,0.312500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,2,0.187500000,0.312500000,0,0.000006714,0.000045851,0.000400148,0.048968232,0.300000000,0.250000000
2,2,0.312500000,0.312500000,0,-0.000011091,0.000092920,0.000415634,0.049427811,0.300000000,0.250000000
3,2,0.437500000,0.312500000,0,-0.000024408,0.000079446,0.000385574,0.050321806,0.300000000,0.250000000
4,2,0.562500000,0.312500000,0,0.000047442,-0.000003928,0.000376846,0.051608528,0.300000000,0.250000000
