candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.815510557964274,0.5106787074551508,0.14198165757886497,0.2016267766202277,0.562625,0.04937941179078015,0,0,0,0,40,116929.8,282,2961,0.1,-0.9985195,5,235,0.021454868,,47,5,1,4,0.6230769709295297,0.35857551056628467,1.1046294736380367,1
1,1,0.5106538892153474,0.5106538892153474,0.16636382778438372,0.28055594283437424,0.66725,0.17808908045977015,0.275,0.3055555555555556,0.15,25,29,190452.8,626.2,5104,-0.17500000000000002,-0.997448,5,580,0.030996734,,116,10,4,38,0.4671544863086933,0.3396218754339656,3.34206763502733,1
2,1,0.427040091445378,0.427040091445378,0.1332763236169279,0.3137141868663249,0.70525,0.06554874715447158,0.1,0.4444444444444444,0.0375,5,36,195903.2,365.8,7052,0,-0.996474,5,205,0.045954945,,41,16,2,10,0.9017052295013397,0.6580444828375969,1.9434725465239517,0
3,0,15.815510557964274,0.4747573393861584,0.14092732607691966,0.24880682438284354,0.6255625,0.07873929540598296,0,0,0,0,40,143775,497.2,1521,0.1,-0.9992395,5,585,0.029370318,,117,6,14,53,0.517890689635072,0.39991242948547245,1.3830060010295981,0
4,1,0.5147591915642485,0.5147591915642485,0.13447998333341232,0.2913417436755819,0.6830625,0.053999920833333374,0.1,0.36363636363636365,0.04583333333333333,7,36,85686.6,196.2,6375,0,-0.9968125,5,125,0.022463738,,25,7,1,17,0.9171447545141875,0.5747904054091466,1.291753125866814,0
5,0,15.815510557964274,0.42388989647232406,0.1326025562640115,0.30039123578343463,0.6688125,0.051168224299065444,0,0,0,0,40,428767,895.6,12840,0.1,-0.99358,5,535,0.055835496,,107,9,2,3,0.6325253296688619,0.43607364700791706,0.8246695099123904,1
6,1,0.4642703252289664,0.4642703252289664,0.14678195888468804,0.29442910285817553,0.677125,0.12531702898550726,0.125,0.35714285714285715,0.058333333333333334,9,35,263922.2,715.6,26220,-0.024999999999999994,-0.98689,5,460,0.037304788,,92,14,1,34,0.74350229618329,0.29308776093874034,2.543475081162785,0
7,1,0.5602312918392588,0.5602312918392588,0.18957754629629625,0.27119499356147014,0.60875,0.17446759259259256,0.4,0.24242424242424243,0.275,50,24,190313.6,631.4,900,-0.30000000000000004,-0.99955,5,900,0.102099295,,180,18,35,14,0.6039525925852424,0.7413245705143342,3.0240867747048243,1
8,0,15.065510557964274,0.4765359846602894,0.15074404761905585,0.22416317948630682,0.609875,0.09940475357142858,0.075,0.21428571428571427,0.058333333333333334,11,37,68383.2,187.2,1876,0.02500000000000001,-0.999062,5,140,0.011140903,,28,8,3,23,0.5331023949752417,0.3747172555843057,2.2785372261679413,1
9,1,0.5993339115667229,0.5993339115667229,0.20413516068053325,0.2309604842966033,0.5896875,0.2237318798913044,0.325,0.20634920634920634,0.2625,50,27,18752.8,70.4,115,-0.225,-0.9999425,5,115,0.003830389,,23,8,26,22,0.40387711507192764,0.27357953502319987,3.567798683729853,1
10,1,0.5172856444532262,0.5172856444532262,0.1693110024165139,0.2766943286167172,0.6221875,0.16191588785046726,0.325,0.2826086956521739,0.19166666666666668,33,27,91273.8,321,749,-0.225,-0.9996255,5,535,0.045626273,,107,2,1,4,0.9711505205737452,0.3168628629429553,3.905566548264388,1
11,0,15.815510557964274,1.4593800501676835,0.1540976128106504,0.21758996212121212,0.609625,0.13825684242424238,0,0,0,0,40,9612.6,33,77,0.1,-0.9999615,5,55,0.005808199,,11,2,2,2,0.8680562091071653,0.4703606613271404,1.1392238131262233,1
12,0,15.565510557964274,0.45232074680267176,0.13814102564106745,0.2558804108318851,0.5809375,0.06282047115384624,0.025,1,0.004166666666666667,0,39,87458.6,198.4,2548,0.07500000000000001,-0.998726,5,130,0.008377325,,26,7,2,2,0.5160551855565824,0.2964453861727985,0.7838782580104801,1
13,1,0.4954835372327187,0.4954835372327187,0.16190740740740744,0.24975889978214794,0.6273125,0.12983333333333336,0.25,0.23809523809523808,0.175,32,30,67712.8,225,225,-0.15,-0.9998875,5,375,0.044926275,,75,22,55,30,0.6469659018744128,0.8329356371645933,2.8124539220318328,1
14,0,15.815510557964274,0.43906433330796096,0.13488873499542908,0.28605563798646166,0.6860625,0.05723679627192982,0,0,0,0,40,254611.6,656.6,5225,0.1,-0.9973875,5,475,0.085268805,,95,14,6,21,0.8741088164661059,0.7118265957977036,0.8097933633217054,0
15,0,15.815510557964274,0.7546784738095327,0.14815195158568914,0.21767509337436544,0.625375,0.11566064454022984,0,0,0,0,40,50985.2,145,899,0.1,-0.9995505,5,145,0.016686019,,29,4,3,2,0.7805279111894867,0.4863030277696096,0.5013908611930374,1
16,0,15.815510557964274,1.1959621216900096,0.15229478854233713,0.25943799812470697,0.656625,0.14192641249999996,0,0,0,0,40,13695.6,48,112,0.1,-0.999944,5,80,0.004697937,,16,2,2,6,0.5980200593382949,0.4005070418086454,0.7632161940206341,0
17,0,15.815510557964274,0.4464268670550151,0.1368182692724634,0.2692119042194136,0.66225,0.06453292594086023,0,0,0,0,40,207180.8,744,1736,0.1,-0.999132,5,1240,0.046277689,,248,2,2,15,0.4539272182831041,0.27271623939351314,1.7964469873009576,1
18,0,15.815510557964274,0.8341468438546951,0.14601035000019594,0.20068151478169338,0.554125,0.0768748041666667,0,0,0,0,40,50589.6,130.6,540,0.1,-0.99973,5,100,0.006272264,,20,11,8,4,0.5992103350711008,0.253134583151286,0.8052203196666894,1
19,0,15.815510557964274,0.4527812672002019,0.14155060893887286,0.23530924095857234,0.6031875,0.07958015267175571,0,0,0,0,40,211160.2,653.8,1441,0.1,-0.9992795,5,655,0.025043224,,131,12,13,15,0.41383461095427443,0.25077809079954105,2.1214822266086926,1
20,1,0.6089578763502429,0.6089578763502429,0.20831434009737604,0.24450529360406514,0.6225,0.22904290429042906,0.525,0.2692307692307692,0.325,57,19,164410.4,606,606,-0.42500000000000004,-0.999697,5,1010,0.068854388,,202,12,64,10,0.7442617342092881,0.38890855548365777,3.7001819836355527,1
21,1,0.5293433661136694,0.5293433661136694,0.17384953981592643,0.2696054756406513,0.6455625,0.1949229691876751,0.275,0.2894736842105263,0.15833333333333333,27,29,288459,1012.6,2618,-0.17500000000000002,-0.998691,5,1190,0.043532561,,238,4,13,42,0.43243475491430444,0.30063787427320343,3.7341133108505202,1
22,1,0.5914529883490739,0.5914529883490739,0.2013613237213718,0.25464788097553115,0.6180625,0.2053852201257862,0.5,0.273972602739726,0.30416666666666664,53,20,94014,318,424,-0.4,-0.999788,5,530,0.055966038,,106,17,41,16,0.6172857437366039,0.7408840550975497,3.28478014653844,1
23,1,0.43700173195481606,0.43700173195481606,0.13861811271147687,0.2983932437022695,0.6955625,0.07600308641975305,0.2,0.42105263157894735,0.07916666666666666,11,32,851057.6,1843,38880,-0.1,-0.98056,5,1080,0.274326591,,216,19,2,21,0.9451387155122998,0.7948699381356472,2.0322505922623555,0
24,1,0.4789558734833616,0.4789558734833616,0.1607421875001208,0.2496777664891851,0.674625,0.11927095416666668,0.35,0.2641509433962264,0.22083333333333333,39,26,41145.2,73,1008,-0.24999999999999997,-0.999496,5,40,0.006152712,,8,13,3,14,0.9925183531393591,0.3931126725148333,3.8194878953520663,0
25,1,0.6965895627488481,0.6965895627488481,0.23772778925619834,0.24285504500896604,0.6191875,0.23825757575757575,0.525,0.25,0.35,63,19,204860.8,660,660,-0.42500000000000004,-0.99967,5,1100,0.169083654,,220,15,62,4,0.7128137269791011,0.9894847328823344,3.9813135321438162,0
26,1,0.49450967434896503,0.49450967434896503,0.16496250092819484,0.26662342344420875,0.65525,0.11896766169154228,0.375,0.3,0.20833333333333334,35,25,199307.4,578,1072,-0.275,-0.999464,5,670,0.167869332,,134,16,37,8,0.9211646334926494,0.9915593609749047,3.116022023076723,1
27,1,0.4366148298560449,0.4366148298560449,0.13727556736569946,0.3023284246278519,0.6865,0.06606638418079097,0.125,0.3333333333333333,0.0625,10,35,1209282.8,2229.2,90388,-0.024999999999999994,-0.954806,5,1180,0.294164203,,236,24,1,11,0.9998220364771445,0.677124534101651,1.8923390612009932,0
28,1,0.6178898516745408,0.6178898516745408,0.21273286667407384,0.2629101236016969,0.615125,0.2190571049136786,0.525,0.2625,0.3333333333333333,59,19,226335.4,753,753,-0.42500000000000004,-0.9996235,5,1255,0.13214795,,251,24,48,5,0.569476948012394,0.8188621524687782,3.461734426143569,1
