point_id,feasible,selected,objective_rms_spot_um,objective_track_length_mm,objective_glass_volume_mm3,constraint_edge_thickness_mm,constraint_efl_mm,constraint_lost_rays,decision_0,decision_1,decision_2,decision_3,decision_4,decision_5,decision_6,decision_7,decision_8,decision_9,decision_10
0,1,1,33.502581194106014,60.32096597501387,512.9670336673062,-0.06606084094653153,-0.2905015022603692,0,0.040149991447347405,-0.010211702480774229,-0.05562102513058577,0.03241477085637626,0.0012907474253592926,-0.0604079342869842,1.5008263042243262,2.7298031035204877,2.4529921022895707,3.904981885265456,2.991317326893742
1,1,0,33.755727623253684,59.95756282167424,560.8800139593945,-0.06270946216849382,-0.6107667204842855,0,0.04059930081244621,-0.01034053351520215,-0.055697835944211224,0.03249073592235907,0.0012565869468491781,-0.060395269878292066,1.5048825857835317,2.862531142755468,2.9286506468926143,3.893524457434293,2.5966609457724026
2,1,0,33.82601960907935,59.919965093425915,564.9423547624366,-0.06246525833709371,-0.6052040900337232,0,0.04059930081244621,-0.010360030571206144,-0.055697835944211224,0.03249073592235907,0.001253990865200419,-0.06039491770226532,1.5048825857835317,2.9143579557937382,2.9286506468926143,3.9280639902479204,2.569741809236331
3,1,0,33.97409843223868,60.06309574788648,546.191619708055,-0.013790551582800292,-0.4261813792898437,0,0.04016255859203312,-0.01024729029020801,-0.05551832590653713,0.0322027561265253,0.0012894517383570808,-0.06039478859787065,1.4491637414817107,2.8609732493089597,2.798732247573554,3.939020837419445,2.618480662142022
4,1,0,34.00506263916676,59.858970181639926,573.0256123564351,-0.08780608663961309,-0.7952633246499232,0,0.040602166791233754,-0.010335363328738446,-0.055700757352938,0.032494057441121924,0.0013232993095599094,-0.060415385394082935,1.5299514245807613,2.914015065080501,3.0072350916686688,3.959825228607272,2.5854021547272223
5,1,0,34.085439058227095,59.797054550290056,558.9385314860428,-0.062361980953392626,-0.6687107015995579,0,0.04060741339777185,-0.010359920687239073,-0.05568347022322202,0.03246755195362659,0.0012577751448166112,-0.06040152063472931,1.5048825857835317,2.838273185374085,2.9286506468926143,3.9137529510383917,2.5693238566149343
6,1,0,34.135483528252536,59.9386060071598,549.6843645236772,-0.0722901296711489,-0.5470505880030956,0,0.040242956968585125,-0.010238788007978516,-0.0555051076649412,0.032195862683399676,0.0012894517383570808,-0.06040550346129564,1.508593330183234,2.846674162044813,2.798732247573554,3.9116423194407606,2.618480662142022
7,1,0,34.309573271415864,60.00447882067437,544.1223723729735,-0.08542797988657536,-0.26433880137496146,0,0.040216128149904565,-0.010226685704315779,-0.055530648084338885,0.032211230785105724,0.0012538938141398131,-0.0603947839735899,1.521233711375885,2.862962550665113,2.698183233433986,3.936902959705402,2.58538247983713
8,1,0,34.35426854904058,59.663639560908486,552.3912247245037,-0.062206889723937175,-0.6306200470943679,0,0.04063283404036344,-0.010346120643301215,-0.055680261230019845,0.03246508454329834,0.0012577751448166114,-0.06043210592768665,1.5048825857835317,2.838273185374085,2.845600527675251,3.914767191257618,2.5460252367906504
9,1,0,34.360592607866906,59.17828621629803,593.2082520379264,-0.05187408425709328,-0.22188070013553585,0,0.039730783424058294,-0.01206006517294176,-0.05552131596010945,0.03220213032013661,0.0012506768621764921,-0.0603952383720332,1.5043958327715314,3.3840188173492596,2.8274275393839625,3.559210653875624,2.5474909480898233
10,1,0,34.40100032007046,59.06244703380729,593.1553055406183,-0.05187408425709328,-0.11555500930452212,0,0.039730783424058294,-0.01206006517294176,-0.05541764082778297,0.03220213032013661,0.0012506768621764921,-0.0603952383720332,1.5043958327715314,3.3840188173492596,2.8274275393839625,3.559210653875624,2.5474909480898233
11,1,0,34.63971217943973,58.98605540781598,593.8575468835154,-0.05187408425709328,-0.26527765845288087,0,0.039730783424058294,-0.01206006517294176,-0.05540543757317956,0.03220213032013661,0.0012535605524773424,-0.0603952383720332,1.5043958327715314,3.3725164104921728,2.8479685270939807,3.559210653875624,2.4140967523260435
12,1,0,35.060854951328345,61.37166722097073,373.74399299840815,-0.08883228019199563,-0.025873212823526615,0,0.04004787838674789,-0.008768382106802763,-0.05468236404613229,0.032315322516704145,0.0012505376087871643,-0.06141269233739427,1.504209425019547,1.239539324359451,2.170615956451667,1.7562723471639323,3.1258567118157963
13,1,0,35.1661742770568,61.1734625502982,368.9146712612233,-0.03147831202574802,-0.1798993243691882,0,0.040145284614779966,-0.008768382106802763,-0.05464150478834601,0.03231778777707921,0.00125049384191024,-0.06140054507714972,1.4481110129077237,1.2349399847679616,2.170615956451667,1.7591005180786503,3.1258567118157963
14,1,0,35.28004094209601,60.63276574208912,365.8270247201779,-0.12619997425677631,-0.36548694538476667,0,0.040145284614779966,-0.009116462173483827,-0.05464150478834601,0.03231778777707921,0.0012543705978336037,-0.06140514991927434,1.5471902114938108,1.346770385861093,1.922625282158891,1.7591005180786503,3.1258567118157963
15,1,0,35.39166815799789,60.38233553499681,384.790485667724,-0.10548489637088765,-0.3262714062949996,0,0.04039547108008962,-0.008870379059771411,-0.05462106602184637,0.032391823530250816,0.0012551803216860808,-0.0611624155439143,1.5266201763934482,1.4458093273099761,2.0837394695949945,2.37838313392958,3.101562146891397
16,1,0,35.83925687626288,59.667803524128246,385.4287104220875,-0.17423729834479507,-0.5459111366498774,0,0.0398699517348375,-0.010562426206088323,-0.05501377684180293,0.03219811485904406,0.0013016708287816444,-0.06141030721479855,1.609786502304852,1.5264617622190337,1.9358748165433894,1.535719396848986,3.0851663772383446
17,1,0,36.15688242931343,58.400392470912664,491.93028363561075,-0.06771164235296978,-0.48957815533236015,0,0.03989036637008016,-0.010861529702310309,-0.05569765548655538,0.03140525660377984,0.0012562879514699922,-0.06143492028135927,1.5072707576869258,2.7392447868155347,2.1840805583679437,2.875668014946008,2.3127834116060306
18,1,0,37.19630385949507,57.126347527478984,542.9082139928322,-0.31672817349796945,-0.06916157450593374,0,0.043211225056215066,-0.00855639211947522,-0.05465007712672389,0.03220569052565947,0.0012559339883847784,-0.061466507169934084,1.9410718190813734,3.227521438666681,1.9198127056946386,2.421882125600291,1.7995515064931755
19,1,0,37.43901492061255,61.001375229535775,332.0916878308297,-0.019134160550875245,-0.32292912988374667,0,0.040280375387652625,-0.008600554053456846,-0.0543968907000897,0.03220046175974921,0.0012789849657737422,-0.06143341176294735,1.4354076618446512,1.03483447187927,1.9171170595774072,1.2432987310715544,3.2043892073738505
20,1,0,37.46615416871255,60.802105345887426,341.1962050887989,-0.026298713561329068,-0.6120210541007935,0,0.040108691047972926,-0.008821963686850696,-0.054429571288908976,0.03219810556459704,0.0012789849657737426,-0.06141100382127569,1.4431304475751365,1.1212808036580877,1.9388157911330541,1.4742656336214313,3.2961817177680883
21,1,0,37.565145305269695,60.81406756218037,335.4768843994023,-0.023381816481245155,-0.5659556360832951,0,0.04035842502373485,-0.008797771932509885,-0.054400235863240415,0.032198211603979746,0.0012502682266036969,-0.06140220487904394,1.4431304475751365,1.0604016430318683,1.9282687113179975,1.1651005235188823,3.2058618217754313
22,1,0,37.80205775290319,57.027539262846176,518.9900308228633,-0.39605959163854365,-0.22767694810291061,0,0.042954472853775724,-0.00855639211947522,-0.05465007712672389,0.03223326991531957,0.0013162727057781185,-0.06145979468996389,1.9360790963716437,2.846498497302381,1.9998080219511387,2.5060810263836855,1.7995515064931755
23,1,0,37.929831810004366,60.69258795354433,341.1962050887989,-0.026298713561329068,-0.6438863090589919,0,0.04010869104797293,-0.008821963686850696,-0.054429571288908976,0.03219810556459704,0.0012789849657737426,-0.06141100382127569,1.4431304475751365,1.1212808036580877,1.9388157911330541,1.5572567230586527,3.2961817177680883
24,1,0,38.18546640032995,59.441015107915476,360.71985149142654,-0.11235120519212516,-0.479598265868475,0,0.04018356101864312,-0.01020751062897501,-0.05463563897549277,0.03239152008064564,0.0012536347413964265,-0.06140226222922783,1.5474969234026097,1.2823480172899493,1.928332982084159,1.4306743518059304,3.1061386628584424
25,1,0,38.55387655688706,60.231979760802595,323.8690745582871,-0.013232289612267856,-0.8537347642599045,0,0.040145284614779966,-0.01035536918548845,-0.0555044014184263,0.03220263913542064,0.0012962317674841796,-0.061402004309033836,1.4497364800437167,1.000342052930976,1.835396792986478,1.1315090692164649,3.200438176638327
26,1,0,40.43495257685293,59.29136918546128,359.5328498250959,-0.11597043409922914,-0.5696829119872575,0,0.040145284614779966,-0.01003864190691751,-0.05464150478834601,0.03239152684719768,0.001253541216079337,-0.06140054507714973,1.5485077974986332,1.264872855847286,1.928332982084159,1.7591005180786503,3.1258567118157963
27,1,0,40.59958563570074,60.174484778581174,329.6767079276962,-0.019367885119564443,-0.5321560163506973,0,0.03972210302185014,-0.010384289701914398,-0.05471818793154143,0.03294907361305897,0.0012514650684714874,-0.061476128810107854,1.4507809284824371,1.0041666595704317,1.9025432352106768,1.5519876100452648,3.1155840438143585
28,1,0,41.02089991157118,59.099596029825804,350.2002567397631,-0.10728233930143616,-0.18469689848265602,0,0.04014261431588559,-0.01057158814821773,-0.05467661469574882,0.032488959822828886,0.001252659026124381,-0.06146762223075174,1.5464604054994213,1.1320620962428691,1.9472726977404564,1.2995879825508099,3.1083753312151243
29,1,0,41.390529256466316,59.56145415618202,325.9512144424088,-0.03364060021900772,-0.7865581856736057,0,0.040542028736197916,-0.010653711119082466,-0.05590778386971147,0.03220263913542064,0.001343446011554895,-0.061401278013205454,1.4789977699944092,1.000342052930976,1.834711083798187,1.1962023190893945,3.127454675051193
30,1,0,41.73183722403571,56.552643359286506,499.9561525385996,-0.04937283366531631,-0.023486926453379908,0,0.04278585035447776,-0.010267100269041731,-0.05555938019442944,0.03372209540180644,0.0013376063744150752,-0.061729884169908975,1.5188826854882074,3.0699413002215055,1.9474028809486368,3.1630956870063693,2.007175885970814
31,1,0,41.80245848096083,57.074889784526434,462.5812050090453,-0.10285148379198605,-0.03753870521949665,0,0.042158144826972485,-0.010245715356277309,-0.05465058253712424,0.03240440056173545,0.0012554871987057884,-0.06123742579378419,1.5639714045187691,2.5070254735548687,1.995719885926884,1.8585496485206745,1.8667609761708777
32,1,0,42.49634379030835,57.47668751153172,446.22443056033956,-0.21012162651744437,-0.3238219489364411,0,0.04211347893855458,-0.010261983145151272,-0.056543244867969286,0.03240440056173545,0.0012912944390787951,-0.061475388524469904,1.6708676713057877,2.1816185117353823,1.995262151982761,2.7948619132167583,2.459506813526496
