evaluations,elapsed_seconds,best_quality,feasible_population,pareto_population
256,0.009165146,61.91591441387479,152,8
1280,0.043824192,56.688813075202134,207,24
2560,0.089557976,53.476927152819435,159,25
3840,0.134162688,51.713254254800965,171,57
5120,0.176580229,46.37973829429989,143,52
6400,0.219732135,44.93548237723143,174,78
7680,0.263741876,41.44685830616495,203,53
8960,0.306663117,41.44685830616495,189,70
10240,0.349835714,40.55034161967262,162,83
11520,0.392713453,38.646038663546165,187,96
12800,0.436400073,38.20016425019059,131,77
14080,0.479362357,36.813467256473444,90,82
15360,0.52528742,36.13032980719625,89,72
16640,0.570139975,36.08585998756055,77,72
17920,0.614249502,36.06602492122644,87,87
19200,0.657848997,35.688085613442645,91,91
20480,0.700896046,35.688085613442645,84,84
21760,0.744279017,35.688085613442645,97,97
23040,0.787956647,35.66966500000485,91,91
24320,0.831398291,35.66966500000485,76,58
25600,0.875197389,35.66966500000485,23,23
26880,0.920521243,35.66966500000485,10,10
28160,0.964435818,35.66966500000485,7,7
29440,1.008034893,35.66966500000485,10,10
30720,1.051527761,35.66966500000485,23,20
32000,1.095602216,35.66483757943274,89,48
33280,1.140254627,35.63807915041889,84,66
34560,1.18431748,35.638079150418775,95,94
35840,1.227621793,35.61849690683439,97,97
37120,1.271390875,35.55803835442986,97,97
38400,1.315932957,35.55803835442986,103,103
39680,1.3603316300000001,35.55803835442984,100,100
40960,1.406020454,35.55803835442984,78,74
42240,1.451994458,35.55803835442984,44,44
43520,1.497343951,35.61284089448458,20,20
44800,1.5423762939999999,35.61284089448458,11,11
46080,1.5885871520000001,35.602762782483225,9,9
47360,1.632572398,35.61284089448458,19,12
48640,1.675867241,35.61284089448458,59,48
49920,1.721111147,35.61284089448458,102,96
51200,1.767074459,35.61284089448456,82,82
52480,1.812171397,35.61284089448456,86,86
53760,1.8560312749999999,35.61284089448456,81,81
55040,1.899343298,35.704175828121656,69,69
56320,1.942570596,35.704175828121656,69,69
57600,1.9867556149999999,35.65097491102542,76,76
58880,2.031497299,35.65097491102542,51,51
60160,2.076086994,35.65097491102542,25,25
61440,2.120275673,35.65097491102542,21,21
62720,2.164493184,35.65097491102542,17,17
64000,2.208871252,35.65097491102542,19,19
65280,2.253505867,35.42812712984481,41,40
66560,2.297212692,35.021707976478964,65,56
67840,2.34127548,34.9322286398798,104,103
69120,2.386501492,34.9322286398798,99,99
70400,2.430170415,34.9322286398798,90,90
71680,2.473489646,34.9322286398798,88,88
72960,2.517716214,34.9322286398798,78,78
74240,2.561540727,34.83678146338754,70,70
75520,2.606791261,34.708932216598036,49,49
76800,2.651157739,34.708932216598036,34,34
78080,2.69542928,34.95639587619712,27,27
79360,2.7402858390000002,34.95639587619712,18,18
80640,2.785940278,34.95639587619712,32,28
81920,2.829971774,34.95639587619712,106,49
83200,2.8741951930000003,34.95639587619712,156,108
84480,2.919003818,34.937134377324085,170,166
85760,2.966538478,34.65261935041635,148,148
87040,3.012465014,34.65261935041635,146,146
88320,3.056948609,34.64330384380666,128,128
89600,3.100845047,34.63895252493179,121,121
90880,3.145379535,34.63895252493179,112,112
92160,3.191567816,34.63895252493179,113,113
93440,3.236061299,34.63895252493179,105,105
94720,3.279781242,34.63895252493179,98,98
96000,3.32341259,34.63895252493179,111,111
97280,3.367350397,34.63895252493179,98,98
98560,3.411521989,34.63895252493179,96,96
99840,3.455021758,34.618757887523465,77,77
100096,3.463652907,34.618757887523465,80,80
