resolution_hours,objective,delivered_energy_cost,electricity_self_sufficiency,unserved_fraction,onsite_hydrogen_fraction,purchased_hydrogen_kwh,hydrogen_amplitude_kwh,simplex_iterations,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
6,0.051207294661071386,0.051207294661071386,0.9982791141794501,0,1,0,2119.5539949608738,8541,4323.246722452694,2888.552172688576,3712.3055234378207,663.0009530382148,377.17591508669534,2119.5539949608738,2600,4,1,1,1
1,0.051934856064658606,0.051934856064658606,0.9941210944420199,0,1,0,2119.5539949608738,51670,4323.246722452694,2888.552172688576,3712.3055234378207,663.0009530382148,377.17591508669534,2119.5539949608738,2600,4,1,1,1
