hour,load_kw,renewable_kw,import_kw,export_kw,battery_soc_kwh,electrolyser_kw,hydrogen_store_kwh,hydrogen_buy_kw,hydrogen_demand_kw
0,990.0602365326382,1474.9651752756017,0,484.90493874296953,280.8779399630457,0,1080.4603397997562,0,126.58169107340731
1,1011.8715071521256,1409.0168812395668,0,19.96945900068863,280.8779399630457,377.17591508669534,1207.6970316033521,0,129.24293045546847
2,1041.7507092345384,1247.346658364607,0,0,280.8779399630457,205.5959491301328,1215.3148126261722,0,132.18746438568402
3,1077.6583139572338,1085.672661859752,0,0,280.8779399630457,8.0143479029648,1085.5499419267699,0,135.21462727321983
4,1117.1439640078856,1019.7130470291589,0,0,178.31907998527964,0,947.4318196051298,0,138.11812232169603
5,1157.5134613876173,1089.1155465563243,0,0,106.3212748999174,0,806.7317392611693,0,140.70008034393337
6,1196.0123725539574,1254.232340967855,0,0,106.3212748999174,58.2199684138011,703.5367735368017,0,142.78454424582787
7,1230.0137385165522,1889.303344264003,0,282.113690660834,106.3212748999174,377.17591508669534,815.7869355644615,0,144.2294602312162
8,1257.19709775281,2396.6276219977753,0,762.2546091583956,106.3212748999174,377.17591508669534,927.33019927864,0,144.936358544623
9,1275.7066218276336,2706.7131013479707,0,1053.8305644336551,106.32127489985919,377.17591508669534,1038.9527575140164,0,144.8570640237194
10,1284.2775870360817,2833.5792615123555,0,1172.1257593896053,106.3212748999174,377.17591508669534,1151.4354006250846,0,143.99697914779549
11,1282.3225632355197,2853.2784966753607,0,1193.780018353141,106.32127489985919,377.17591508669534,1265.5003070356493,0,142.41471584828344
12,1269.9714462407803,2849.165879393946,0,1202.018518066446,106.32127489985919,377.17591508669534,1381.7618281204718,0,140.21810117418957
13,1248.0626056407625,2856.6712881291837,0,1231.4327674017452,106.32127489985919,377.17591508669534,1500.6846213574509,0,137.55682902198808
14,1218.0857512981358,2840.3617730236874,0,1245.100106638861,106.32127489985919,377.17591508669534,1622.5519849110792,0,134.61225870541344
15,1182.0804120857813,2716.8795300969373,0,1157.623202924505,106.32127489985919,377.17591508669534,1747.4465515908312,0,131.58505557921438
