design,scenario,converged,iterations,loss_mw,voltage_rms_pu,min_vm_pu,max_vm_pu,max_line_loading_percent,voltage_constraint_pu,thermal_constraint,security_index,mismatch_pu
baseline,base,true,3,35.679472358460,0.034305956029,0.982000000000,1.061167955414,148.686750085334,0.001167955414,-0.070707811967,1.019465923561,0.000000000024
baseline,evening_peak,true,3,35.691625410288,0.031271497799,0.968284107139,1.060000000000,141.668464665832,0.000000000000,-0.114572095839,1.000000000000,0.000000015974
baseline,high_renewable_low_load,true,3,49.725549612684,0.034265728104,0.982000000000,1.064009235891,221.376310160050,0.004009235891,0.383601938500,1.383601938500,0.000000000074
baseline,hot_peak,true,4,46.449074327452,0.036665494390,0.932498968422,1.060000000000,179.022799577729,0.007501031578,0.118892497361,1.125017192972,0.000000000000
baseline,n_minus_1_line_23,true,3,37.784029635142,0.030308588650,0.982000000000,1.060000000000,179.948508012020,0.000000000000,-0.062768187437,1.000000000000,0.000000000799
baseline,renewable_trip,true,3,31.492883649635,0.032069857975,0.982000000000,1.060000000000,118.931160467481,0.000000000000,-0.256680247078,1.000000000000,0.000000000448
selected,base,true,3,34.324231465945,0.013885565445,0.982000000000,1.037895570524,133.971532784234,-0.022104429476,-0.162677920099,0.837322079901,0.000000000009
selected,evening_peak,true,3,32.525106849183,0.010434629002,0.981600910924,1.034688969924,116.874175474815,-0.025311030076,-0.269536403282,0.730463596718,0.000000001057
selected,high_renewable_low_load,true,3,41.830672119661,0.016042929534,0.982000000000,1.038637860189,159.966077641555,-0.021362139811,-0.000212014740,0.999787985260,0.000000000010
selected,hot_peak,true,3,40.486099614470,0.021015624973,0.954041664005,1.029740034280,159.541573377357,-0.014041664005,-0.002865166392,0.997134833608,0.000000501699
selected,n_minus_1_line_23,true,3,36.953556967977,0.011393687716,0.978019246053,1.035662512988,187.960727246429,-0.024337487012,-0.021037878925,0.978962121075,0.000000000172
selected,renewable_trip,true,3,31.364369353726,0.011637958451,0.982000000000,1.036915565368,125.307102262155,-0.023084434632,-0.216830610862,0.783169389138,0.000000000043
